ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,232,232,100.0,04001
4,9,394,394,100.0,04009
4,17,191,191,100.0,04017
4,21,232,232,100.0,04021
4,22,252,252,100.0,04022
4,28,117,117,100.0,04028
4,29,166,166,100.0,04029
4,31,118,118,100.0,04031
4,32,204,204,100.0,04032
4,34,156,156,100.0,04034
4,38,292,292,100.0,04038
4,41,71,71,100.0,04041
4,43,115,115,100.0,04043
4,44,99,99,100.0,04044
4,45,321,321,100.0,04045
4,47,201,201,100.0,04047
4,48,237,237,100.0,04048
5,1,173,173,100.0,05001
5,3,70,70,100.0,05003
5,5,112,112,100.0,05005
5,6,161,161,100.0,05006
5,7,160,160,100.0,05007
5,8,229,229,100.0,05008
5,11,152,152,100.0,05011
5,14,226,226,100.0,05014
5,17,125,125,100.0,05017
5,21,122,122,100.0,05021
5,22,138,138,100.0,05022
5,24,187,187,100.0,05024
5,25,112,112,100.0,05025
5,26,128,128,100.0,05026
5,27,182,182,100.0,05027
5,28,172,172,100.0,05028
5,29,143,143,100.0,05029
5,30,138,138,100.0,05030
5,31,123,123,100.0,05031
5,32,275,275,100.0,05032
5,33,97,97,100.0,05033
5,34,144,144,100.0,05034
5,35,119,119,100.0,05035
5,36,61,61,100.0,05036
5,37,125,125,100.0,05037
5,38,197,197,100.0,05038
5,39,213,213,100.0,05039
5,40,106,106,100.0,05040
5,41,150,150,100.0,05041
5,42,132,132,100.0,05042
5,43,165,165,100.0,05043
5,44,138,138,100.0,05044
5,46,149,149,100.0,05046
5,47,114,114,100.0,05047
5,48,112,112,100.0,05048
5,49,27,27,100.0,05049
5,53,166,166,100.0,05053
5,54,237,237,100.0,05054
5,55,129,129,100.0,05055
7,3,77,77,100.0,07003
7,8,35,35,100.0,07008
7,9,132,132,100.0,07009
7,10,70,70,100.0,07010
7,11,141,141,100.0,07011
7,14,123,123,100.0,07014
7,15,61,61,100.0,07015
7,16,63,63,100.0,07016
7,17,57,57,100.0,07017
7,18,85,85,100.0,07018
7,20,43,43,100.0,07020
7,22,88,88,100.0,07022
7,23,108,108,100.0,07023
7,28,102,102,100.0,07028
7,29,123,123,100.0,07029
7,32,72,72,100.0,07032
7,35,152,152,100.0,07035
7,39,88,88,100.0,07039
7,40,99,99,100.0,07040
7,44,184,184,100.0,07044
7,45,218,218,100.0,07045
7,46,55,55,100.0,07046
7,54,54,54,100.0,07054
7,56,98,98,100.0,07056
7,57,108,108,100.0,07057
8,70,140,140,100.0,08070
10,1,88,88,100.0,10001
10,4,71,71,100.0,10004
10,7,20,20,100.0,10007
10,18,53,53,100.0,10018
10,22,56,56,100.0,10022
10,23,4,4,100.0,10023
10,25,103,103,100.0,10025
10,37,53,53,100.0,10037
10,43,39,39,100.0,10043
10,45,41,41,100.0,10045
10,47,71,71,100.0,10047
10,48,65,65,100.0,10048
20,26,116,116,100.0,20026
20,34,167,167,100.0,20034
20,38,23,23,100.0,20038
