ward,precinct,total,Thaddeus Jones,Thaddeus Jones Percent,Sheryl E. Tillman,Sheryl E. Tillman Percent,precinct_id
9,3,48,15,31.25,33,68.75,09003
9,7,131,77,58.78,54,41.22,09007
9,15,113,53,46.9,60,53.1,09015
9,16,96,54,56.25,42,43.75,09016
9,24,30,13,43.33,17,56.67,09024
9,26,76,41,53.95,35,46.05,09026
9,28,49,23,46.94,26,53.06,09028
9,33,95,44,46.32,51,53.68,09033
9,41,174,92,52.87,82,47.13,09041
9,42,45,14,31.11,31,68.89,09042
9,44,89,55,61.8,34,38.2,09044
9,50,156,89,57.05,67,42.95,09050
