ward,precinct,total,Mary Katherine Rochford,Mary Katherine Rochford Percent,Sebastian T. Patti,Sebastian T. Patti Percent,Kevin Rogers,Kevin Rogers Percent,William D. O'Neal,William D. O'Neal Percent,Anthony Lynn Burrell,Anthony Lynn Burrell Percent,precinct_id
1,1,76,28,36.84,14,18.42,14,18.42,12,15.79,8,10.53,01001
1,2,64,33,51.56,12,18.75,6,9.38,7,10.94,6,9.38,01002
1,3,47,31,65.96,8,17.02,2,4.26,6,12.77,0,0.0,01003
1,4,81,46,56.79,20,24.69,6,7.41,7,8.64,2,2.47,01004
1,5,62,30,48.39,16,25.81,5,8.06,8,12.9,3,4.84,01005
1,6,85,42,49.41,15,17.65,4,4.71,21,24.71,3,3.53,01006
1,7,72,32,44.44,16,22.22,11,15.28,10,13.89,3,4.17,01007
1,8,69,41,59.42,6,8.7,4,5.8,11,15.94,7,10.14,01008
1,9,90,46,51.11,13,14.44,7,7.78,17,18.89,7,7.78,01009
1,10,81,48,59.26,13,16.05,8,9.88,10,12.35,2,2.47,01010
1,11,53,24,45.28,6,11.32,5,9.43,12,22.64,6,11.32,01011
1,12,95,56,58.95,16,16.84,8,8.42,11,11.58,4,4.21,01012
1,13,111,51,45.95,27,24.32,9,8.11,16,14.41,8,7.21,01013
1,14,72,38,52.78,18,25.0,5,6.94,7,9.72,4,5.56,01014
1,15,67,22,32.84,26,38.81,8,11.94,6,8.96,5,7.46,01015
1,16,43,10,23.26,4,9.3,8,18.6,11,25.58,10,23.26,01016
1,17,41,28,68.29,7,17.07,2,4.88,4,9.76,0,0.0,01017
1,18,68,29,42.65,14,20.59,8,11.76,12,17.65,5,7.35,01018
1,19,59,29,49.15,7,11.86,5,8.47,14,23.73,4,6.78,01019
1,20,96,35,36.46,18,18.75,13,13.54,23,23.96,7,7.29,01020
1,21,60,36,60.0,11,18.33,4,6.67,9,15.0,0,0.0,01021
1,22,61,26,42.62,10,16.39,7,11.48,12,19.67,6,9.84,01022
1,23,61,18,29.51,13,21.31,14,22.95,15,24.59,1,1.64,01023
