ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Jorge Mujica,Jorge Mujica Percent,precinct_id
3,19,37,18,48.65,19,51.35,03019
11,1,163,135,82.82,28,17.18,11001
11,2,140,69,49.29,71,50.71,11002
11,4,127,102,80.31,25,19.69,11004
11,5,77,48,62.34,29,37.66,11005
11,6,165,83,50.3,82,49.7,11006
11,7,152,136,89.47,16,10.53,11007
11,8,129,87,67.44,42,32.56,11008
11,9,72,56,77.78,16,22.22,11009
11,11,187,123,65.78,64,34.22,11011
11,12,160,145,90.63,15,9.38,11012
11,13,132,111,84.09,21,15.91,11013
11,15,124,105,84.68,19,15.32,11015
11,16,160,124,77.5,36,22.5,11016
11,17,200,128,64.0,72,36.0,11017
11,18,82,56,68.29,26,31.71,11018
11,19,106,78,73.58,28,26.42,11019
11,20,135,116,85.93,19,14.07,11020
11,21,168,152,90.48,16,9.52,11021
11,22,151,132,87.42,19,12.58,11022
11,23,117,97,82.91,20,17.09,11023
11,24,308,269,87.34,39,12.66,11024
11,25,148,117,79.05,31,20.95,11025
11,26,194,126,64.95,68,35.05,11026
11,29,140,92,65.71,48,34.29,11029
11,30,116,69,59.48,47,40.52,11030
11,31,101,90,89.11,11,10.89,11031
11,32,137,115,83.94,22,16.06,11032
11,33,95,82,86.32,13,13.68,11033
11,34,34,32,94.12,2,5.88,11034
11,35,217,185,85.25,32,14.75,11035
11,37,173,147,84.97,26,15.03,11037
11,38,228,194,85.09,34,14.91,11038
11,39,224,199,88.84,25,11.16,11039
11,40,101,85,84.16,16,15.84,11040
11,41,82,71,86.59,11,13.41,11041
11,42,102,86,84.31,16,15.69,11042
11,43,137,113,82.48,24,17.52,11043
11,44,147,104,70.75,43,29.25,11044
11,45,67,57,85.07,10,14.93,11045
11,47,115,92,80.0,23,20.0,11047
11,48,66,58,87.88,8,12.12,11048
11,49,134,112,83.58,22,16.42,11049
11,50,70,56,80.0,14,20.0,11050
13,1,174,144,82.76,30,17.24,13001
13,2,123,95,77.24,28,22.76,13002
13,4,239,192,80.33,47,19.67,13004
13,5,163,119,73.01,44,26.99,13005
13,6,134,107,79.85,27,20.15,13006
13,7,144,127,88.19,17,11.81,13007
13,8,176,137,77.84,39,22.16,13008
13,9,158,125,79.11,33,20.89,13009
13,10,129,108,83.72,21,16.28,13010
13,11,144,107,74.31,37,25.69,13011
13,12,123,88,71.54,35,28.46,13012
13,13,203,172,84.73,31,15.27,13013
13,14,136,100,73.53,36,26.47,13014
13,15,211,155,73.46,56,26.54,13015
13,16,210,170,80.95,40,19.05,13016
13,17,173,140,80.92,33,19.08,13017
13,18,155,84,54.19,71,45.81,13018
13,19,180,138,76.67,42,23.33,13019
13,20,166,111,66.87,55,33.13,13020
13,21,174,139,79.89,35,20.11,13021
13,22,105,82,78.1,23,21.9,13022
13,23,147,103,70.07,44,29.93,13023
13,24,150,128,85.33,22,14.67,13024
13,25,122,94,77.05,28,22.95,13025
13,26,165,137,83.03,28,16.97,13026
13,27,169,145,85.8,24,14.2,13027
13,28,112,84,75.0,28,25.0,13028
13,29,152,116,76.32,36,23.68,13029
13,30,209,154,73.68,55,26.32,13030
13,31,204,144,70.59,60,29.41,13031
13,32,140,111,79.29,29,20.71,13032
13,33,149,123,82.55,26,17.45,13033
13,34,232,185,79.74,47,20.26,13034
13,35,193,152,78.76,41,21.24,13035
13,36,89,66,74.16,23,25.84,13036
13,37,163,123,75.46,40,24.54,13037
13,38,152,128,84.21,24,15.79,13038
13,39,144,117,81.25,27,18.75,13039
13,40,190,134,70.53,56,29.47,13040
13,41,132,90,68.18,42,31.82,13041
13,42,178,144,80.9,34,19.1,13042
13,43,185,141,76.22,44,23.78,13043
13,44,175,137,78.29,38,21.71,13044
13,45,203,178,87.68,25,12.32,13045
13,46,150,106,70.67,44,29.33,13046
13,47,148,108,72.97,40,27.03,13047
14,2,136,97,71.32,39,28.68,14002
14,25,153,120,78.43,33,21.57,14025
14,28,147,106,72.11,41,27.89,14028
15,1,75,47,62.67,28,37.33,15001
15,10,76,29,38.16,47,61.84,15010
15,13,59,27,45.76,32,54.24,15013
15,14,104,57,54.81,47,45.19,15014
15,15,59,33,55.93,26,44.07,15015
15,16,80,34,42.5,46,57.5,15016
15,25,76,50,65.79,26,34.21,15025
15,28,106,61,57.55,45,42.45,15028
15,32,82,55,67.07,27,32.93,15032
15,44,93,63,67.74,30,32.26,15044
15,49,55,30,54.55,25,45.45,15049
16,1,47,33,70.21,14,29.79,16001
16,4,58,31,53.45,27,46.55,16004
16,6,39,29,74.36,10,25.64,16006
16,7,76,55,72.37,21,27.63,16007
16,11,80,53,66.25,27,33.75,16011
16,13,60,34,56.67,26,43.33,16013
16,17,100,42,42.0,58,58.0,16017
16,23,71,42,59.15,29,40.85,16023
16,32,18,7,38.89,11,61.11,16032
16,35,78,42,53.85,36,46.15,16035
16,39,106,58,54.72,48,45.28,16039
16,42,56,28,50.0,28,50.0,16042
18,3,144,112,77.78,32,22.22,18003
18,6,136,102,75.0,34,25.0,18006
18,15,77,55,71.43,22,28.57,18015
18,28,159,125,78.62,34,21.38,18028
18,41,153,123,80.39,30,19.61,18041
18,43,89,63,70.79,26,29.21,18043
18,48,86,62,72.09,24,27.91,18048
18,55,161,129,80.12,32,19.88,18055
18,56,94,65,69.15,29,30.85,18056
18,57,95,73,76.84,22,23.16,18057
18,62,105,73,69.52,32,30.48,18062
19,1,283,249,87.99,34,12.01,19001
19,2,221,184,83.26,37,16.74,19002
19,3,174,142,81.61,32,18.39,19003
19,4,209,180,86.12,29,13.88,19004
19,5,271,209,77.12,62,22.88,19005
19,6,196,165,84.18,31,15.82,19006
19,7,260,207,79.62,53,20.38,19007
19,8,160,137,85.63,23,14.38,19008
19,9,173,144,83.24,29,16.76,19009
19,10,318,242,76.1,76,23.9,19010
19,11,238,199,83.61,39,16.39,19011
19,12,196,176,89.8,20,10.2,19012
19,13,153,116,75.82,37,24.18,19013
19,14,144,124,86.11,20,13.89,19014
19,15,164,136,82.93,28,17.07,19015
19,16,271,231,85.24,40,14.76,19016
19,17,252,207,82.14,45,17.86,19017
19,18,299,230,76.92,69,23.08,19018
19,19,245,184,75.1,61,24.9,19019
19,20,213,153,71.83,60,28.17,19020
19,21,162,149,91.98,13,8.02,19021
19,22,260,188,72.31,72,27.69,19022
19,23,279,217,77.78,62,22.22,19023
19,24,201,175,87.06,26,12.94,19024
19,25,279,202,72.4,77,27.6,19025
19,26,271,196,72.32,75,27.68,19026
19,27,151,100,66.23,51,33.77,19027
19,29,155,131,84.52,24,15.48,19029
19,30,189,170,89.95,19,10.05,19030
19,31,235,182,77.45,53,22.55,19031
19,32,249,205,82.33,44,17.67,19032
19,33,228,185,81.14,43,18.86,19033
19,34,282,220,78.01,62,21.99,19034
19,35,253,189,74.7,64,25.3,19035
19,36,249,178,71.49,71,28.51,19036
19,37,244,176,72.13,68,27.87,19037
19,38,216,166,76.85,50,23.15,19038
19,39,72,63,87.5,9,12.5,19039
19,40,236,188,79.66,48,20.34,19040
19,41,173,155,89.6,18,10.4,19041
19,42,217,146,67.28,71,32.72,19042
19,44,213,184,86.38,29,13.62,19044
19,45,246,213,86.59,33,13.41,19045
19,46,329,285,86.63,44,13.37,19046
19,47,179,139,77.65,40,22.35,19047
19,49,278,207,74.46,71,25.54,19049
19,51,167,145,86.83,22,13.17,19051
19,52,159,140,88.05,19,11.95,19052
19,53,251,208,82.87,43,17.13,19053
19,54,140,122,87.14,18,12.86,19054
19,55,169,145,85.8,24,14.2,19055
19,56,284,215,75.7,69,24.3,19056
19,57,265,194,73.21,71,26.79,19057
19,58,222,198,89.19,24,10.81,19058
19,59,199,170,85.43,29,14.57,19059
19,61,320,272,85.0,48,15.0,19061
19,62,226,187,82.74,39,17.26,19062
19,63,163,120,73.62,43,26.38,19063
19,64,238,190,79.83,48,20.17,19064
19,65,189,151,79.89,38,20.11,19065
20,41,38,12,31.58,26,68.42,20041
23,1,199,169,84.92,30,15.08,23001
23,2,247,184,74.49,63,25.51,23002
23,3,191,155,81.15,36,18.85,23003
23,4,175,131,74.86,44,25.14,23004
23,5,142,86,60.56,56,39.44,23005
23,6,205,162,79.02,43,20.98,23006
23,7,201,160,79.6,41,20.4,23007
23,8,177,147,83.05,30,16.95,23008
23,10,262,204,77.86,58,22.14,23010
23,11,221,186,84.16,35,15.84,23011
23,12,181,153,84.53,28,15.47,23012
23,13,214,174,81.31,40,18.69,23013
23,14,157,124,78.98,33,21.02,23014
23,15,169,151,89.35,18,10.65,23015
23,16,212,177,83.49,35,16.51,23016
23,17,234,193,82.48,41,17.52,23017
23,18,135,108,80.0,27,20.0,23018
23,19,167,141,84.43,26,15.57,23019
23,20,179,154,86.03,25,13.97,23020
23,21,130,105,80.77,25,19.23,23021
23,22,181,151,83.43,30,16.57,23022
23,23,173,146,84.39,27,15.61,23023
23,25,129,83,64.34,46,35.66,23025
23,26,194,156,80.41,38,19.59,23026
23,27,156,128,82.05,28,17.95,23027
23,28,205,182,88.78,23,11.22,23028
23,30,165,148,89.7,17,10.3,23030
23,31,182,130,71.43,52,28.57,23031
23,32,219,174,79.45,45,20.55,23032
23,33,206,158,76.7,48,23.3,23033
23,34,135,108,80.0,27,20.0,23034
23,35,102,86,84.31,16,15.69,23035
23,36,239,195,81.59,44,18.41,23036
23,37,126,108,85.71,18,14.29,23037
23,38,156,139,89.1,17,10.9,23038
23,39,158,134,84.81,24,15.19,23039
23,40,183,151,82.51,32,17.49,23040
23,41,176,126,71.59,50,28.41,23041
23,42,158,127,80.38,31,19.62,23042
23,43,212,172,81.13,40,18.87,23043
23,44,211,174,82.46,37,17.54,23044
23,45,201,156,77.61,45,22.39,23045
23,46,180,144,80.0,36,20.0,23046
23,47,235,196,83.4,39,16.6,23047
23,48,163,139,85.28,24,14.72,23048
23,49,265,225,84.91,40,15.09,23049
23,50,134,80,59.7,54,40.3,23050
23,51,189,147,77.78,42,22.22,23051
23,52,228,186,81.58,42,18.42,23052
23,53,133,93,69.92,40,30.08,23053
23,54,225,197,87.56,28,12.44,23054
