ward,precinct,total,Desiree Grode,Desiree Grode Percent,Robert B. Steele,Robert B. Steele Percent,Frank M. Bass,Frank M. Bass Percent,Erold Elysee,Erold Elysee Percent,precinct_id
2,1,163,75,46.01,58,35.58,23,14.11,7,4.29,02001
2,2,27,9,33.33,16,59.26,2,7.41,0,0.0,02002
2,4,85,13,15.29,61,71.76,9,10.59,2,2.35,02004
2,6,76,35,46.05,27,35.53,9,11.84,5,6.58,02006
2,8,172,79,45.93,71,41.28,18,10.47,4,2.33,02008
2,9,103,26,25.24,63,61.17,10,9.71,4,3.88,02009
2,10,85,24,28.24,52,61.18,6,7.06,3,3.53,02010
2,11,232,143,61.64,51,21.98,33,14.22,5,2.16,02011
2,12,110,52,47.27,35,31.82,20,18.18,3,2.73,02012
2,13,124,38,30.65,68,54.84,17,13.71,1,0.81,02013
2,15,9,2,22.22,7,77.78,0,0.0,0,0.0,02015
2,16,27,13,48.15,11,40.74,3,11.11,0,0.0,02016
2,17,84,22,26.19,49,58.33,10,11.9,3,3.57,02017
2,22,213,86,40.38,99,46.48,23,10.8,5,2.35,02022
2,24,62,25,40.32,25,40.32,12,19.35,0,0.0,02024
2,25,154,47,30.52,86,55.84,15,9.74,6,3.9,02025
2,27,109,16,14.68,78,71.56,11,10.09,4,3.67,02027
2,28,80,32,40.0,31,38.75,12,15.0,5,6.25,02028
2,29,73,14,19.18,50,68.49,8,10.96,1,1.37,02029
2,32,51,12,23.53,29,56.86,8,15.69,2,3.92,02032
2,33,68,15,22.06,49,72.06,4,5.88,0,0.0,02033
2,34,116,14,12.07,87,75.0,12,10.34,3,2.59,02034
2,35,22,12,54.55,5,22.73,4,18.18,1,4.55,02035
2,37,105,54,51.43,39,37.14,11,10.48,1,0.95,02037
2,39,93,25,26.88,54,58.06,12,12.9,2,2.15,02039
2,40,200,75,37.5,92,46.0,27,13.5,6,3.0,02040
2,41,62,11,17.74,47,75.81,4,6.45,0,0.0,02041
2,43,212,82,38.68,86,40.57,30,14.15,14,6.6,02043
2,47,87,12,13.79,59,67.82,16,18.39,0,0.0,02047
2,48,82,12,14.63,63,76.83,7,8.54,0,0.0,02048
