ward,precinct,total,Rudy Lozano,Rudy Lozano Percent,Daniel J. Burke,Daniel J. Burke Percent,Martin Meza-Zavala,Martin Meza-Zavala Percent,Rene Diaz,Rene Diaz Percent,precinct_id
13,3,199,78,39.2,111,55.78,3,1.51,7,3.52,13003
13,18,156,69,44.23,75,48.08,4,2.56,8,5.13,13018
13,20,173,75,43.35,94,54.34,2,1.16,2,1.16,13020
13,31,164,58,35.37,101,61.59,2,1.22,3,1.83,13031
14,1,90,32,35.56,54,60.0,1,1.11,3,3.33,14001
14,2,139,25,17.99,106,76.26,4,2.88,4,2.88,14002
14,3,181,56,30.94,117,64.64,2,1.1,6,3.31,14003
14,4,106,35,33.02,66,62.26,4,3.77,1,0.94,14004
14,5,194,56,28.87,131,67.53,4,2.06,3,1.55,14005
14,6,139,48,34.53,85,61.15,2,1.44,4,2.88,14006
14,9,185,30,16.22,151,81.62,1,0.54,3,1.62,14009
14,11,125,28,22.4,96,76.8,0,0.0,1,0.8,14011
14,13,192,35,18.23,153,79.69,1,0.52,3,1.56,14013
14,15,162,38,23.46,121,74.69,1,0.62,2,1.23,14015
14,24,102,30,29.41,66,64.71,1,0.98,5,4.9,14024
14,25,157,31,19.75,125,79.62,1,0.64,0,0.0,14025
14,27,182,35,19.23,139,76.37,4,2.2,4,2.2,14027
14,28,155,31,20.0,119,76.77,3,1.94,2,1.29,14028
14,32,124,38,30.65,85,68.55,0,0.0,1,0.81,14032
14,34,121,34,28.1,84,69.42,0,0.0,3,2.48,14034
15,1,25,9,36.0,13,52.0,1,4.0,2,8.0,15001
15,10,74,41,55.41,28,37.84,1,1.35,4,5.41,15010
15,16,82,56,68.29,22,26.83,2,2.44,2,2.44,15016
16,17,99,57,57.58,36,36.36,3,3.03,3,3.03,16017
16,32,67,31,46.27,33,49.25,1,1.49,2,2.99,16032
16,39,114,59,51.75,48,42.11,1,0.88,6,5.26,16039
22,2,84,50,59.52,22,26.19,3,3.57,9,10.71,22002
22,3,145,95,65.52,44,30.34,4,2.76,2,1.38,22003
22,4,108,68,62.96,37,34.26,2,1.85,1,0.93,22004
22,5,134,107,79.85,15,11.19,4,2.99,8,5.97,22005
22,6,131,114,87.02,11,8.4,4,3.05,2,1.53,22006
22,10,149,119,79.87,26,17.45,1,0.67,3,2.01,22010
22,12,104,77,74.04,25,24.04,2,1.92,0,0.0,22012
22,13,146,106,72.6,31,21.23,4,2.74,5,3.42,22013
22,14,68,52,76.47,13,19.12,2,2.94,1,1.47,22014
22,16,147,122,82.99,20,13.61,2,1.36,3,2.04,22016
22,17,135,121,89.63,10,7.41,3,2.22,1,0.74,22017
22,18,130,96,73.85,27,20.77,3,2.31,4,3.08,22018
22,20,138,103,74.64,27,19.57,4,2.9,4,2.9,22020
22,23,162,146,90.12,12,7.41,1,0.62,3,1.85,22023
22,24,100,84,84.0,11,11.0,3,3.0,2,2.0,22024
22,25,106,72,67.92,25,23.58,5,4.72,4,3.77,22025
22,26,92,60,65.22,29,31.52,1,1.09,2,2.17,22026
22,27,160,111,69.38,43,26.88,2,1.25,4,2.5,22027
22,28,71,53,74.65,16,22.54,0,0.0,2,2.82,22028
23,5,146,79,54.11,65,44.52,0,0.0,2,1.37,23005
23,6,214,52,24.3,155,72.43,4,1.87,3,1.4,23006
23,9,201,81,40.3,112,55.72,4,1.99,4,1.99,23009
23,10,269,82,30.48,178,66.17,1,0.37,8,2.97,23010
23,21,1,0,0.0,1,100.0,0,0.0,0,0.0,23021
23,24,118,54,45.76,61,51.69,0,0.0,3,2.54,23024
23,25,133,44,33.08,81,60.9,6,4.51,2,1.5,23025
23,29,158,71,44.94,77,48.73,3,1.9,7,4.43,23029
23,31,192,76,39.58,102,53.13,6,3.13,8,4.17,23031
23,32,219,70,31.96,138,63.01,6,2.74,5,2.28,23032
23,33,212,84,39.62,125,58.96,2,0.94,1,0.47,23033
23,37,90,10,11.11,70,77.78,4,4.44,6,6.67,23037
23,41,178,70,39.33,102,57.3,1,0.56,5,2.81,23041
23,50,135,54,40.0,75,55.56,5,3.7,1,0.74,23050
23,51,195,66,33.85,117,60.0,4,2.05,8,4.1,23051
23,53,137,43,31.39,91,66.42,0,0.0,3,2.19,23053
