ward,precinct,total,Mary Sendra Anselmo,Mary Sendra Anselmo Percent,Wanda Majcher,Wanda Majcher Percent,Thomas M. Ryan,Thomas M. Ryan Percent,John G. Mulroe,John G. Mulroe Percent,precinct_id
29,9,7,2,28.57,1,14.29,3,42.86,1,14.29,29009
36,5,101,52,51.49,1,0.99,24,23.76,24,23.76,36005
36,6,100,28,28.0,11,11.0,10,10.0,51,51.0,36006
36,7,94,32,34.04,15,15.96,22,23.4,25,26.6,36007
36,8,102,39,38.24,13,12.75,22,21.57,28,27.45,36008
36,9,100,33,33.0,12,12.0,19,19.0,36,36.0,36009
36,10,109,53,48.62,10,9.17,17,15.6,29,26.61,36010
36,11,180,99,55.0,12,6.67,34,18.89,35,19.44,36011
36,12,92,30,32.61,11,11.96,33,35.87,18,19.57,36012
36,13,206,136,66.02,18,8.74,29,14.08,23,11.17,36013
36,14,148,108,72.97,11,7.43,18,12.16,11,7.43,36014
36,15,106,64,60.38,10,9.43,25,23.58,7,6.6,36015
36,17,102,45,44.12,6,5.88,14,13.73,37,36.27,36017
36,18,148,62,41.89,8,5.41,29,19.59,49,33.11,36018
36,19,123,72,58.54,7,5.69,31,25.2,13,10.57,36019
36,20,164,103,62.8,20,12.2,21,12.8,20,12.2,36020
36,21,222,99,44.59,20,9.01,48,21.62,55,24.77,36021
36,25,100,37,37.0,11,11.0,24,24.0,28,28.0,36025
36,26,109,38,34.86,20,18.35,33,30.28,18,16.51,36026
36,27,69,18,26.09,5,7.25,18,26.09,28,40.58,36027
36,28,114,64,56.14,23,20.18,13,11.4,14,12.28,36028
36,29,87,40,45.98,6,6.9,13,14.94,28,32.18,36029
36,30,149,75,50.34,8,5.37,31,20.81,35,23.49,36030
36,31,139,75,53.96,14,10.07,26,18.71,24,17.27,36031
36,32,109,29,26.61,13,11.93,38,34.86,29,26.61,36032
36,34,88,28,31.82,11,12.5,21,23.86,28,31.82,36034
36,35,135,85,62.96,9,6.67,18,13.33,23,17.04,36035
36,37,78,28,35.9,11,14.1,13,16.67,26,33.33,36037
36,38,92,60,65.22,5,5.43,19,20.65,8,8.7,36038
36,39,111,47,42.34,11,9.91,25,22.52,28,25.23,36039
36,40,135,53,39.26,12,8.89,43,31.85,27,20.0,36040
36,41,33,14,42.42,6,18.18,6,18.18,7,21.21,36041
36,42,105,35,33.33,18,17.14,22,20.95,30,28.57,36042
36,43,96,27,28.13,9,9.38,19,19.79,41,42.71,36043
36,46,100,35,35.0,14,14.0,22,22.0,29,29.0,36046
36,47,99,57,57.58,7,7.07,23,23.23,12,12.12,36047
36,48,106,28,26.42,6,5.66,32,30.19,40,37.74,36048
36,49,159,41,25.79,13,8.18,59,37.11,46,28.93,36049
36,50,107,69,64.49,15,14.02,10,9.35,13,12.15,36050
36,52,97,33,34.02,13,13.4,25,25.77,26,26.8,36052
36,53,46,19,41.3,10,21.74,11,23.91,6,13.04,36053
38,1,127,28,22.05,18,14.17,39,30.71,42,33.07,38001
38,2,77,17,22.08,23,29.87,19,24.68,18,23.38,38002
38,3,71,24,33.8,5,7.04,24,33.8,18,25.35,38003
38,4,48,8,16.67,4,8.33,14,29.17,22,45.83,38004
38,5,18,6,33.33,2,11.11,5,27.78,5,27.78,38005
38,6,89,27,30.34,19,21.35,19,21.35,24,26.97,38006
38,8,70,20,28.57,7,10.0,22,31.43,21,30.0,38008
38,9,100,16,16.0,11,11.0,24,24.0,49,49.0,38009
38,11,87,15,17.24,7,8.05,33,37.93,32,36.78,38011
38,12,114,30,26.32,17,14.91,32,28.07,35,30.7,38012
38,13,93,18,19.35,17,18.28,22,23.66,36,38.71,38013
38,14,96,19,19.79,12,12.5,29,30.21,36,37.5,38014
38,15,80,15,18.75,5,6.25,34,42.5,26,32.5,38015
38,17,92,23,25.0,22,23.91,17,18.48,30,32.61,38017
38,18,127,16,12.6,25,19.69,26,20.47,60,47.24,38018
38,19,128,30,23.44,20,15.63,28,21.88,50,39.06,38019
38,21,95,15,15.79,29,30.53,33,34.74,18,18.95,38021
38,22,112,26,23.21,16,14.29,38,33.93,32,28.57,38022
38,23,96,23,23.96,12,12.5,36,37.5,25,26.04,38023
38,25,108,21,19.44,11,10.19,34,31.48,42,38.89,38025
38,26,56,13,23.21,16,28.57,16,28.57,11,19.64,38026
38,27,57,12,21.05,8,14.04,21,36.84,16,28.07,38027
38,28,85,18,21.18,15,17.65,26,30.59,26,30.59,38028
38,29,92,23,25.0,18,19.57,22,23.91,29,31.52,38029
38,30,79,21,26.58,13,16.46,23,29.11,22,27.85,38030
38,31,105,31,29.52,22,20.95,25,23.81,27,25.71,38031
38,32,137,16,11.68,19,13.87,41,29.93,61,44.53,38032
38,33,92,15,16.3,18,19.57,27,29.35,32,34.78,38033
38,35,112,25,22.32,19,16.96,27,24.11,41,36.61,38035
38,36,96,21,21.88,13,13.54,24,25.0,38,39.58,38036
38,37,100,30,30.0,17,17.0,27,27.0,26,26.0,38037
38,38,113,30,26.55,17,15.04,37,32.74,29,25.66,38038
38,39,84,16,19.05,23,27.38,20,23.81,25,29.76,38039
38,40,97,13,13.4,17,17.53,25,25.77,42,43.3,38040
38,41,159,32,20.13,11,6.92,36,22.64,80,50.31,38041
38,42,130,30,23.08,13,10.0,37,28.46,50,38.46,38042
38,43,110,28,25.45,13,11.82,29,26.36,40,36.36,38043
38,44,118,23,19.49,23,19.49,27,22.88,45,38.14,38044
38,45,117,18,15.38,17,14.53,37,31.62,45,38.46,38045
38,46,81,24,29.63,8,9.88,15,18.52,34,41.98,38046
38,47,88,16,18.18,14,15.91,23,26.14,35,39.77,38047
38,48,94,22,23.4,5,5.32,32,34.04,35,37.23,38048
38,49,95,19,20.0,20,21.05,22,23.16,34,35.79,38049
38,50,89,14,15.73,13,14.61,36,40.45,26,29.21,38050
38,51,67,17,25.37,14,20.9,12,17.91,24,35.82,38051
38,52,111,22,19.82,11,9.91,28,25.23,50,45.05,38052
41,1,175,16,9.14,8,4.57,43,24.57,108,61.71,41001
41,2,226,15,6.64,11,4.87,32,14.16,168,74.34,41002
41,3,144,20,13.89,10,6.94,40,27.78,74,51.39,41003
41,4,217,19,8.76,9,4.15,48,22.12,141,64.98,41004
41,5,205,14,6.83,11,5.37,22,10.73,158,77.07,41005
41,7,210,15,7.14,6,2.86,29,13.81,160,76.19,41007
41,8,163,32,19.63,6,3.68,43,26.38,82,50.31,41008
41,9,145,31,21.38,25,17.24,42,28.97,47,32.41,41009
41,11,181,19,10.5,9,4.97,31,17.13,122,67.4,41011
41,12,153,27,17.65,21,13.73,25,16.34,80,52.29,41012
41,15,213,16,7.51,10,4.69,39,18.31,148,69.48,41015
41,16,166,10,6.02,22,13.25,34,20.48,100,60.24,41016
41,17,190,28,14.74,14,7.37,29,15.26,119,62.63,41017
41,18,132,25,18.94,12,9.09,46,34.85,49,37.12,41018
41,20,174,34,19.54,12,6.9,52,29.89,76,43.68,41020
41,21,179,27,15.08,17,9.5,48,26.82,87,48.6,41021
41,22,155,19,12.26,15,9.68,34,21.94,87,56.13,41022
41,24,147,24,16.33,19,12.93,42,28.57,62,42.18,41024
41,30,172,30,17.44,14,8.14,37,21.51,91,52.91,41030
41,31,195,19,9.74,12,6.15,30,15.38,134,68.72,41031
41,33,114,12,10.53,3,2.63,64,56.14,35,30.7,41033
41,34,127,19,14.96,9,7.09,36,28.35,63,49.61,41034
41,35,189,23,12.17,6,3.17,57,30.16,103,54.5,41035
41,36,165,23,13.94,15,9.09,41,24.85,86,52.12,41036
41,37,179,19,10.61,9,5.03,34,18.99,117,65.36,41037
41,38,156,22,14.1,11,7.05,42,26.92,81,51.92,41038
41,40,202,14,6.93,11,5.45,36,17.82,141,69.8,41040
41,41,158,12,7.59,8,5.06,47,29.75,91,57.59,41041
41,42,212,4,1.89,7,3.3,40,18.87,161,75.94,41042
41,43,159,22,13.84,13,8.18,48,30.19,76,47.8,41043
41,45,113,10,8.85,12,10.62,35,30.97,56,49.56,41045
41,46,143,32,22.38,12,8.39,39,27.27,60,41.96,41046
41,49,241,13,5.39,5,2.07,27,11.2,196,81.33,41049
41,50,163,31,19.02,16,9.82,41,25.15,75,46.01,41050
41,51,118,10,8.47,7,5.93,15,12.71,86,72.88,41051
41,52,231,32,13.85,16,6.93,47,20.35,136,58.87,41052
41,53,152,21,13.82,13,8.55,40,26.32,78,51.32,41053
41,55,120,12,10.0,7,5.83,38,31.67,63,52.5,41055
41,56,228,18,7.89,5,2.19,18,7.89,187,82.02,41056
45,1,105,26,24.76,13,12.38,38,36.19,28,26.67,45001
45,2,161,24,14.91,17,10.56,32,19.88,88,54.66,45002
45,3,178,10,5.62,11,6.18,45,25.28,112,62.92,45003
45,6,143,20,13.99,16,11.19,51,35.66,56,39.16,45006
45,7,112,17,15.18,9,8.04,27,24.11,59,52.68,45007
45,8,108,26,24.07,16,14.81,21,19.44,45,41.67,45008
45,9,152,16,10.53,23,15.13,45,29.61,68,44.74,45009
45,11,114,13,11.4,8,7.02,37,32.46,56,49.12,45011
45,13,146,29,19.86,21,14.38,27,18.49,69,47.26,45013
45,15,140,21,15.0,18,12.86,46,32.86,55,39.29,45015
45,16,137,33,24.09,20,14.6,26,18.98,58,42.34,45016
45,17,110,16,14.55,10,9.09,37,33.64,47,42.73,45017
45,18,138,21,15.22,8,5.8,27,19.57,82,59.42,45018
45,19,172,19,11.05,6,3.49,91,52.91,56,32.56,45019
45,20,131,19,14.5,31,23.66,43,32.82,38,29.01,45020
45,21,133,28,21.05,13,9.77,33,24.81,59,44.36,45021
45,22,116,31,26.72,14,12.07,34,29.31,37,31.9,45022
45,23,161,19,11.8,17,10.56,29,18.01,96,59.63,45023
45,25,137,15,10.95,16,11.68,40,29.2,66,48.18,45025
45,26,159,24,15.09,12,7.55,41,25.79,82,51.57,45026
45,27,116,9,7.76,7,6.03,30,25.86,70,60.34,45027
45,28,110,24,21.82,10,9.09,28,25.45,48,43.64,45028
45,29,138,25,18.12,36,26.09,38,27.54,39,28.26,45029
45,30,169,21,12.43,24,14.2,61,36.09,63,37.28,45030
45,31,121,29,23.97,14,11.57,27,22.31,51,42.15,45031
45,32,98,19,19.39,9,9.18,23,23.47,47,47.96,45032
45,33,120,13,10.83,7,5.83,23,19.17,77,64.17,45033
45,34,111,12,10.81,21,18.92,28,25.23,50,45.05,45034
45,35,148,20,13.51,11,7.43,28,18.92,89,60.14,45035
45,37,127,29,22.83,22,17.32,28,22.05,48,37.8,45037
45,38,145,26,17.93,20,13.79,37,25.52,62,42.76,45038
45,39,162,25,15.43,9,5.56,46,28.4,82,50.62,45039
45,40,163,23,14.11,18,11.04,36,22.09,86,52.76,45040
