ward,precinct,total,Cynthia Soto,Cynthia Soto Percent,Jose ''Joe'' Massas,Jose ''Joe'' Massas Percent,precinct_id
1,1,96,85,88.54,11,11.46,01001
1,2,79,67,84.81,12,15.19,01002
1,3,63,55,87.3,8,12.7,01003
1,4,98,86,87.76,12,12.24,01004
1,5,76,68,89.47,8,10.53,01005
1,10,101,86,85.15,15,14.85,01010
1,11,71,59,83.1,12,16.9,01011
1,14,83,75,90.36,8,9.64,01014
1,15,88,79,89.77,9,10.23,01015
1,17,63,57,90.48,6,9.52,01017
1,18,94,82,87.23,12,12.77,01018
1,21,68,65,95.59,3,4.41,01021
1,22,81,72,88.89,9,11.11,01022
1,23,73,67,91.78,6,8.22,01023
1,25,61,54,88.52,7,11.48,01025
1,26,60,49,81.67,11,18.33,01026
1,27,63,58,92.06,5,7.94,01027
1,32,103,91,88.35,12,11.65,01032
1,33,109,99,90.83,10,9.17,01033
1,35,0,0,0.0,0,0.0,01035
1,36,90,83,92.22,7,7.78,01036
1,37,83,76,91.57,7,8.43,01037
1,40,26,23,88.46,3,11.54,01040
1,43,90,82,91.11,8,8.89,01043
1,44,52,46,88.46,6,11.54,01044
1,45,98,93,94.9,5,5.1,01045
1,46,94,82,87.23,12,12.77,01046
1,47,81,74,91.36,7,8.64,01047
1,48,64,59,92.19,5,7.81,01048
1,49,43,39,90.7,4,9.3,01049
1,50,57,45,78.95,12,21.05,01050
26,1,54,47,87.04,7,12.96,26001
26,2,97,88,90.72,9,9.28,26002
26,3,62,51,82.26,11,17.74,26003
26,5,99,83,83.84,16,16.16,26005
26,7,31,27,87.1,4,12.9,26007
26,9,30,27,90.0,3,10.0,26009
26,10,52,48,92.31,4,7.69,26010
26,11,74,56,75.68,18,24.32,26011
26,12,46,39,84.78,7,15.22,26012
26,14,53,45,84.91,8,15.09,26014
26,15,63,59,93.65,4,6.35,26015
26,18,39,35,89.74,4,10.26,26018
26,20,84,73,86.9,11,13.1,26020
26,21,58,51,87.93,7,12.07,26021
26,22,41,37,90.24,4,9.76,26022
26,23,55,50,90.91,5,9.09,26023
26,24,53,46,86.79,7,13.21,26024
26,25,38,33,86.84,5,13.16,26025
26,27,86,75,87.21,11,12.79,26027
26,28,59,50,84.75,9,15.25,26028
26,29,59,55,93.22,4,6.78,26029
26,31,85,64,75.29,21,24.71,26031
26,32,74,68,91.89,6,8.11,26032
26,35,89,79,88.76,10,11.24,26035
26,36,48,38,79.17,10,20.83,26036
26,37,42,39,92.86,3,7.14,26037
26,38,41,33,80.49,8,19.51,26038
26,39,59,51,86.44,8,13.56,26039
26,40,52,43,82.69,9,17.31,26040
26,41,87,81,93.1,6,6.9,26041
26,43,60,55,91.67,5,8.33,26043
26,44,42,37,88.1,5,11.9,26044
26,45,76,67,88.16,9,11.84,26045
26,47,26,21,80.77,5,19.23,26047
26,48,105,71,67.62,34,32.38,26048
26,49,44,33,75.0,11,25.0,26049
26,50,43,37,86.05,6,13.95,26050
26,52,28,25,89.29,3,10.71,26052
26,53,37,30,81.08,7,18.92,26053
26,55,62,57,91.94,5,8.06,26055
26,56,64,61,95.31,3,4.69,26056
26,57,59,44,74.58,15,25.42,26057
26,58,79,65,82.28,14,17.72,26058
26,59,66,51,77.27,15,22.73,26059
26,61,42,35,83.33,7,16.67,26061
26,63,25,24,96.0,1,4.0,26063
27,4,58,50,86.21,8,13.79,27004
27,10,20,17,85.0,3,15.0,27010
27,13,97,78,80.41,19,19.59,27013
27,32,125,111,88.8,14,11.2,27032
27,35,88,82,93.18,6,6.82,27035
27,38,64,62,96.88,2,3.13,27038
27,41,89,75,84.27,14,15.73,27041
27,56,52,42,80.77,10,19.23,27056
27,59,130,116,89.23,14,10.77,27059
30,20,61,53,86.89,8,13.11,30020
30,23,71,62,87.32,9,12.68,30023
30,26,52,47,90.38,5,9.62,30026
30,29,42,35,83.33,7,16.67,30029
30,31,49,43,87.76,6,12.24,30031
30,32,33,26,78.79,7,21.21,30032
30,33,61,57,93.44,4,6.56,30033
32,1,123,110,89.43,13,10.57,32001
32,3,86,73,84.88,13,15.12,32003
32,11,105,89,84.76,16,15.24,32011
32,12,77,73,94.81,4,5.19,32012
32,17,103,89,86.41,14,13.59,32017
32,46,19,14,73.68,5,26.32,32046
35,14,101,90,89.11,11,10.89,35014
35,32,71,63,88.73,8,11.27,35032
37,42,1,1,100.0,0,0.0,37042
