ward,precinct,total,Stella B. Black,Stella B. Black Percent,Barbara McGowan,Barbara McGowan Percent,Michael A. Alvarez,Michael A. Alvarez Percent,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Kathleen Mary O'Reilley,Kathleen Mary O'Reilley Percent,"Wallace Davis, III","Wallace Davis, III Percent",Maureen Kelly,Maureen Kelly Percent,Todd Connor,Todd Connor Percent,Kari K. Steele,Kari K. Steele Percent,precinct_id
1,1,215,8,3.72,21,9.77,27,12.56,44,20.47,17,7.91,14,6.51,24,11.16,33,15.35,27,12.56,01001
1,2,173,12,6.94,15,8.67,22,12.72,40,23.12,12,6.94,7,4.05,10,5.78,30,17.34,25,14.45,01002
1,3,131,6,4.58,17,12.98,15,11.45,31,23.66,13,9.92,2,1.53,8,6.11,23,17.56,16,12.21,01003
1,4,202,12,5.94,24,11.88,15,7.43,50,24.75,14,6.93,6,2.97,18,8.91,42,20.79,21,10.4,01004
1,5,169,13,7.69,18,10.65,20,11.83,37,21.89,9,5.33,12,7.1,9,5.33,28,16.57,23,13.61,01005
1,6,211,6,2.84,15,7.11,25,11.85,54,25.59,24,11.37,13,6.16,22,10.43,28,13.27,24,11.37,01006
1,7,170,6,3.53,20,11.76,23,13.53,37,21.76,17,10.0,4,2.35,22,12.94,30,17.65,11,6.47,01007
1,8,186,12,6.45,16,8.6,19,10.22,42,22.58,12,6.45,7,3.76,10,5.38,39,20.97,29,15.59,01008
1,9,245,14,5.71,25,10.2,39,15.92,54,22.04,24,9.8,12,4.9,20,8.16,37,15.1,20,8.16,01009
1,10,231,12,5.19,32,13.85,18,7.79,58,25.11,21,9.09,3,1.3,11,4.76,46,19.91,30,12.99,01010
1,11,132,7,5.3,9,6.82,13,9.85,22,16.67,20,15.15,8,6.06,17,12.88,22,16.67,14,10.61,01011
1,12,278,15,5.4,35,12.59,37,13.31,60,21.58,20,7.19,8,2.88,15,5.4,55,19.78,33,11.87,01012
1,13,296,17,5.74,39,13.18,48,16.22,55,18.58,30,10.14,8,2.7,34,11.49,40,13.51,25,8.45,01013
1,14,192,6,3.13,20,10.42,23,11.98,52,27.08,7,3.65,12,6.25,13,6.77,34,17.71,25,13.02,01014
1,15,154,10,6.49,23,14.94,47,30.52,28,18.18,9,5.84,6,3.9,6,3.9,13,8.44,12,7.79,01015
