ward,precinct,total,William ''Will'' Davis,William ''Will'' Davis Percent,precinct_id
9,4,120,120,100.0,09004
9,6,146,146,100.0,09006
9,11,83,83,100.0,09011
9,18,98,98,100.0,09018
9,19,146,146,100.0,09019
9,30,147,147,100.0,09030
9,39,163,163,100.0,09039
9,45,117,117,100.0,09045
34,3,10,10,100.0,34003
34,6,101,101,100.0,34006
34,35,190,190,100.0,34035
