ward,precinct,total,Edward Harmening,Edward Harmening Percent,James Patrick Doran,James Patrick Doran Percent,Thomas J. Murphy,Thomas J. Murphy Percent,precinct_id
19,52,150,72,48.0,18,12.0,45,30.0,19052
19,53,252,77,30.56,91,36.11,52,20.63,19053
19,54,135,69,51.11,25,18.52,28,20.74,19054
19,55,175,96,54.86,19,10.86,35,20.0,19055
19,56,268,84,31.34,38,14.18,45,16.79,19056
19,57,240,66,27.5,55,22.92,46,19.17,19057
19,58,219,90,41.1,92,42.01,25,11.42,19058
19,59,193,98,50.78,28,14.51,52,26.94,19059
19,61,332,127,38.25,138,41.57,36,10.84,19061
19,62,224,84,37.5,53,23.66,58,25.89,19062
19,63,157,54,34.39,24,15.29,39,24.84,19063
19,64,227,87,38.33,30,13.22,60,26.43,19064
19,65,160,51,31.88,20,12.5,52,32.5,19065
19,66,157,20,12.74,34,21.66,58,36.94,19066
21,20,8,0,0.0,1,12.5,1,12.5,21020
23,1,173,84,48.55,27,15.61,54,31.21,23001
23,2,240,112,46.67,55,22.92,52,21.67,23002
23,3,160,69,43.13,30,18.75,45,28.13,23003
23,4,160,43,26.88,42,26.25,53,33.13,23004
23,5,116,32,27.59,32,27.59,37,31.9,23005
23,6,180,81,45.0,19,10.56,61,33.89,23006
23,7,166,62,37.35,29,17.47,56,33.73,23007
23,8,151,81,53.64,17,11.26,33,21.85,23008
23,9,175,40,22.86,39,22.29,65,37.14,23009
23,10,240,130,54.17,31,12.92,55,22.92,23010
23,11,198,83,41.92,35,17.68,57,28.79,23011
23,12,165,64,38.79,35,21.21,54,32.73,23012
23,13,196,77,39.29,28,14.29,73,37.24,23013
23,14,129,61,47.29,18,13.95,40,31.01,23014
23,15,147,56,38.1,32,21.77,53,36.05,23015
23,16,190,73,38.42,30,15.79,78,41.05,23016
23,17,210,88,41.9,44,20.95,59,28.1,23017
23,18,114,49,42.98,16,14.04,40,35.09,23018
23,19,150,69,46.0,39,26.0,24,16.0,23019
23,20,160,59,36.88,36,22.5,50,31.25,23020
23,21,116,31,26.72,6,5.17,30,25.86,23021
23,22,161,55,34.16,35,21.74,48,29.81,23022
23,23,147,53,36.05,32,21.77,42,28.57,23023
23,24,101,25,24.75,22,21.78,31,30.69,23024
23,25,111,34,30.63,22,19.82,41,36.94,23025
23,26,168,70,41.67,38,22.62,49,29.17,23026
23,27,146,54,36.99,27,18.49,58,39.73,23027
23,28,180,59,32.78,33,18.33,69,38.33,23028
23,29,133,31,23.31,33,24.81,45,33.83,23029
23,30,144,69,47.92,23,15.97,36,25.0,23030
23,32,186,55,29.57,43,23.12,64,34.41,23032
23,33,177,45,25.42,51,28.81,51,28.81,23033
23,34,117,41,35.04,23,19.66,35,29.91,23034
23,35,90,9,10.0,12,13.33,39,43.33,23035
23,36,205,85,41.46,40,19.51,67,32.68,23036
23,37,119,32,26.89,12,10.08,35,29.41,23037
23,38,139,45,32.37,42,30.22,37,26.62,23038
23,39,141,59,41.84,34,24.11,37,26.24,23039
23,40,154,53,34.42,37,24.03,54,35.06,23040
23,41,154,42,27.27,31,20.13,56,36.36,23041
23,42,146,68,46.58,30,20.55,31,21.23,23042
23,43,180,53,29.44,57,31.67,57,31.67,23043
23,44,193,108,55.96,36,18.65,32,16.58,23044
23,45,180,82,45.56,37,20.56,37,20.56,23045
23,46,167,65,38.92,22,13.17,65,38.92,23046
23,47,204,93,45.59,30,14.71,61,29.9,23047
23,48,147,79,53.74,20,13.61,34,23.13,23048
23,49,240,116,48.33,39,16.25,66,27.5,23049
23,50,117,39,33.33,20,17.09,38,32.48,23050
23,51,180,56,31.11,43,23.89,47,26.11,23051
23,52,206,87,42.23,42,20.39,55,26.7,23052
23,53,110,44,40.0,19,17.27,31,28.18,23053
23,54,201,82,40.8,42,20.9,55,27.36,23054
34,19,24,3,12.5,6,25.0,10,41.67,34019
34,33,65,11,16.92,8,12.31,20,30.77,34033
