ward,precinct,total,Toni Preckwinkle,Toni Preckwinkle Percent,Terrence J. O'Brien,Terrence J. O'Brien Percent,Dorothy A. Brown,Dorothy A. Brown Percent,Todd H. Stroger,Todd H. Stroger Percent,precinct_id
1,1,109,68,62.39,25,22.94,15,13.76,1,0.92,01001
1,2,90,62,68.89,13,14.44,11,12.22,4,4.44,01002
1,3,66,46,69.7,8,12.12,9,13.64,3,4.55,01003
1,4,113,82,72.57,17,15.04,13,11.5,1,0.88,01004
1,5,90,57,63.33,12,13.33,18,20.0,3,3.33,01005
1,6,104,56,53.85,27,25.96,13,12.5,8,7.69,01006
1,7,88,62,70.45,15,17.05,7,7.95,4,4.55,01007
1,8,102,63,61.76,11,10.78,17,16.67,11,10.78,01008
1,9,118,75,63.56,18,15.25,20,16.95,5,4.24,01009
1,10,108,81,75.0,17,15.74,9,8.33,1,0.93,01010
1,11,74,50,67.57,11,14.86,6,8.11,7,9.46,01011
1,12,126,79,62.7,26,20.63,15,11.9,6,4.76,01012
1,13,144,85,59.03,31,21.53,22,15.28,6,4.17,01013
1,14,94,63,67.02,11,11.7,12,12.77,8,8.51,01014
1,15,85,60,70.59,9,10.59,13,15.29,3,3.53,01015
1,16,60,21,35.0,8,13.33,19,31.67,12,20.0,01016
1,17,79,49,62.03,14,17.72,13,16.46,3,3.8,01017
1,18,103,72,69.9,8,7.77,17,16.5,6,5.83,01018
1,19,77,42,54.55,19,24.68,9,11.69,7,9.09,01019
1,20,140,66,47.14,24,17.14,40,28.57,10,7.14,01020
1,21,74,43,58.11,14,18.92,13,17.57,4,5.41,01021
1,22,94,54,57.45,15,15.96,17,18.09,8,8.51,01022
1,23,86,46,53.49,15,17.44,23,26.74,2,2.33,01023
1,24,185,127,68.65,26,14.05,23,12.43,9,4.86,01024
1,25,71,38,53.52,17,23.94,12,16.9,4,5.63,01025
1,26,66,44,66.67,17,25.76,4,6.06,1,1.52,01026
1,27,73,40,54.79,17,23.29,14,19.18,2,2.74,01027
1,28,70,34,48.57,15,21.43,15,21.43,6,8.57,01028
1,29,108,72,66.67,20,18.52,12,11.11,4,3.7,01029
1,30,166,106,63.86,28,16.87,21,12.65,11,6.63,01030
1,31,81,53,65.43,17,20.99,8,9.88,3,3.7,01031
1,32,120,56,46.67,18,15.0,40,33.33,6,5.0,01032
1,33,121,74,61.16,34,28.1,11,9.09,2,1.65,01033
1,34,64,44,68.75,7,10.94,11,17.19,2,3.13,01034
1,35,72,53,73.61,14,19.44,3,4.17,2,2.78,01035
1,36,102,72,70.59,14,13.73,12,11.76,4,3.92,01036
1,37,91,54,59.34,20,21.98,11,12.09,6,6.59,01037
1,38,47,19,40.43,9,19.15,17,36.17,2,4.26,01038
1,39,91,52,57.14,24,26.37,12,13.19,3,3.3,01039
1,40,33,16,48.48,13,39.39,2,6.06,2,6.06,01040
1,41,78,49,62.82,18,23.08,8,10.26,3,3.85,01041
1,42,72,52,72.22,16,22.22,3,4.17,1,1.39,01042
1,43,102,51,50.0,13,12.75,26,25.49,12,11.76,01043
1,44,69,44,63.77,13,18.84,8,11.59,4,5.8,01044
1,45,104,59,56.73,19,18.27,19,18.27,7,6.73,01045
1,46,107,71,66.36,23,21.5,11,10.28,2,1.87,01046
1,47,90,61,67.78,18,20.0,9,10.0,2,2.22,01047
1,48,80,34,42.5,20,25.0,16,20.0,10,12.5,01048
1,49,52,34,65.38,8,15.38,8,15.38,2,3.85,01049
1,50,69,42,60.87,15,21.74,9,13.04,3,4.35,01050
2,1,222,155,69.82,32,14.41,20,9.01,15,6.76,02001
2,2,30,11,36.67,5,16.67,5,16.67,9,30.0,02002
2,3,175,82,46.86,26,14.86,29,16.57,38,21.71,02003
2,4,114,28,24.56,4,3.51,42,36.84,40,35.09,02004
2,5,153,50,32.68,5,3.27,47,30.72,51,33.33,02005
2,6,154,110,71.43,22,14.29,17,11.04,5,3.25,02006
2,7,203,91,44.83,8,3.94,50,24.63,54,26.6,02007
2,8,228,166,72.81,25,10.96,17,7.46,20,8.77,02008
2,9,122,44,36.07,19,15.57,29,23.77,30,24.59,02009
2,10,116,43,37.07,3,2.59,38,32.76,32,27.59,02010
2,11,297,236,79.46,31,10.44,16,5.39,14,4.71,02011
