ward,precinct,total,Abbey Fishman Romanek,Abbey Fishman Romanek Percent,Yehuda Lebovits,Yehuda Lebovits Percent,Geary W. Kull,Geary W. Kull Percent,Dennis Michael Fleming,Dennis Michael Fleming Percent,precinct_id
39,32,78,11,14.1,45,57.69,11,14.1,11,14.1,39032
39,41,24,3,12.5,14,58.33,4,16.67,3,12.5,39041
40,9,101,25,24.75,24,23.76,20,19.8,32,31.68,40009
40,12,85,23,27.06,7,8.24,22,25.88,33,38.82,40012
40,13,139,58,41.73,15,10.79,35,25.18,31,22.3,40013
40,18,88,27,30.68,14,15.91,14,15.91,33,37.5,40018
40,26,129,41,31.78,21,16.28,23,17.83,44,34.11,40026
40,27,86,24,27.91,18,20.93,14,16.28,30,34.88,40027
40,28,115,36,31.3,11,9.57,29,25.22,39,33.91,40028
40,35,88,24,27.27,17,19.32,15,17.05,32,36.36,40035
40,37,77,20,25.97,12,15.58,17,22.08,28,36.36,40037
40,39,80,24,30.0,26,32.5,13,16.25,17,21.25,40039
40,47,121,49,40.5,29,23.97,30,24.79,13,10.74,40047
41,19,104,19,18.27,16,15.38,30,28.85,39,37.5,41019
41,44,166,20,12.05,27,16.27,52,31.33,67,40.36,41044
41,47,148,17,11.49,8,5.41,28,18.92,95,64.19,41047
41,54,137,19,13.87,13,9.49,51,37.23,54,39.42,41054
41,57,102,24,23.53,28,27.45,14,13.73,36,35.29,41057
45,5,7,1,14.29,1,14.29,1,14.29,4,57.14,45005
48,2,105,31,29.52,17,16.19,28,26.67,29,27.62,48002
48,13,122,34,27.87,33,27.05,33,27.05,22,18.03,48013
48,15,67,21,31.34,13,19.4,8,11.94,25,37.31,48015
48,22,178,51,28.65,37,20.79,50,28.09,40,22.47,48022
48,32,28,4,14.29,8,28.57,14,50.0,2,7.14,48032
48,33,149,42,28.19,56,37.58,31,20.81,20,13.42,48033
48,41,42,19,45.24,6,14.29,9,21.43,8,19.05,48041
48,54,83,25,30.12,22,26.51,15,18.07,21,25.3,48054
49,1,103,39,37.86,16,15.53,13,12.62,35,33.98,49001
49,2,210,84,40.0,30,14.29,40,19.05,56,26.67,49002
49,3,92,39,42.39,18,19.57,28,30.43,7,7.61,49003
49,4,47,11,23.4,7,14.89,12,25.53,17,36.17,49004
49,5,139,51,36.69,25,17.99,27,19.42,36,25.9,49005
49,6,108,54,50.0,11,10.19,23,21.3,20,18.52,49006
49,7,96,44,45.83,17,17.71,22,22.92,13,13.54,49007
49,8,135,46,34.07,22,16.3,39,28.89,28,20.74,49008
49,9,106,39,36.79,25,23.58,24,22.64,18,16.98,49009
49,10,99,43,43.43,15,15.15,22,22.22,19,19.19,49010
49,11,87,29,33.33,22,25.29,13,14.94,23,26.44,49011
49,12,128,49,38.28,23,17.97,18,14.06,38,29.69,49012
49,13,136,56,41.18,27,19.85,32,23.53,21,15.44,49013
49,14,99,41,41.41,20,20.2,18,18.18,20,20.2,49014
49,15,79,29,36.71,15,18.99,18,22.78,17,21.52,49015
49,16,103,36,34.95,19,18.45,21,20.39,27,26.21,49016
49,18,86,28,32.56,14,16.28,23,26.74,21,24.42,49018
49,19,77,33,42.86,14,18.18,11,14.29,19,24.68,49019
49,20,132,50,37.88,29,21.97,25,18.94,28,21.21,49020
49,21,31,13,41.94,6,19.35,7,22.58,5,16.13,49021
49,22,118,43,36.44,25,21.19,29,24.58,21,17.8,49022
49,23,80,31,38.75,15,18.75,14,17.5,20,25.0,49023
49,24,112,35,31.25,34,30.36,27,24.11,16,14.29,49024
49,25,129,57,44.19,25,19.38,34,26.36,13,10.08,49025
49,26,112,46,41.07,32,28.57,16,14.29,18,16.07,49026
49,27,134,52,38.81,32,23.88,19,14.18,31,23.13,49027
49,28,60,24,40.0,7,11.67,11,18.33,18,30.0,49028
49,29,111,44,39.64,25,22.52,20,18.02,22,19.82,49029
49,30,117,41,35.04,22,18.8,25,21.37,29,24.79,49030
49,31,87,45,51.72,16,18.39,13,14.94,13,14.94,49031
49,32,73,18,24.66,20,27.4,13,17.81,22,30.14,49032
49,33,95,33,34.74,17,17.89,27,28.42,18,18.95,49033
49,34,95,43,45.26,18,18.95,17,17.89,17,17.89,49034
49,35,136,48,35.29,26,19.12,39,28.68,23,16.91,49035
49,36,159,72,45.28,23,14.47,36,22.64,28,17.61,49036
49,37,145,59,40.69,30,20.69,27,18.62,29,20.0,49037
49,38,66,31,46.97,11,16.67,9,13.64,15,22.73,49038
49,39,84,38,45.24,15,17.86,17,20.24,14,16.67,49039
49,40,90,34,37.78,9,10.0,26,28.89,21,23.33,49040
49,41,93,25,26.88,11,11.83,25,26.88,32,34.41,49041
49,42,104,53,50.96,20,19.23,9,8.65,22,21.15,49042
50,1,193,29,15.03,112,58.03,21,10.88,31,16.06,50001
50,2,143,27,18.88,74,51.75,14,9.79,28,19.58,50002
50,3,133,16,12.03,78,58.65,20,15.04,19,14.29,50003
50,4,115,22,19.13,47,40.87,26,22.61,20,17.39,50004
50,5,156,19,12.18,102,65.38,16,10.26,19,12.18,50005
50,6,94,21,22.34,21,22.34,25,26.6,27,28.72,50006
50,7,176,35,19.89,19,10.8,50,28.41,72,40.91,50007
50,9,92,19,20.65,37,40.22,22,23.91,14,15.22,50009
50,10,104,13,12.5,71,68.27,13,12.5,7,6.73,50010
50,11,165,14,8.48,119,72.12,24,14.55,8,4.85,50011
50,12,150,12,8.0,120,80.0,13,8.67,5,3.33,50012
50,13,108,42,38.89,29,26.85,14,12.96,23,21.3,50013
50,14,84,12,14.29,55,65.48,12,14.29,5,5.95,50014
50,15,159,61,38.36,25,15.72,47,29.56,26,16.35,50015
50,16,86,21,24.42,54,62.79,5,5.81,6,6.98,50016
50,17,91,26,28.57,45,49.45,8,8.79,12,13.19,50017
50,18,104,23,22.12,49,47.12,14,13.46,18,17.31,50018
50,19,87,22,25.29,28,32.18,18,20.69,19,21.84,50019
50,20,95,28,29.47,27,28.42,18,18.95,22,23.16,50020
50,21,128,34,26.56,41,32.03,39,30.47,14,10.94,50021
50,22,76,26,34.21,19,25.0,11,14.47,20,26.32,50022
50,24,77,13,16.88,31,40.26,13,16.88,20,25.97,50024
50,25,152,16,10.53,104,68.42,17,11.18,15,9.87,50025
50,26,54,11,20.37,24,44.44,8,14.81,11,20.37,50026
50,27,59,11,18.64,37,62.71,4,6.78,7,11.86,50027
50,28,109,26,23.85,29,26.61,22,20.18,32,29.36,50028
50,30,138,9,6.52,105,76.09,18,13.04,6,4.35,50030
50,31,61,5,8.2,50,81.97,6,9.84,0,0.0,50031
50,32,84,32,38.1,18,21.43,9,10.71,25,29.76,50032
50,33,80,12,15.0,52,65.0,7,8.75,9,11.25,50033
50,34,91,16,17.58,22,24.18,10,10.99,43,47.25,50034
50,35,146,51,34.93,22,15.07,45,30.82,28,19.18,50035
50,36,131,44,33.59,34,25.95,33,25.19,20,15.27,50036
50,37,117,36,30.77,28,23.93,30,25.64,23,19.66,50037
50,38,107,21,19.63,66,61.68,10,9.35,10,9.35,50038
50,39,94,16,17.02,54,57.45,10,10.64,14,14.89,50039
50,40,166,11,6.63,124,74.7,13,7.83,18,10.84,50040
50,41,215,32,14.88,141,65.58,25,11.63,17,7.91,50041
50,42,137,37,27.01,38,27.74,33,24.09,29,21.17,50042
50,43,82,20,24.39,24,29.27,18,21.95,20,24.39,50043
50,44,148,7,4.73,119,80.41,10,6.76,12,8.11,50044
50,45,47,4,8.51,38,80.85,3,6.38,2,4.26,50045
