ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",William M. Beavers,William M. Beavers Percent,precinct_id
6,1,245,146,59.59,99,40.41,06001
6,2,193,94,48.7,99,51.3,06002
6,3,199,81,40.7,118,59.3,06003
6,8,224,104,46.43,120,53.57,06008
6,9,179,77,43.02,102,56.98,06009
6,10,284,98,34.51,186,65.49,06010
6,13,140,64,45.71,76,54.29,06013
6,14,135,51,37.78,84,62.22,06014
6,16,200,94,47.0,106,53.0,06016
6,17,223,111,49.78,112,50.22,06017
6,19,194,84,43.3,110,56.7,06019
6,21,181,62,34.25,119,65.75,06021
6,22,141,55,39.01,86,60.99,06022
6,24,167,83,49.7,84,50.3,06024
6,25,85,41,48.24,44,51.76,06025
6,26,197,95,48.22,102,51.78,06026
6,27,217,107,49.31,110,50.69,06027
6,28,328,188,57.32,140,42.68,06028
6,29,233,102,43.78,131,56.22,06029
6,31,198,83,41.92,115,58.08,06031
6,34,130,56,43.08,74,56.92,06034
6,35,151,61,40.4,90,59.6,06035
6,37,222,100,45.05,122,54.95,06037
6,38,166,67,40.36,99,59.64,06038
6,41,204,98,48.04,106,51.96,06041
6,43,167,84,50.3,83,49.7,06043
6,44,168,84,50.0,84,50.0,06044
6,45,139,55,39.57,84,60.43,06045
6,46,162,81,50.0,81,50.0,06046
6,47,189,76,40.21,113,59.79,06047
6,50,180,74,41.11,106,58.89,06050
6,51,99,33,33.33,66,66.67,06051
6,52,106,40,37.74,66,62.26,06052
6,53,141,57,40.43,84,59.57,06053
6,54,135,60,44.44,75,55.56,06054
6,57,78,30,38.46,48,61.54,06057
6,58,204,118,57.84,86,42.16,06058
6,59,169,73,43.2,96,56.8,06059
6,60,110,38,34.55,72,65.45,06060
6,63,157,63,40.13,94,59.87,06063
6,64,198,104,52.53,94,47.47,06064
7,1,305,128,41.97,177,58.03,07001
7,2,165,84,50.91,81,49.09,07002
7,3,95,34,35.79,61,64.21,07003
7,4,94,53,56.38,41,43.62,07004
7,5,82,36,43.9,46,56.1,07005
7,6,115,48,41.74,67,58.26,07006
7,7,89,38,42.7,51,57.3,07007
7,8,35,14,40.0,21,60.0,07008
7,10,75,35,46.67,40,53.33,07010
7,11,171,79,46.2,92,53.8,07011
7,12,113,57,50.44,56,49.56,07012
7,13,98,38,38.78,60,61.22,07013
7,14,144,66,45.83,78,54.17,07014
7,15,69,35,50.72,34,49.28,07015
7,16,73,35,47.95,38,52.05,07016
7,17,70,17,24.29,53,75.71,07017
7,18,97,48,49.48,49,50.52,07018
7,19,209,98,46.89,111,53.11,07019
7,20,48,16,33.33,32,66.67,07020
7,21,127,59,46.46,68,53.54,07021
7,22,110,48,43.64,62,56.36,07022
7,23,113,43,38.05,70,61.95,07023
7,24,133,60,45.11,73,54.89,07024
7,25,190,73,38.42,117,61.58,07025
7,26,180,88,48.89,92,51.11,07026
7,27,215,122,56.74,93,43.26,07027
7,28,120,44,36.67,76,63.33,07028
7,29,126,57,45.24,69,54.76,07029
7,30,184,80,43.48,104,56.52,07030
7,31,154,76,49.35,78,50.65,07031
7,32,89,40,44.94,49,55.06,07032
7,33,125,46,36.8,79,63.2,07033
7,34,127,59,46.46,68,53.54,07034
7,36,159,61,38.36,98,61.64,07036
7,37,76,27,35.53,49,64.47,07037
7,38,103,45,43.69,58,56.31,07038
7,39,93,35,37.63,58,62.37,07039
7,41,126,60,47.62,66,52.38,07041
7,42,197,88,44.67,109,55.33,07042
7,43,145,64,44.14,81,55.86,07043
7,44,205,96,46.83,109,53.17,07044
7,45,226,116,51.33,110,48.67,07045
7,46,80,29,36.25,51,63.75,07046
7,47,120,57,47.5,63,52.5,07047
7,48,121,47,38.84,74,61.16,07048
7,49,83,45,54.22,38,45.78,07049
7,51,235,131,55.74,104,44.26,07051
7,52,112,46,41.07,66,58.93,07052
7,53,118,45,38.14,73,61.86,07053
7,54,62,22,35.48,40,64.52,07054
7,55,127,61,48.03,66,51.97,07055
7,56,108,44,40.74,64,59.26,07056
7,57,114,46,40.35,68,59.65,07057
7,58,203,86,42.36,117,57.64,07058
7,59,75,31,41.33,44,58.67,07059
7,60,89,29,32.58,60,67.42,07060
7,61,136,78,57.35,58,42.65,07061
8,1,195,80,41.03,115,58.97,08001
8,2,88,28,31.82,60,68.18,08002
8,3,260,124,47.69,136,52.31,08003
8,4,172,72,41.86,100,58.14,08004
8,5,239,110,46.03,129,53.97,08005
8,6,187,86,45.99,101,54.01,08006
8,7,131,53,40.46,78,59.54,08007
8,8,240,96,40.0,144,60.0,08008
8,9,229,97,42.36,132,57.64,08009
8,10,272,120,44.12,152,55.88,08010
8,11,158,56,35.44,102,64.56,08011
8,12,128,56,43.75,72,56.25,08012
8,13,115,34,29.57,81,70.43,08013
8,14,90,36,40.0,54,60.0,08014
8,15,129,55,42.64,74,57.36,08015
8,16,211,103,48.82,108,51.18,08016
8,17,159,73,45.91,86,54.09,08017
8,18,84,28,33.33,56,66.67,08018
8,19,237,102,43.04,135,56.96,08019
8,20,127,44,34.65,83,65.35,08020
8,21,139,47,33.81,92,66.19,08021
8,22,138,44,31.88,94,68.12,08022
8,23,140,51,36.43,89,63.57,08023
8,24,169,82,48.52,87,51.48,08024
8,25,157,68,43.31,89,56.69,08025
8,26,111,42,37.84,69,62.16,08026
8,27,187,87,46.52,100,53.48,08027
8,28,131,48,36.64,83,63.36,08028
8,29,174,71,40.8,103,59.2,08029
8,30,151,63,41.72,88,58.28,08030
8,31,118,45,38.14,73,61.86,08031
8,32,263,106,40.3,157,59.7,08032
8,33,163,69,42.33,94,57.67,08033
8,34,205,91,44.39,114,55.61,08034
8,35,198,72,36.36,126,63.64,08035
8,36,160,56,35.0,104,65.0,08036
8,37,172,88,51.16,84,48.84,08037
8,38,145,73,50.34,72,49.66,08038
8,39,175,84,48.0,91,52.0,08039
8,40,130,48,36.92,82,63.08,08040
8,41,136,62,45.59,74,54.41,08041
8,42,170,66,38.82,104,61.18,08042
8,43,89,37,41.57,52,58.43,08043
8,44,134,70,52.24,64,47.76,08044
8,45,102,46,45.1,56,54.9,08045
8,46,137,64,46.72,73,53.28,08046
8,47,172,71,41.28,101,58.72,08047
8,48,145,57,39.31,88,60.69,08048
8,49,220,92,41.82,128,58.18,08049
8,50,183,92,50.27,91,49.73,08050
8,51,216,98,45.37,118,54.63,08051
8,52,196,93,47.45,103,52.55,08052
8,53,211,95,45.02,116,54.98,08053
8,54,174,73,41.95,101,58.05,08054
8,55,115,38,33.04,77,66.96,08055
8,56,154,58,37.66,96,62.34,08056
8,58,204,86,42.16,118,57.84,08058
8,59,78,36,46.15,42,53.85,08059
8,60,147,60,40.82,87,59.18,08060
8,61,143,63,44.06,80,55.94,08061
8,62,165,78,47.27,87,52.73,08062
8,63,179,81,45.25,98,54.75,08063
8,64,140,72,51.43,68,48.57,08064
8,65,123,42,34.15,81,65.85,08065
8,66,244,95,38.93,149,61.07,08066
9,8,147,49,33.33,98,66.67,09008
9,20,186,80,43.01,106,56.99,09020
9,21,166,76,45.78,90,54.22,09021
9,25,25,13,52.0,12,48.0,09025
9,27,124,58,46.77,66,53.23,09027
9,36,195,82,42.05,113,57.95,09036
9,37,130,90,69.23,40,30.77,09037
9,47,189,84,44.44,105,55.56,09047
9,49,75,24,32.0,51,68.0,09049
9,51,96,48,50.0,48,50.0,09051
10,1,104,51,49.04,53,50.96,10001
10,2,66,32,48.48,34,51.52,10002
10,3,128,81,63.28,47,36.72,10003
10,4,76,45,59.21,31,40.79,10004
10,5,79,51,64.56,28,35.44,10005
10,6,112,46,41.07,66,58.93,10006
10,7,26,11,42.31,15,57.69,10007
10,8,78,45,57.69,33,42.31,10008
10,9,107,56,52.34,51,47.66,10009
10,10,79,45,56.96,34,43.04,10010
10,11,102,58,56.86,44,43.14,10011
10,12,79,50,63.29,29,36.71,10012
10,13,86,59,68.6,27,31.4,10013
10,14,94,61,64.89,33,35.11,10014
10,15,42,28,66.67,14,33.33,10015
10,16,91,50,54.95,41,45.05,10016
10,17,83,46,55.42,37,44.58,10017
10,18,60,24,40.0,36,60.0,10018
10,19,101,62,61.39,39,38.61,10019
10,20,71,40,56.34,31,43.66,10020
10,21,89,58,65.17,31,34.83,10021
10,22,61,32,52.46,29,47.54,10022
10,23,76,39,51.32,37,48.68,10023
10,24,87,56,64.37,31,35.63,10024
10,25,112,49,43.75,63,56.25,10025
10,26,65,35,53.85,30,46.15,10026
10,27,102,67,65.69,35,34.31,10027
10,28,82,25,30.49,57,69.51,10028
10,29,112,42,37.5,70,62.5,10029
10,30,88,41,46.59,47,53.41,10030
10,31,98,65,66.33,33,33.67,10031
10,32,78,46,58.97,32,41.03,10032
10,33,79,53,67.09,26,32.91,10033
10,34,86,51,59.3,35,40.7,10034
10,35,94,59,62.77,35,37.23,10035
10,36,116,59,50.86,57,49.14,10036
10,37,69,33,47.83,36,52.17,10037
10,38,107,68,63.55,39,36.45,10038
10,39,80,44,55.0,36,45.0,10039
10,40,66,26,39.39,40,60.61,10040
10,41,132,82,62.12,50,37.88,10041
10,42,80,51,63.75,29,36.25,10042
10,43,44,22,50.0,22,50.0,10043
10,44,80,46,57.5,34,42.5,10044
10,45,42,25,59.52,17,40.48,10045
10,46,79,44,55.7,35,44.3,10046
10,47,80,49,61.25,31,38.75,10047
10,48,72,32,44.44,40,55.56,10048
18,30,119,40,33.61,79,66.39,18030
18,46,152,63,41.45,89,58.55,18046
18,53,109,55,50.46,54,49.54,18053
19,43,8,3,37.5,5,62.5,19043
19,50,67,23,34.33,44,65.67,19050
19,66,18,7,38.89,11,61.11,19066
21,1,237,122,51.48,115,48.52,21001
21,2,127,64,50.39,63,49.61,21002
21,3,132,62,46.97,70,53.03,21003
21,4,146,63,43.15,83,56.85,21004
21,5,151,57,37.75,94,62.25,21005
21,6,107,45,42.06,62,57.94,21006
21,7,171,77,45.03,94,54.97,21007
21,8,182,83,45.6,99,54.4,21008
21,9,158,66,41.77,92,58.23,21009
21,10,112,46,41.07,66,58.93,21010
21,11,142,53,37.32,89,62.68,21011
21,12,159,61,38.36,98,61.64,21012
21,13,72,26,36.11,46,63.89,21013
21,14,131,53,40.46,78,59.54,21014
21,15,120,44,36.67,76,63.33,21015
21,16,144,43,29.86,101,70.14,21016
21,17,146,62,42.47,84,57.53,21017
21,18,132,52,39.39,80,60.61,21018
21,19,133,46,34.59,87,65.41,21019
21,20,101,45,44.55,56,55.45,21020
21,21,176,71,40.34,105,59.66,21021
21,22,135,59,43.7,76,56.3,21022
21,23,133,59,44.36,74,55.64,21023
21,24,165,69,41.82,96,58.18,21024
21,25,141,54,38.3,87,61.7,21025
21,26,135,65,48.15,70,51.85,21026
21,27,161,70,43.48,91,56.52,21027
21,28,109,50,45.87,59,54.13,21028
21,30,102,46,45.1,56,54.9,21030
21,31,180,74,41.11,106,58.89,21031
21,32,124,54,43.55,70,56.45,21032
21,33,152,64,42.11,88,57.89,21033
21,34,173,77,44.51,96,55.49,21034
21,35,76,31,40.79,45,59.21,21035
21,36,106,35,33.02,71,66.98,21036
21,37,122,56,45.9,66,54.1,21037
21,38,149,65,43.62,84,56.38,21038
21,39,120,50,41.67,70,58.33,21039
21,40,160,74,46.25,86,53.75,21040
21,41,108,43,39.81,65,60.19,21041
21,42,161,75,46.58,86,53.42,21042
21,43,131,62,47.33,69,52.67,21043
21,44,145,65,44.83,80,55.17,21044
21,45,146,55,37.67,91,62.33,21045
21,46,102,43,42.16,59,57.84,21046
21,47,204,91,44.61,113,55.39,21047
21,48,163,82,50.31,81,49.69,21048
21,49,191,78,40.84,113,59.16,21049
21,50,167,64,38.32,103,61.68,21050
21,51,168,86,51.19,82,48.81,21051
21,52,111,33,29.73,78,70.27,21052
21,53,126,50,39.68,76,60.32,21053
21,54,170,76,44.71,94,55.29,21054
21,55,136,52,38.24,84,61.76,21055
21,56,104,41,39.42,63,60.58,21056
21,57,120,52,43.33,68,56.67,21057
21,58,114,55,48.25,59,51.75,21058
21,59,169,78,46.15,91,53.85,21059
21,60,157,70,44.59,87,55.41,21060
21,61,154,66,42.86,88,57.14,21061
21,62,135,52,38.52,83,61.48,21062
21,63,137,52,37.96,85,62.04,21063
21,64,75,29,38.67,46,61.33,21064
21,65,253,128,50.59,125,49.41,21065
21,66,115,51,44.35,64,55.65,21066
21,67,136,45,33.09,91,66.91,21067
21,68,148,54,36.49,94,63.51,21068
21,69,114,43,37.72,71,62.28,21069
21,70,128,62,48.44,66,51.56,21070
21,71,126,63,50.0,63,50.0,21071
21,72,147,64,43.54,83,56.46,21072
21,73,147,62,42.18,85,57.82,21073
34,8,152,75,49.34,77,50.66,34008
34,13,194,82,42.27,112,57.73,34013
34,19,30,12,40.0,18,60.0,34019
34,29,161,53,32.92,108,67.08,34029
34,45,154,62,40.26,92,59.74,34045
34,55,169,58,34.32,111,65.68,34055
34,56,69,29,42.03,40,57.97,34056
34,57,104,37,35.58,67,64.42,34057
34,58,197,69,35.03,128,64.97,34058
