ward,precinct,total,Susana Mendoza,Susana Mendoza Percent,precinct_id
11,3,89,89,100.0,11003
12,2,79,79,100.0,12002
12,3,77,77,100.0,12003
12,4,50,50,100.0,12004
12,5,72,72,100.0,12005
12,6,90,90,100.0,12006
12,8,35,35,100.0,12008
12,9,9,9,100.0,12009
12,10,81,81,100.0,12010
12,11,132,132,100.0,12011
12,12,49,49,100.0,12012
12,13,115,115,100.0,12013
12,14,96,96,100.0,12014
12,17,106,106,100.0,12017
12,19,76,76,100.0,12019
12,20,78,78,100.0,12020
12,21,81,81,100.0,12021
12,23,103,103,100.0,12023
12,24,108,108,100.0,12024
14,7,94,94,100.0,14007
14,8,80,80,100.0,14008
14,10,103,103,100.0,14010
14,12,80,80,100.0,14012
14,14,80,80,100.0,14014
14,16,94,94,100.0,14016
14,17,106,106,100.0,14017
14,18,82,82,100.0,14018
14,19,130,130,100.0,14019
14,20,82,82,100.0,14020
14,21,109,109,100.0,14021
14,22,117,117,100.0,14022
14,23,115,115,100.0,14023
14,26,108,108,100.0,14026
14,29,129,129,100.0,14029
14,30,87,87,100.0,14030
14,31,97,97,100.0,14031
14,33,76,76,100.0,14033
14,34,17,17,100.0,14034
14,35,90,90,100.0,14035
16,11,69,69,100.0,16011
16,13,58,58,100.0,16013
16,21,68,68,100.0,16021
16,23,64,64,100.0,16023
16,32,22,22,100.0,16032
16,42,52,52,100.0,16042
20,4,73,73,100.0,20004
20,21,51,51,100.0,20021
22,8,61,61,100.0,22008
22,9,96,96,100.0,22009
22,11,93,93,100.0,22011
22,15,57,57,100.0,22015
22,22,60,60,100.0,22022
22,28,0,0,0.0,22028
