ward,precinct,total,Joseph W. Sneed,Joseph W. Sneed Percent,Keith D. Muhammad,Keith D. Muhammad Percent,Eddie Winters,Eddie Winters Percent,Annazette R. Collins,Annazette R. Collins Percent,Mable Taylor,Mable Taylor Percent,Jonathan Goldman,Jonathan Goldman Percent,precinct_id
1,6,94,20,21.28,2,2.13,4,4.26,24,25.53,3,3.19,41,43.62,01006
1,8,86,8,9.3,7,8.14,6,6.98,14,16.28,6,6.98,45,52.33,01008
1,12,109,7,6.42,3,2.75,4,3.67,12,11.01,4,3.67,79,72.48,01012
1,31,50,6,12.0,3,6.0,1,2.0,6,12.0,2,4.0,32,64.0,01031
1,32,10,2,20.0,2,20.0,1,10.0,0,0.0,1,10.0,4,40.0,01032
1,35,56,5,8.93,4,7.14,1,1.79,5,8.93,4,7.14,37,66.07,01035
1,44,11,2,18.18,0,0.0,0,0.0,1,9.09,0,0.0,8,72.73,01044
2,5,143,18,12.59,15,10.49,32,22.38,65,45.45,8,5.59,5,3.5,02005
2,15,58,18,31.03,4,6.9,15,25.86,14,24.14,3,5.17,4,6.9,02015
2,23,86,8,9.3,4,4.65,54,62.79,11,12.79,3,3.49,6,6.98,02023
2,27,119,16,13.45,10,8.4,23,19.33,62,52.1,7,5.88,1,0.84,02027
2,42,120,16,13.33,16,13.33,38,31.67,40,33.33,6,5.0,4,3.33,02042
2,45,127,26,20.47,8,6.3,39,30.71,32,25.2,17,13.39,5,3.94,02045
2,47,103,20,19.42,9,8.74,22,21.36,46,44.66,3,2.91,3,2.91,02047
2,48,81,15,18.52,7,8.64,19,23.46,31,38.27,5,6.17,4,4.94,02048
2,52,175,55,31.43,12,6.86,54,30.86,34,19.43,9,5.14,11,6.29,02052
2,56,132,36,27.27,14,10.61,23,17.42,37,28.03,11,8.33,11,8.33,02056
24,18,70,8,11.43,5,7.14,8,11.43,41,58.57,5,7.14,3,4.29,24018
24,29,110,24,21.82,8,7.27,7,6.36,63,57.27,5,4.55,3,2.73,24029
24,33,71,16,22.54,6,8.45,7,9.86,33,46.48,7,9.86,2,2.82,24033
24,55,87,12,13.79,6,6.9,7,8.05,51,58.62,9,10.34,2,2.3,24055
26,7,11,0,0.0,0,0.0,0,0.0,3,27.27,2,18.18,6,54.55,26007
26,17,42,3,7.14,1,2.38,2,4.76,10,23.81,1,2.38,25,59.52,26017
26,28,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,26028
26,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26032
26,33,27,1,3.7,2,7.41,2,7.41,7,25.93,2,7.41,13,48.15,26033
26,46,87,6,6.9,2,2.3,8,9.2,18,20.69,6,6.9,47,54.02,26046
27,2,75,14,18.67,6,8.0,16,21.33,36,48.0,2,2.67,1,1.33,27002
27,3,74,14,18.92,7,9.46,5,6.76,37,50.0,7,9.46,4,5.41,27003
27,8,100,13,13.0,23,23.0,13,13.0,45,45.0,2,2.0,4,4.0,27008
27,10,171,24,14.04,41,23.98,22,12.87,40,23.39,31,18.13,13,7.6,27010
27,14,115,27,23.48,21,18.26,14,12.17,39,33.91,9,7.83,5,4.35,27014
27,15,61,8,13.11,15,24.59,6,9.84,26,42.62,3,4.92,3,4.92,27015
27,18,73,12,16.44,1,1.37,4,5.48,16,21.92,1,1.37,39,53.42,27018
27,19,87,10,11.49,14,16.09,14,16.09,39,44.83,3,3.45,7,8.05,27019
27,22,93,23,24.73,17,18.28,4,4.3,37,39.78,9,9.68,3,3.23,27022
27,23,20,1,5.0,3,15.0,0,0.0,9,45.0,4,20.0,3,15.0,27023
27,24,73,10,13.7,30,41.1,5,6.85,25,34.25,2,2.74,1,1.37,27024
27,25,64,12,18.75,12,18.75,10,15.63,25,39.06,4,6.25,1,1.56,27025
27,26,120,25,20.83,8,6.67,26,21.67,46,38.33,9,7.5,6,5.0,27026
27,27,102,14,13.73,27,26.47,23,22.55,23,22.55,9,8.82,6,5.88,27027
27,29,60,6,10.0,22,36.67,9,15.0,20,33.33,2,3.33,1,1.67,27029
27,30,41,5,12.2,15,36.59,3,7.32,15,36.59,2,4.88,1,2.44,27030
27,31,73,11,15.07,15,20.55,16,21.92,24,32.88,3,4.11,4,5.48,27031
27,33,87,15,17.24,12,13.79,24,27.59,19,21.84,0,0.0,17,19.54,27033
27,34,100,14,14.0,23,23.0,21,21.0,35,35.0,5,5.0,2,2.0,27034
27,36,124,18,14.52,25,20.16,27,21.77,42,33.87,3,2.42,9,7.26,27036
27,40,77,12,15.58,36,46.75,4,5.19,22,28.57,2,2.6,1,1.3,27040
27,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27041
27,44,82,12,14.63,15,18.29,9,10.98,36,43.9,6,7.32,4,4.88,27044
27,45,92,5,5.43,46,50.0,8,8.7,30,32.61,2,2.17,1,1.09,27045
27,46,90,12,13.33,29,32.22,9,10.0,29,32.22,8,8.89,3,3.33,27046
27,47,71,6,8.45,15,21.13,13,18.31,28,39.44,6,8.45,3,4.23,27047
27,48,134,12,8.96,46,34.33,12,8.96,49,36.57,11,8.21,4,2.99,27048
27,49,104,9,8.65,49,47.12,15,14.42,28,26.92,0,0.0,3,2.88,27049
27,50,98,17,17.35,5,5.1,2,2.04,23,23.47,3,3.06,48,48.98,27050
27,52,78,7,8.97,20,25.64,13,16.67,29,37.18,8,10.26,1,1.28,27052
27,53,71,12,16.9,9,12.68,6,8.45,21,29.58,9,12.68,14,19.72,27053
27,54,34,2,5.88,3,8.82,0,0.0,8,23.53,2,5.88,19,55.88,27054
27,55,79,7,8.86,23,29.11,13,16.46,34,43.04,2,2.53,0,0.0,27055
