ward,precinct,total,Thomas L. Hogan,Thomas L. Hogan Percent,Pamela E. Hill-Veal,Pamela E. Hill-Veal Percent,Frank Edward Gardner,Frank Edward Gardner Percent,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,Don R. Sampen,Don R. Sampen Percent,precinct_id
1,1,87,25,28.74,10,11.49,9,10.34,37,42.53,6,6.9,01001
1,2,69,34,49.28,6,8.7,2,2.9,25,36.23,2,2.9,01002
1,3,46,23,50.0,6,13.04,2,4.35,12,26.09,3,6.52,01003
1,4,87,41,47.13,5,5.75,3,3.45,29,33.33,9,10.34,01004
1,5,69,28,40.58,10,14.49,4,5.8,24,34.78,3,4.35,01005
1,6,87,30,34.48,12,13.79,1,1.15,37,42.53,7,8.05,01006
1,7,74,30,40.54,13,17.57,5,6.76,21,28.38,5,6.76,01007
1,8,72,34,47.22,12,16.67,2,2.78,19,26.39,5,6.94,01008
1,9,93,25,26.88,14,15.05,6,6.45,39,41.94,9,9.68,01009
1,10,86,38,44.19,16,18.6,2,2.33,25,29.07,5,5.81,01010
1,11,56,17,30.36,6,10.71,3,5.36,27,48.21,3,5.36,01011
1,12,95,52,54.74,10,10.53,3,3.16,24,25.26,6,6.32,01012
1,13,119,44,36.97,24,20.17,11,9.24,37,31.09,3,2.52,01013
1,14,75,34,45.33,10,13.33,3,4.0,22,29.33,6,8.0,01014
1,15,68,13,19.12,26,38.24,5,7.35,21,30.88,3,4.41,01015
1,16,44,12,27.27,4,9.09,6,13.64,21,47.73,1,2.27,01016
1,17,45,21,46.67,4,8.89,2,4.44,12,26.67,6,13.33,01017
1,18,75,25,33.33,16,21.33,6,8.0,25,33.33,3,4.0,01018
1,19,63,20,31.75,4,6.35,2,3.17,32,50.79,5,7.94,01019
1,20,101,29,28.71,18,17.82,12,11.88,40,39.6,2,1.98,01020
1,21,59,31,52.54,7,11.86,1,1.69,20,33.9,0,0.0,01021
1,22,62,17,27.42,16,25.81,5,8.06,21,33.87,3,4.84,01022
1,23,65,22,33.85,9,13.85,6,9.23,27,41.54,1,1.54,01023
1,24,156,53,33.97,30,19.23,7,4.49,59,37.82,7,4.49,01024
1,25,52,19,36.54,14,26.92,5,9.62,10,19.23,4,7.69,01025
1,26,48,23,47.92,7,14.58,3,6.25,12,25.0,3,6.25,01026
1,27,54,23,42.59,5,9.26,5,9.26,16,29.63,5,9.26,01027
1,28,53,22,41.51,12,22.64,4,7.55,14,26.42,1,1.89,01028
1,29,88,31,35.23,15,17.05,8,9.09,29,32.95,5,5.68,01029
1,30,135,41,30.37,26,19.26,18,13.33,42,31.11,8,5.93,01030
1,31,57,29,50.88,9,15.79,3,5.26,14,24.56,2,3.51,01031
1,32,80,23,28.75,9,11.25,12,15.0,33,41.25,3,3.75,01032
1,33,97,34,35.05,15,15.46,6,6.19,36,37.11,6,6.19,01033
1,34,57,24,42.11,7,12.28,1,1.75,22,38.6,3,5.26,01034
1,35,45,20,44.44,6,13.33,4,8.89,13,28.89,2,4.44,01035
1,36,77,43,55.84,10,12.99,3,3.9,17,22.08,4,5.19,01036
1,37,70,29,41.43,13,18.57,1,1.43,21,30.0,6,8.57,01037
1,38,40,19,47.5,6,15.0,3,7.5,12,30.0,0,0.0,01038
1,39,75,19,25.33,11,14.67,2,2.67,42,56.0,1,1.33,01039
1,40,25,9,36.0,8,32.0,0,0.0,8,32.0,0,0.0,01040
1,41,68,23,33.82,11,16.18,4,5.88,29,42.65,1,1.47,01041
1,42,52,16,30.77,7,13.46,6,11.54,21,40.38,2,3.85,01042
1,43,82,24,29.27,9,10.98,7,8.54,35,42.68,7,8.54,01043
1,44,53,21,39.62,3,5.66,5,9.43,21,39.62,3,5.66,01044
1,45,89,31,34.83,20,22.47,4,4.49,33,37.08,1,1.12,01045
1,46,81,29,35.8,9,11.11,4,4.94,31,38.27,8,9.88,01046
1,47,64,35,54.69,5,7.81,1,1.56,13,20.31,10,15.63,01047
1,48,61,20,32.79,8,13.11,4,6.56,25,40.98,4,6.56,01048
1,49,38,17,44.74,5,13.16,5,13.16,8,21.05,3,7.89,01049
1,50,53,21,39.62,10,18.87,1,1.89,18,33.96,3,5.66,01050
2,1,179,80,44.69,34,18.99,12,6.7,41,22.91,12,6.7,02001
2,2,25,11,44.0,6,24.0,1,4.0,7,28.0,0,0.0,02002
2,3,141,50,35.46,25,17.73,18,12.77,37,26.24,11,7.8,02003
2,4,74,18,24.32,20,27.03,13,17.57,20,27.03,3,4.05,02004
2,5,117,26,22.22,41,35.04,13,11.11,32,27.35,5,4.27,02005
2,6,113,50,44.25,22,19.47,4,3.54,30,26.55,7,6.19,02006
2,7,168,28,16.67,48,28.57,35,20.83,53,31.55,4,2.38,02007
2,8,180,72,40.0,36,20.0,19,10.56,41,22.78,12,6.67,02008
2,9,102,24,23.53,23,22.55,17,16.67,33,32.35,5,4.9,02009
2,10,82,26,31.71,19,23.17,8,9.76,22,26.83,7,8.54,02010
2,11,255,144,56.47,36,14.12,13,5.1,57,22.35,5,1.96,02011
2,12,124,67,54.03,13,10.48,8,6.45,31,25.0,5,4.03,02012
2,13,129,38,29.46,29,22.48,20,15.5,40,31.01,2,1.55,02013
2,14,222,34,15.32,100,45.05,24,10.81,59,26.58,5,2.25,02014
2,15,55,4,7.27,20,36.36,11,20.0,16,29.09,4,7.27,02015
2,16,135,66,48.89,17,12.59,5,3.7,37,27.41,10,7.41,02016
2,17,77,19,24.68,26,33.77,10,12.99,20,25.97,2,2.6,02017
2,18,147,69,46.94,20,13.61,12,8.16,39,26.53,7,4.76,02018
2,19,164,75,45.73,38,23.17,8,4.88,37,22.56,6,3.66,02019
2,20,224,41,18.3,63,28.13,37,16.52,79,35.27,4,1.79,02020
2,21,158,30,18.99,57,36.08,16,10.13,46,29.11,9,5.7,02021
2,22,235,86,36.6,51,21.7,26,11.06,54,22.98,18,7.66,02022
2,23,92,21,22.83,27,29.35,10,10.87,32,34.78,2,2.17,02023
2,24,66,25,37.88,14,21.21,9,13.64,14,21.21,4,6.06,02024
2,25,149,34,22.82,43,28.86,15,10.07,52,34.9,5,3.36,02025
2,26,115,34,29.57,42,36.52,6,5.22,29,25.22,4,3.48,02026
2,27,107,18,16.82,35,32.71,10,9.35,36,33.64,8,7.48,02027
2,28,82,33,40.24,18,21.95,4,4.88,24,29.27,3,3.66,02028
2,29,67,19,28.36,18,26.87,6,8.96,24,35.82,0,0.0,02029
2,30,130,51,39.23,26,20.0,6,4.62,43,33.08,4,3.08,02030
2,31,144,22,15.28,64,44.44,25,17.36,32,22.22,1,0.69,02031
2,32,52,12,23.08,11,21.15,10,19.23,18,34.62,1,1.92,02032
2,33,66,8,12.12,26,39.39,10,15.15,20,30.3,2,3.03,02033
2,34,114,27,23.68,31,27.19,13,11.4,40,35.09,3,2.63,02034
2,35,25,14,56.0,4,16.0,0,0.0,5,20.0,2,8.0,02035
2,36,209,73,34.93,44,21.05,22,10.53,61,29.19,9,4.31,02036
2,37,116,51,43.97,15,12.93,5,4.31,38,32.76,7,6.03,02037
2,38,175,74,42.29,34,19.43,12,6.86,44,25.14,11,6.29,02038
2,39,95,26,27.37,23,24.21,11,11.58,33,34.74,2,2.11,02039
2,40,208,75,36.06,42,20.19,23,11.06,58,27.88,10,4.81,02040
2,41,58,13,22.41,9,15.52,12,20.69,22,37.93,2,3.45,02041
2,42,77,20,25.97,19,24.68,13,16.88,25,32.47,0,0.0,02042
2,43,222,85,38.29,37,16.67,16,7.21,79,35.59,5,2.25,02043
2,44,107,17,15.89,34,31.78,15,14.02,31,28.97,10,9.35,02044
2,45,103,26,25.24,39,37.86,7,6.8,30,29.13,1,0.97,02045
2,46,233,54,23.18,74,31.76,42,18.03,61,26.18,2,0.86,02046
2,47,84,17,20.24,26,30.95,11,13.1,29,34.52,1,1.19,02047
2,48,76,9,11.84,24,31.58,23,30.26,15,19.74,5,6.58,02048
2,49,99,47,47.47,19,19.19,6,6.06,22,22.22,5,5.05,02049
2,50,92,28,30.43,18,19.57,10,10.87,34,36.96,2,2.17,02050
2,51,86,19,22.09,29,33.72,9,10.47,26,30.23,3,3.49,02051
2,52,152,32,21.05,53,34.87,21,13.82,43,28.29,3,1.97,02052
2,53,104,31,29.81,17,16.35,13,12.5,33,31.73,10,9.62,02053
2,54,159,83,52.2,24,15.09,8,5.03,36,22.64,8,5.03,02054
2,55,57,20,35.09,16,28.07,2,3.51,14,24.56,5,8.77,02055
2,56,118,30,25.42,37,31.36,23,19.49,24,20.34,4,3.39,02056
3,1,107,17,15.89,46,42.99,12,11.21,27,25.23,5,4.67,03001
3,2,198,29,14.65,88,44.44,32,16.16,45,22.73,4,2.02,03002
3,3,134,40,29.85,33,24.63,15,11.19,44,32.84,2,1.49,03003
3,4,89,14,15.73,45,50.56,4,4.49,23,25.84,3,3.37,03004
3,5,121,25,20.66,49,40.5,15,12.4,26,21.49,6,4.96,03005
3,6,34,6,17.65,13,38.24,4,11.76,9,26.47,2,5.88,03006
3,7,138,30,21.74,51,36.96,18,13.04,37,26.81,2,1.45,03007
3,8,105,26,24.76,35,33.33,17,16.19,25,23.81,2,1.9,03008
3,9,119,21,17.65,47,39.5,20,16.81,25,21.01,6,5.04,03009
3,10,42,9,21.43,13,30.95,8,19.05,9,21.43,3,7.14,03010
3,11,122,12,9.84,53,43.44,13,10.66,40,32.79,4,3.28,03011
3,12,97,12,12.37,37,38.14,18,18.56,27,27.84,3,3.09,03012
3,13,79,14,17.72,9,11.39,7,8.86,47,59.49,2,2.53,03013
3,14,104,32,30.77,30,28.85,17,16.35,22,21.15,3,2.88,03014
3,15,134,24,17.91,53,39.55,19,14.18,29,21.64,9,6.72,03015
3,16,108,17,15.74,54,50.0,14,12.96,21,19.44,2,1.85,03016
3,17,61,16,26.23,22,36.07,9,14.75,11,18.03,3,4.92,03017
3,18,60,14,23.33,17,28.33,9,15.0,19,31.67,1,1.67,03018
3,19,33,8,24.24,4,12.12,3,9.09,16,48.48,2,6.06,03019
3,20,97,11,11.34,41,42.27,17,17.53,23,23.71,5,5.15,03020
3,21,45,7,15.56,15,33.33,10,22.22,12,26.67,1,2.22,03021
3,22,73,10,13.7,32,43.84,12,16.44,17,23.29,2,2.74,03022
3,23,99,12,12.12,31,31.31,15,15.15,36,36.36,5,5.05,03023
3,24,145,23,15.86,58,40.0,25,17.24,34,23.45,5,3.45,03024
3,25,71,10,14.08,29,40.85,15,21.13,16,22.54,1,1.41,03025
3,26,35,7,20.0,20,57.14,4,11.43,4,11.43,0,0.0,03026
3,27,121,25,20.66,45,37.19,13,10.74,34,28.1,4,3.31,03027
3,28,213,89,41.78,47,22.07,12,5.63,52,24.41,13,6.1,03028
3,29,115,17,14.78,47,40.87,21,18.26,27,23.48,3,2.61,03029
3,30,96,14,14.58,55,57.29,11,11.46,15,15.63,1,1.04,03030
3,31,187,25,13.37,77,41.18,31,16.58,50,26.74,4,2.14,03031
3,32,86,7,8.14,51,59.3,9,10.47,14,16.28,5,5.81,03032
3,33,154,24,15.58,63,40.91,26,16.88,36,23.38,5,3.25,03033
3,34,123,29,23.58,45,36.59,17,13.82,29,23.58,3,2.44,03034
3,35,128,15,11.72,57,44.53,22,17.19,29,22.66,5,3.91,03035
3,36,34,8,23.53,12,35.29,3,8.82,9,26.47,2,5.88,03036
3,37,52,6,11.54,17,32.69,11,21.15,15,28.85,3,5.77,03037
3,38,186,28,15.05,72,38.71,31,16.67,43,23.12,12,6.45,03038
3,39,221,31,14.03,85,38.46,43,19.46,59,26.7,3,1.36,03039
3,40,126,15,11.9,61,48.41,19,15.08,29,23.02,2,1.59,03040
3,41,125,31,24.8,41,32.8,19,15.2,26,20.8,8,6.4,03041
3,42,75,17,22.67,23,30.67,10,13.33,22,29.33,3,4.0,03042
3,43,15,4,26.67,5,33.33,3,20.0,3,20.0,0,0.0,03043
3,44,25,6,24.0,8,32.0,0,0.0,10,40.0,1,4.0,03044
3,45,158,37,23.42,34,21.52,26,16.46,53,33.54,8,5.06,03045
3,46,12,3,25.0,2,16.67,3,25.0,3,25.0,1,8.33,03046
3,47,78,12,15.38,34,43.59,5,6.41,27,34.62,0,0.0,03047
3,48,73,11,15.07,40,54.79,11,15.07,9,12.33,2,2.74,03048
3,49,31,5,16.13,11,35.48,5,16.13,10,32.26,0,0.0,03049
3,50,68,12,17.65,19,27.94,9,13.24,25,36.76,3,4.41,03050
4,1,199,55,27.64,69,34.67,21,10.55,47,23.62,7,3.52,04001
4,2,228,39,17.11,92,40.35,37,16.23,54,23.68,6,2.63,04002
4,3,198,31,15.66,72,36.36,36,18.18,52,26.26,7,3.54,04003
4,4,143,28,19.58,55,38.46,20,13.99,38,26.57,2,1.4,04004
4,5,226,34,15.04,103,45.58,28,12.39,52,23.01,9,3.98,04005
4,6,77,10,12.99,35,45.45,13,16.88,18,23.38,1,1.3,04006
4,7,190,25,13.16,92,48.42,32,16.84,36,18.95,5,2.63,04007
4,8,182,25,13.74,73,40.11,19,10.44,54,29.67,11,6.04,04008
4,9,373,45,12.06,164,43.97,62,16.62,95,25.47,7,1.88,04009
4,10,170,27,15.88,84,49.41,28,16.47,30,17.65,1,0.59,04010
4,11,109,14,12.84,34,31.19,16,14.68,44,40.37,1,0.92,04011
4,12,97,13,13.4,43,44.33,10,10.31,28,28.87,3,3.09,04012
4,13,124,33,26.61,44,35.48,16,12.9,26,20.97,5,4.03,04013
4,14,92,10,10.87,38,41.3,15,16.3,25,27.17,4,4.35,04014
4,15,126,16,12.7,46,36.51,26,20.63,34,26.98,4,3.17,04015
4,16,183,34,18.58,79,43.17,21,11.48,41,22.4,8,4.37,04016
4,17,176,43,24.43,47,26.7,28,15.91,55,31.25,3,1.7,04017
4,18,160,33,20.63,57,35.63,25,15.63,43,26.88,2,1.25,04018
4,19,148,25,16.89,58,39.19,23,15.54,38,25.68,4,2.7,04019
4,20,87,16,18.39,36,41.38,12,13.79,23,26.44,0,0.0,04020
4,21,221,46,20.81,93,42.08,26,11.76,48,21.72,8,3.62,04021
4,22,230,57,24.78,81,35.22,30,13.04,49,21.3,13,5.65,04022
4,23,137,33,24.09,50,36.5,23,16.79,24,17.52,7,5.11,04023
4,24,153,36,23.53,60,39.22,18,11.76,28,18.3,11,7.19,04024
4,25,194,23,11.86,86,44.33,42,21.65,41,21.13,2,1.03,04025
4,26,171,25,14.62,65,38.01,19,11.11,54,31.58,8,4.68,04026
4,27,136,22,16.18,54,39.71,16,11.76,43,31.62,1,0.74,04027
4,28,108,35,32.41,35,32.41,17,15.74,11,10.19,10,9.26,04028
4,29,144,53,36.81,32,22.22,14,9.72,35,24.31,10,6.94,04029
4,30,141,22,15.6,52,36.88,22,15.6,44,31.21,1,0.71,04030
4,31,91,36,39.56,23,25.27,7,7.69,21,23.08,4,4.4,04031
4,32,171,56,32.75,51,29.82,10,5.85,36,21.05,18,10.53,04032
4,33,124,19,15.32,58,46.77,14,11.29,28,22.58,5,4.03,04033
4,34,132,56,42.42,29,21.97,13,9.85,24,18.18,10,7.58,04034
4,35,86,8,9.3,34,39.53,18,20.93,25,29.07,1,1.16,04035
4,36,115,24,20.87,60,52.17,15,13.04,15,13.04,1,0.87,04036
4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,282,72,25.53,108,38.3,42,14.89,55,19.5,5,1.77,04038
