ward,precinct,total,John A. Fritchey,John A. Fritchey Percent,Ted Matlak,Ted Matlak Percent,precinct_id
1,7,3,3,100.0,0,0.0,01007
1,12,100,78,78.0,22,22.0,01012
1,14,76,54,71.05,22,28.95,01014
1,31,63,49,77.78,14,22.22,01031
1,32,20,9,45.0,11,55.0,01032
1,35,57,40,70.18,17,29.82,01035
1,42,0,0,0.0,0,0.0,01042
1,44,22,17,77.27,5,22.73,01044
27,11,30,20,66.67,10,33.33,27011
27,50,66,43,65.15,23,34.85,27050
27,54,68,49,72.06,19,27.94,27054
30,1,105,82,78.1,23,21.9,30001
30,7,57,45,78.95,12,21.05,30007
30,9,104,80,76.92,24,23.08,30009
30,10,40,22,55.0,18,45.0,30010
30,11,42,24,57.14,18,42.86,30011
30,13,59,36,61.02,23,38.98,30013
30,14,30,18,60.0,12,40.0,30014
30,28,68,40,58.82,28,41.18,30028
30,30,82,56,68.29,26,31.71,30030
30,34,78,60,76.92,18,23.08,30034
30,35,63,40,63.49,23,36.51,30035
30,37,53,36,67.92,17,32.08,30037
30,38,125,89,71.2,36,28.8,30038
30,39,75,45,60.0,30,40.0,30039
30,40,62,44,70.97,18,29.03,30040
31,3,67,35,52.24,32,47.76,31003
31,6,2,0,0.0,2,100.0,31006
31,8,42,29,69.05,13,30.95,31008
31,9,54,33,61.11,21,38.89,31009
31,15,33,21,63.64,12,36.36,31015
31,18,6,4,66.67,2,33.33,31018
31,19,58,38,65.52,20,34.48,31019
31,26,41,25,60.98,16,39.02,31026
31,28,63,41,65.08,22,34.92,31028
31,29,50,33,66.0,17,34.0,31029
31,32,88,65,73.86,23,26.14,31032
31,35,47,30,63.83,17,36.17,31035
31,38,37,24,64.86,13,35.14,31038
31,41,53,39,73.58,14,26.42,31041
31,43,67,51,76.12,16,23.88,31043
31,45,56,32,57.14,24,42.86,31045
31,46,65,41,63.08,24,36.92,31046
31,47,55,31,56.36,24,43.64,31047
31,48,46,27,58.7,19,41.3,31048
31,49,26,17,65.38,9,34.62,31049
31,50,56,40,71.43,16,28.57,31050
31,51,46,25,54.35,21,45.65,31051
32,1,122,77,63.11,45,36.89,32001
32,2,135,90,66.67,45,33.33,32002
32,3,78,51,65.38,27,34.62,32003
32,4,119,86,72.27,33,27.73,32004
32,5,76,49,64.47,27,35.53,32005
32,6,115,55,47.83,60,52.17,32006
32,7,65,56,86.15,9,13.85,32007
32,8,151,121,80.13,30,19.87,32008
32,9,182,157,86.26,25,13.74,32009
32,10,108,85,78.7,23,21.3,32010
32,12,49,30,61.22,19,38.78,32012
32,13,50,42,84.0,8,16.0,32013
32,14,117,63,53.85,54,46.15,32014
32,15,80,63,78.75,17,21.25,32015
32,16,113,58,51.33,55,48.67,32016
32,17,103,76,73.79,27,26.21,32017
32,18,82,68,82.93,14,17.07,32018
32,20,109,78,71.56,31,28.44,32020
32,21,93,74,79.57,19,20.43,32021
32,22,132,106,80.3,26,19.7,32022
32,23,132,108,81.82,24,18.18,32023
32,24,119,95,79.83,24,20.17,32024
32,25,93,63,67.74,30,32.26,32025
32,26,87,55,63.22,32,36.78,32026
32,27,108,74,68.52,34,31.48,32027
32,28,77,51,66.23,26,33.77,32028
32,29,109,66,60.55,43,39.45,32029
32,30,100,77,77.0,23,23.0,32030
32,31,142,101,71.13,41,28.87,32031
32,32,114,95,83.33,19,16.67,32032
32,33,87,64,73.56,23,26.44,32033
32,34,123,79,64.23,44,35.77,32034
32,35,144,116,80.56,28,19.44,32035
32,36,114,87,76.32,27,23.68,32036
32,37,117,86,73.5,31,26.5,32037
32,38,111,101,90.99,10,9.01,32038
32,39,107,95,88.79,12,11.21,32039
32,40,125,110,88.0,15,12.0,32040
32,41,130,97,74.62,33,25.38,32041
32,42,135,89,65.93,46,34.07,32042
32,43,122,104,85.25,18,14.75,32043
32,45,111,84,75.68,27,24.32,32045
32,46,14,8,57.14,6,42.86,32046
32,48,176,126,71.59,50,28.41,32048
32,52,52,41,78.85,11,21.15,32052
33,5,11,7,63.64,4,36.36,33005
33,10,0,0,0.0,0,0.0,33010
33,14,104,86,82.69,18,17.31,33014
33,18,41,30,73.17,11,26.83,33018
36,36,67,47,70.15,20,29.85,36036
36,41,88,55,62.5,33,37.5,36041
36,43,92,58,63.04,34,36.96,36043
