ward,precinct,total,Larry Suffredin,Larry Suffredin Percent,John Michael Keefe,John Michael Keefe Percent,precinct_id
49,1,111,76,68.47,35,31.53,49001
49,3,95,71,74.74,24,25.26,49003
49,5,154,97,62.99,57,37.01,49005
49,6,119,80,67.23,39,32.77,49006
49,8,141,94,66.67,47,33.33,49008
49,10,105,76,72.38,29,27.62,49010
49,11,93,55,59.14,38,40.86,49011
49,12,146,107,73.29,39,26.71,49012
49,13,160,119,74.38,41,25.63,49013
49,14,104,77,74.04,27,25.96,49014
49,15,89,55,61.8,34,38.2,49015
49,16,102,68,66.67,34,33.33,49016
49,18,96,77,80.21,19,19.79,49018
49,19,86,53,61.63,33,38.37,49019
49,20,150,94,62.67,56,37.33,49020
49,22,139,102,73.38,37,26.62,49022
49,23,85,68,80.0,17,20.0,49023
49,24,123,92,74.8,31,25.2,49024
49,25,137,87,63.5,50,36.5,49025
49,26,114,75,65.79,39,34.21,49026
49,27,152,105,69.08,47,30.92,49027
49,28,75,46,61.33,29,38.67,49028
49,29,124,87,70.16,37,29.84,49029
49,30,133,88,66.17,45,33.83,49030
49,31,101,70,69.31,31,30.69,49031
49,33,99,80,80.81,19,19.19,49033
49,34,116,74,63.79,42,36.21,49034
49,35,150,99,66.0,51,34.0,49035
49,36,186,140,75.27,46,24.73,49036
49,38,69,46,66.67,23,33.33,49038
49,39,86,58,67.44,28,32.56,49039
49,40,97,77,79.38,20,20.62,49040
49,41,95,56,58.95,39,41.05,49041
49,42,112,77,68.75,35,31.25,49042
50,1,181,144,79.56,37,20.44,50001
50,2,151,109,72.19,42,27.81,50002
50,3,138,110,79.71,28,20.29,50003
50,4,127,104,81.89,23,18.11,50004
50,5,138,116,84.06,22,15.94,50005
50,6,99,63,63.64,36,36.36,50006
50,7,185,131,70.81,54,29.19,50007
50,9,102,73,71.57,29,28.43,50009
50,10,101,81,80.2,20,19.8,50010
50,11,136,109,80.15,27,19.85,50011
50,12,128,109,85.16,19,14.84,50012
50,13,109,74,67.89,35,32.11,50013
50,14,83,69,83.13,14,16.87,50014
50,15,176,142,80.68,34,19.32,50015
50,16,79,71,89.87,8,10.13,50016
50,18,98,70,71.43,28,28.57,50018
50,19,101,73,72.28,28,27.72,50019
50,20,103,79,76.7,24,23.3,50020
50,21,137,106,77.37,31,22.63,50021
50,22,82,56,68.29,26,31.71,50022
50,27,56,46,82.14,10,17.86,50027
50,28,114,76,66.67,38,33.33,50028
50,30,126,106,84.13,20,15.87,50030
50,31,48,44,91.67,4,8.33,50031
50,33,74,55,74.32,19,25.68,50033
50,35,155,128,82.58,27,17.42,50035
50,36,139,109,78.42,30,21.58,50036
50,37,121,98,80.99,23,19.01,50037
50,38,95,78,82.11,17,17.89,50038
50,40,145,118,81.38,27,18.62,50040
50,41,194,160,82.47,34,17.53,50041
50,42,144,96,66.67,48,33.33,50042
