ward,precinct,total,Daniel James Pierce,Daniel James Pierce Percent,precinct_id
2,28,4,4,100.0,02028
3,13,57,57,100.0,03013
3,19,28,28,100.0,03019
3,47,1,1,100.0,03047
11,1,114,114,100.0,11001
11,2,102,102,100.0,11002
11,3,74,74,100.0,11003
11,4,91,91,100.0,11004
11,5,46,46,100.0,11005
11,6,118,118,100.0,11006
11,7,107,107,100.0,11007
11,8,86,86,100.0,11008
11,9,50,50,100.0,11009
11,10,66,66,100.0,11010
11,11,126,126,100.0,11011
11,16,106,106,100.0,11016
11,17,143,143,100.0,11017
11,18,75,75,100.0,11018
11,19,72,72,100.0,11019
11,20,74,74,100.0,11020
11,21,109,109,100.0,11021
11,22,88,88,100.0,11022
11,23,65,65,100.0,11023
11,24,185,185,100.0,11024
11,25,105,105,100.0,11025
11,26,141,141,100.0,11026
11,29,94,94,100.0,11029
11,30,85,85,100.0,11030
11,33,56,56,100.0,11033
11,35,148,148,100.0,11035
11,37,113,113,100.0,11037
11,38,135,135,100.0,11038
11,40,66,66,100.0,11040
11,41,43,43,100.0,11041
11,42,16,16,100.0,11042
11,44,101,101,100.0,11044
11,49,0,0,0.0,11049
11,50,42,42,100.0,11050
12,1,49,49,100.0,12001
12,2,51,51,100.0,12002
12,3,67,67,100.0,12003
12,4,36,36,100.0,12004
12,5,56,56,100.0,12005
12,6,65,65,100.0,12006
12,7,57,57,100.0,12007
12,8,92,92,100.0,12008
12,9,41,41,100.0,12009
12,10,65,65,100.0,12010
12,11,85,85,100.0,12011
12,12,35,35,100.0,12012
12,13,89,89,100.0,12013
12,14,78,78,100.0,12014
12,15,44,44,100.0,12015
12,16,62,62,100.0,12016
12,17,82,82,100.0,12017
12,18,53,53,100.0,12018
12,19,82,82,100.0,12019
12,20,50,50,100.0,12020
12,21,52,52,100.0,12021
12,22,59,59,100.0,12022
12,23,83,83,100.0,12023
12,24,86,86,100.0,12024
14,5,116,116,100.0,14005
14,7,73,73,100.0,14007
14,8,66,66,100.0,14008
14,10,83,83,100.0,14010
14,11,96,96,100.0,14011
14,12,71,71,100.0,14012
14,14,66,66,100.0,14014
14,15,97,97,100.0,14015
14,16,78,78,100.0,14016
14,17,79,79,100.0,14017
14,18,71,71,100.0,14018
14,19,117,117,100.0,14019
14,20,71,71,100.0,14020
14,21,80,80,100.0,14021
14,22,98,98,100.0,14022
14,23,101,101,100.0,14023
14,24,79,79,100.0,14024
14,26,90,90,100.0,14026
14,29,96,96,100.0,14029
14,30,63,63,100.0,14030
14,31,79,79,100.0,14031
14,32,77,77,100.0,14032
14,33,66,66,100.0,14033
14,34,83,83,100.0,14034
14,35,78,78,100.0,14035
15,6,63,63,100.0,15006
15,9,63,63,100.0,15009
15,11,58,58,100.0,15011
15,13,40,40,100.0,15013
15,15,42,42,100.0,15015
15,22,80,80,100.0,15022
15,24,54,54,100.0,15024
15,25,49,49,100.0,15025
15,27,57,57,100.0,15027
15,29,23,23,100.0,15029
15,30,51,51,100.0,15030
15,32,59,59,100.0,15032
15,38,44,44,100.0,15038
15,44,79,79,100.0,15044
15,45,33,33,100.0,15045
15,48,42,42,100.0,15048
15,49,38,38,100.0,15049
15,50,56,56,100.0,15050
16,1,37,37,100.0,16001
16,2,50,50,100.0,16002
16,4,54,54,100.0,16004
16,7,65,65,100.0,16007
16,11,58,58,100.0,16011
16,13,47,47,100.0,16013
16,21,49,49,100.0,16021
16,23,45,45,100.0,16023
16,32,61,61,100.0,16032
16,35,61,61,100.0,16035
16,39,11,11,100.0,16039
16,42,37,37,100.0,16042
16,44,50,50,100.0,16044
20,4,60,60,100.0,20004
20,8,39,39,100.0,20008
20,15,58,58,100.0,20015
20,21,41,41,100.0,20021
20,41,29,29,100.0,20041
22,1,49,49,100.0,22001
22,2,50,50,100.0,22002
22,3,96,96,100.0,22003
22,4,56,56,100.0,22004
22,5,84,84,100.0,22005
22,6,61,61,100.0,22006
22,8,44,44,100.0,22008
22,9,71,71,100.0,22009
22,10,82,82,100.0,22010
22,11,57,57,100.0,22011
22,12,56,56,100.0,22012
22,13,82,82,100.0,22013
22,14,34,34,100.0,22014
22,15,46,46,100.0,22015
22,16,87,87,100.0,22016
22,17,82,82,100.0,22017
22,18,78,78,100.0,22018
22,19,42,42,100.0,22019
22,20,82,82,100.0,22020
22,22,46,46,100.0,22022
22,23,93,93,100.0,22023
22,24,61,61,100.0,22024
22,25,61,61,100.0,22025
22,26,59,59,100.0,22026
22,27,89,89,100.0,22027
22,28,45,45,100.0,22028
22,29,37,37,100.0,22029
23,31,127,127,100.0,23031
24,10,3,3,100.0,24010
24,44,111,111,100.0,24044
24,53,81,81,100.0,24053
25,1,91,91,100.0,25001
25,2,101,101,100.0,25002
25,3,26,26,100.0,25003
25,5,79,79,100.0,25005
25,6,52,52,100.0,25006
25,7,68,68,100.0,25007
25,8,90,90,100.0,25008
25,9,108,108,100.0,25009
25,11,101,101,100.0,25011
25,12,70,70,100.0,25012
25,13,101,101,100.0,25013
25,15,99,99,100.0,25015
25,17,108,108,100.0,25017
25,19,88,88,100.0,25019
25,20,106,106,100.0,25020
25,22,41,41,100.0,25022
25,23,95,95,100.0,25023
25,24,111,111,100.0,25024
25,25,77,77,100.0,25025
25,27,57,57,100.0,25027
25,29,48,48,100.0,25029
25,30,85,85,100.0,25030
25,31,55,55,100.0,25031
28,29,69,69,100.0,28029
28,34,14,14,100.0,28034
28,38,30,30,100.0,28038
28,53,44,44,100.0,28053
