ward,precinct,total,Arnette R. Hubbard,Arnette R. Hubbard Percent,Ellen L. Flannigan,Ellen L. Flannigan Percent,Jim Ryan,Jim Ryan Percent,James R. Epstein,James R. Epstein Percent,Kathleen G. Kennedy,Kathleen G. Kennedy Percent,precinct_id
1,1,85,6,7.06,10,11.76,20,23.53,24,28.24,25,29.41,01001
1,2,69,7,10.14,6,8.7,11,15.94,21,30.43,24,34.78,01002
1,3,50,9,18.0,6,12.0,14,28.0,12,24.0,9,18.0,01003
1,4,88,9,10.23,9,10.23,13,14.77,30,34.09,27,30.68,01004
1,5,67,6,8.96,10,14.93,11,16.42,21,31.34,19,28.36,01005
1,6,89,8,8.99,11,12.36,19,21.35,27,30.34,24,26.97,01006
1,7,74,9,12.16,8,10.81,19,25.68,13,17.57,25,33.78,01007
1,8,80,12,15.0,4,5.0,13,16.25,21,26.25,30,37.5,01008
1,9,97,14,14.43,9,9.28,20,20.62,26,26.8,28,28.87,01009
1,10,88,8,9.09,11,12.5,12,13.64,28,31.82,29,32.95,01010
1,11,57,1,1.75,6,10.53,15,26.32,19,33.33,16,28.07,01011
1,12,100,11,11.0,6,6.0,13,13.0,43,43.0,27,27.0,01012
1,13,117,12,10.26,15,12.82,27,23.08,29,24.79,34,29.06,01013
1,14,78,7,8.97,6,7.69,12,15.38,32,41.03,21,26.92,01014
1,15,70,5,7.14,11,15.71,13,18.57,24,34.29,17,24.29,01015
1,16,54,4,7.41,8,14.81,22,40.74,8,14.81,12,22.22,01016
1,17,49,4,8.16,6,12.24,3,6.12,25,51.02,11,22.45,01017
1,18,77,9,11.69,10,12.99,21,27.27,22,28.57,15,19.48,01018
1,19,62,1,1.61,11,17.74,12,19.35,13,20.97,25,40.32,01019
1,20,100,12,12.0,9,9.0,31,31.0,27,27.0,21,21.0,01020
1,21,60,11,18.33,9,15.0,12,20.0,12,20.0,16,26.67,01021
1,22,67,4,5.97,4,5.97,20,29.85,21,31.34,18,26.87,01022
1,23,64,4,6.25,10,15.63,13,20.31,16,25.0,21,32.81,01023
1,24,155,19,12.26,26,16.77,22,14.19,43,27.74,45,29.03,01024
1,25,53,5,9.43,6,11.32,6,11.32,13,24.53,23,43.4,01025
