ward,precinct,total,Sharon Oden-Johnson,Sharon Oden-Johnson Percent,Michelle Hugghis Flagg,Michelle Hugghis Flagg Percent,Jesse Outlaw,Jesse Outlaw Percent,Joseph Chico,Joseph Chico Percent,Theodore ''Ted'' London,Theodore ''Ted'' London Percent,precinct_id
5,12,75,24,32.0,11,14.67,17,22.67,3,4.0,20,26.67,05012
5,50,50,17,34.0,5,10.0,13,26.0,3,6.0,12,24.0,05050
6,1,226,67,29.65,25,11.06,68,30.09,17,7.52,49,21.68,06001
6,2,181,65,35.91,23,12.71,48,26.52,8,4.42,37,20.44,06002
6,3,182,76,41.76,19,10.44,37,20.33,9,4.95,41,22.53,06003
6,4,108,45,41.67,15,13.89,23,21.3,7,6.48,18,16.67,06004
6,5,55,29,52.73,4,7.27,8,14.55,5,9.09,9,16.36,06005
6,6,131,57,43.51,10,7.63,36,27.48,7,5.34,21,16.03,06006
6,8,214,69,32.24,19,8.88,82,38.32,2,0.93,42,19.63,06008
6,9,171,48,28.07,17,9.94,40,23.39,3,1.75,63,36.84,06009
6,10,274,104,37.96,27,9.85,55,20.07,15,5.47,73,26.64,06010
6,11,149,63,42.28,19,12.75,36,24.16,9,6.04,22,14.77,06011
6,12,111,46,41.44,14,12.61,19,17.12,11,9.91,21,18.92,06012
6,13,124,46,37.1,5,4.03,27,21.77,8,6.45,38,30.65,06013
6,14,120,57,47.5,14,11.67,30,25.0,4,3.33,15,12.5,06014
6,16,186,71,38.17,23,12.37,44,23.66,6,3.23,42,22.58,06016
6,17,201,77,38.31,23,11.44,42,20.9,12,5.97,47,23.38,06017
6,19,175,58,33.14,26,14.86,48,27.43,10,5.71,33,18.86,06019
6,21,163,70,42.94,19,11.66,34,20.86,11,6.75,29,17.79,06021
6,22,131,61,46.56,16,12.21,22,16.79,3,2.29,29,22.14,06022
6,23,136,54,39.71,14,10.29,41,30.15,3,2.21,24,17.65,06023
6,24,153,50,32.68,15,9.8,48,31.37,6,3.92,34,22.22,06024
6,25,87,35,40.23,6,6.9,33,37.93,5,5.75,8,9.2,06025
6,26,183,68,37.16,11,6.01,36,19.67,10,5.46,58,31.69,06026
6,27,205,76,37.07,25,12.2,47,22.93,8,3.9,49,23.9,06027
6,28,324,120,37.04,25,7.72,89,27.47,7,2.16,83,25.62,06028
6,29,217,91,41.94,19,8.76,33,15.21,13,5.99,61,28.11,06029
6,31,185,77,41.62,18,9.73,38,20.54,12,6.49,40,21.62,06031
6,34,121,42,34.71,13,10.74,31,25.62,1,0.83,34,28.1,06034
6,35,137,61,44.53,15,10.95,39,28.47,3,2.19,19,13.87,06035
6,36,90,36,40.0,12,13.33,21,23.33,6,6.67,15,16.67,06036
6,37,210,95,45.24,20,9.52,33,15.71,9,4.29,53,25.24,06037
6,38,154,70,45.45,16,10.39,31,20.13,5,3.25,32,20.78,06038
6,39,100,44,44.0,14,14.0,24,24.0,5,5.0,13,13.0,06039
6,40,67,36,53.73,8,11.94,13,19.4,5,7.46,5,7.46,06040
6,41,186,83,44.62,27,14.52,31,16.67,5,2.69,40,21.51,06041
6,42,58,31,53.45,5,8.62,13,22.41,2,3.45,7,12.07,06042
6,43,152,52,34.21,15,9.87,35,23.03,8,5.26,42,27.63,06043
6,44,155,61,39.35,14,9.03,44,28.39,8,5.16,28,18.06,06044
6,45,124,36,29.03,9,7.26,52,41.94,3,2.42,24,19.35,06045
6,46,149,63,42.28,19,12.75,29,19.46,8,5.37,30,20.13,06046
6,47,171,71,41.52,14,8.19,38,22.22,18,10.53,30,17.54,06047
6,49,130,52,40.0,17,13.08,34,26.15,4,3.08,23,17.69,06049
6,50,165,60,36.36,17,10.3,52,31.52,5,3.03,31,18.79,06050
6,51,95,31,32.63,8,8.42,34,35.79,4,4.21,18,18.95,06051
6,52,94,46,48.94,7,7.45,18,19.15,6,6.38,17,18.09,06052
6,53,134,44,32.84,12,8.96,44,32.84,10,7.46,24,17.91,06053
6,54,124,48,38.71,13,10.48,31,25.0,5,4.03,27,21.77,06054
6,55,124,51,41.13,8,6.45,32,25.81,7,5.65,26,20.97,06055
6,56,120,53,44.17,12,10.0,31,25.83,4,3.33,20,16.67,06056
6,57,74,32,43.24,9,12.16,17,22.97,4,5.41,12,16.22,06057
6,58,190,86,45.26,19,10.0,30,15.79,6,3.16,49,25.79,06058
6,59,148,57,38.51,10,6.76,31,20.95,6,4.05,44,29.73,06059
6,60,103,44,42.72,7,6.8,29,28.16,6,5.83,17,16.5,06060
6,63,152,64,42.11,12,7.89,39,25.66,7,4.61,30,19.74,06063
6,64,184,74,40.22,10,5.43,61,33.15,6,3.26,33,17.93,06064
7,1,283,79,27.92,29,10.25,119,42.05,18,6.36,38,13.43,07001
7,2,154,50,32.47,22,14.29,37,24.03,20,12.99,25,16.23,07002
7,3,81,25,30.86,12,14.81,16,19.75,10,12.35,18,22.22,07003
7,4,81,23,28.4,10,12.35,19,23.46,18,22.22,11,13.58,07004
7,5,71,21,29.58,10,14.08,12,16.9,20,28.17,8,11.27,07005
7,6,90,38,42.22,2,2.22,23,25.56,8,8.89,19,21.11,07006
7,7,79,35,44.3,7,8.86,14,17.72,6,7.59,17,21.52,07007
7,8,37,14,37.84,5,13.51,7,18.92,7,18.92,4,10.81,07008
7,10,72,26,36.11,6,8.33,25,34.72,8,11.11,7,9.72,07010
7,12,95,28,29.47,10,10.53,21,22.11,21,22.11,15,15.79,07012
7,13,92,28,30.43,9,9.78,31,33.7,5,5.43,19,20.65,07013
7,14,129,49,37.98,15,11.63,29,22.48,14,10.85,22,17.05,07014
7,15,62,23,37.1,6,9.68,19,30.65,8,12.9,6,9.68,07015
7,16,62,19,30.65,7,11.29,20,32.26,7,11.29,9,14.52,07016
7,17,60,22,36.67,9,15.0,19,31.67,1,1.67,9,15.0,07017
7,18,90,27,30.0,8,8.89,19,21.11,23,25.56,13,14.44,07018
7,19,180,79,43.89,21,11.67,39,21.67,13,7.22,28,15.56,07019
7,20,43,14,32.56,6,13.95,10,23.26,5,11.63,8,18.6,07020
7,21,114,36,31.58,14,12.28,35,30.7,16,14.04,13,11.4,07021
7,22,90,35,38.89,12,13.33,15,16.67,13,14.44,15,16.67,07022
7,23,108,42,38.89,7,6.48,18,16.67,14,12.96,27,25.0,07023
7,24,122,45,36.89,13,10.66,24,19.67,14,11.48,26,21.31,07024
7,25,173,68,39.31,15,8.67,26,15.03,17,9.83,47,27.17,07025
7,26,153,62,40.52,9,5.88,45,29.41,17,11.11,20,13.07,07026
7,27,206,50,24.27,31,15.05,73,35.44,11,5.34,41,19.9,07027
7,28,111,38,34.23,12,10.81,33,29.73,9,8.11,19,17.12,07028
7,29,111,50,45.05,13,11.71,24,21.62,6,5.41,18,16.22,07029
7,30,165,53,32.12,29,17.58,40,24.24,17,10.3,26,15.76,07030
7,31,142,45,31.69,18,12.68,35,24.65,11,7.75,33,23.24,07031
7,32,79,23,29.11,11,13.92,17,21.52,20,25.32,8,10.13,07032
7,33,104,29,27.88,9,8.65,38,36.54,9,8.65,19,18.27,07033
7,34,122,42,34.43,12,9.84,31,25.41,12,9.84,25,20.49,07034
