ward,precinct,total,John P. Daley,John P. Daley Percent,precinct_id
3,10,37,37,100.0,03010
3,19,19,19,100.0,03019
11,1,140,140,100.0,11001
11,4,110,110,100.0,11004
11,5,51,51,100.0,11005
11,7,133,133,100.0,11007
11,8,91,91,100.0,11008
11,9,61,61,100.0,11009
11,10,88,88,100.0,11010
11,11,155,155,100.0,11011
11,12,156,156,100.0,11012
11,13,105,105,100.0,11013
11,15,113,113,100.0,11015
11,16,132,132,100.0,11016
11,17,18,18,100.0,11017
11,18,94,94,100.0,11018
11,19,88,88,100.0,11019
11,20,129,129,100.0,11020
11,21,142,142,100.0,11021
11,22,136,136,100.0,11022
11,23,90,90,100.0,11023
11,24,292,292,100.0,11024
11,25,135,135,100.0,11025
11,26,159,159,100.0,11026
11,28,94,94,100.0,11028
11,29,102,102,100.0,11029
11,30,81,81,100.0,11030
11,31,97,97,100.0,11031
11,32,124,124,100.0,11032
11,33,92,92,100.0,11033
11,34,31,31,100.0,11034
11,35,196,196,100.0,11035
11,37,149,149,100.0,11037
11,38,195,195,100.0,11038
11,39,198,198,100.0,11039
11,40,80,80,100.0,11040
11,41,65,65,100.0,11041
11,42,80,80,100.0,11042
11,43,118,118,100.0,11043
11,44,113,113,100.0,11044
11,45,58,58,100.0,11045
11,47,86,86,100.0,11047
11,48,57,57,100.0,11048
11,49,113,113,100.0,11049
11,50,60,60,100.0,11050
12,8,60,60,100.0,12008
13,1,132,132,100.0,13001
13,2,87,87,100.0,13002
13,4,195,195,100.0,13004
13,5,105,105,100.0,13005
13,6,105,105,100.0,13006
13,7,100,100,100.0,13007
13,8,143,143,100.0,13008
13,9,124,124,100.0,13009
13,10,108,108,100.0,13010
13,11,103,103,100.0,13011
13,12,103,103,100.0,13012
13,13,134,134,100.0,13013
13,14,100,100,100.0,13014
13,16,121,121,100.0,13016
13,17,136,136,100.0,13017
13,19,125,125,100.0,13019
13,21,127,127,100.0,13021
13,22,85,85,100.0,13022
13,23,111,111,100.0,13023
13,24,114,114,100.0,13024
13,25,92,92,100.0,13025
13,26,113,113,100.0,13026
13,27,134,134,100.0,13027
13,29,129,129,100.0,13029
13,32,102,102,100.0,13032
13,35,121,121,100.0,13035
13,36,78,78,100.0,13036
13,37,129,129,100.0,13037
13,38,130,130,100.0,13038
13,39,109,109,100.0,13039
13,40,138,138,100.0,13040
13,41,102,102,100.0,13041
13,42,122,122,100.0,13042
13,43,132,132,100.0,13043
13,44,111,111,100.0,13044
13,45,139,139,100.0,13045
13,46,54,54,100.0,13046
13,47,113,113,100.0,13047
14,2,103,103,100.0,14002
14,25,127,127,100.0,14025
14,28,117,117,100.0,14028
15,6,65,65,100.0,15006
15,13,43,43,100.0,15013
15,15,50,50,100.0,15015
15,22,82,82,100.0,15022
15,24,59,59,100.0,15024
15,29,26,26,100.0,15029
15,33,6,6,100.0,15033
15,44,16,16,100.0,15044
15,45,34,34,100.0,15045
15,50,53,53,100.0,15050
16,1,9,9,100.0,16001
16,2,57,57,100.0,16002
16,6,32,32,100.0,16006
16,7,71,71,100.0,16007
16,8,56,56,100.0,16008
16,10,86,86,100.0,16010
16,11,60,60,100.0,16011
16,12,35,35,100.0,16012
16,13,5,5,100.0,16013
16,18,59,59,100.0,16018
16,19,75,75,100.0,16019
16,23,10,10,100.0,16023
16,29,45,45,100.0,16029
16,30,44,44,100.0,16030
16,44,45,45,100.0,16044
18,1,60,60,100.0,18001
18,2,101,101,100.0,18002
18,3,119,119,100.0,18003
18,6,104,104,100.0,18006
18,7,31,31,100.0,18007
18,11,109,109,100.0,18011
18,15,61,61,100.0,18015
18,17,101,101,100.0,18017
18,23,99,99,100.0,18023
18,28,116,116,100.0,18028
18,29,128,128,100.0,18029
18,36,51,51,100.0,18036
18,41,120,120,100.0,18041
18,43,65,65,100.0,18043
18,48,68,68,100.0,18048
18,55,121,121,100.0,18055
18,56,78,78,100.0,18056
18,57,81,81,100.0,18057
18,62,80,80,100.0,18062
19,1,245,245,100.0,19001
19,2,188,188,100.0,19002
19,3,148,148,100.0,19003
19,4,187,187,100.0,19004
19,5,205,205,100.0,19005
19,6,172,172,100.0,19006
19,7,196,196,100.0,19007
19,8,132,132,100.0,19008
19,9,146,146,100.0,19009
19,10,234,234,100.0,19010
19,11,214,214,100.0,19011
19,12,166,166,100.0,19012
19,13,101,101,100.0,19013
19,14,122,122,100.0,19014
19,15,134,134,100.0,19015
19,16,227,227,100.0,19016
19,17,196,196,100.0,19017
19,18,230,230,100.0,19018
19,19,215,215,100.0,19019
19,20,157,157,100.0,19020
19,21,140,140,100.0,19021
19,22,215,215,100.0,19022
19,23,228,228,100.0,19023
19,24,187,187,100.0,19024
19,25,201,201,100.0,19025
19,26,191,191,100.0,19026
19,27,117,117,100.0,19027
19,28,174,174,100.0,19028
19,29,118,118,100.0,19029
19,30,161,161,100.0,19030
19,31,177,177,100.0,19031
19,32,194,194,100.0,19032
19,33,194,194,100.0,19033
19,34,215,215,100.0,19034
19,35,202,202,100.0,19035
19,36,196,196,100.0,19036
19,37,195,195,100.0,19037
19,38,171,171,100.0,19038
19,39,75,75,100.0,19039
19,40,182,182,100.0,19040
19,41,145,145,100.0,19041
19,42,169,169,100.0,19042
19,44,180,180,100.0,19044
19,45,222,222,100.0,19045
19,46,259,259,100.0,19046
19,47,154,154,100.0,19047
19,49,199,199,100.0,19049
19,51,152,152,100.0,19051
19,52,124,124,100.0,19052
19,53,211,211,100.0,19053
19,54,126,126,100.0,19054
19,55,136,136,100.0,19055
19,56,200,200,100.0,19056
19,57,201,201,100.0,19057
19,58,190,190,100.0,19058
19,59,167,167,100.0,19059
19,60,116,116,100.0,19060
19,61,291,291,100.0,19061
19,62,182,182,100.0,19062
19,63,143,143,100.0,19063
19,64,182,182,100.0,19064
19,65,138,138,100.0,19065
20,41,0,0,0.0,20041
20,45,27,27,100.0,20045
23,1,150,150,100.0,23001
23,2,183,183,100.0,23002
23,3,128,128,100.0,23003
23,4,132,132,100.0,23004
23,5,103,103,100.0,23005
23,6,102,102,100.0,23006
23,7,133,133,100.0,23007
23,8,126,126,100.0,23008
23,10,163,163,100.0,23010
23,11,154,154,100.0,23011
23,12,133,133,100.0,23012
23,13,155,155,100.0,23013
23,14,105,105,100.0,23014
23,15,114,114,100.0,23015
23,16,178,178,100.0,23016
23,17,174,174,100.0,23017
23,18,94,94,100.0,23018
23,19,101,101,100.0,23019
23,20,133,133,100.0,23020
23,21,91,91,100.0,23021
23,22,133,133,100.0,23022
23,23,124,124,100.0,23023
23,25,95,95,100.0,23025
23,26,136,136,100.0,23026
23,27,130,130,100.0,23027
23,28,150,150,100.0,23028
23,30,127,127,100.0,23030
23,31,135,135,100.0,23031
23,32,155,155,100.0,23032
23,33,153,153,100.0,23033
23,34,95,95,100.0,23034
23,35,80,80,100.0,23035
23,36,176,176,100.0,23036
23,37,90,90,100.0,23037
23,38,125,125,100.0,23038
23,39,113,113,100.0,23039
23,40,129,129,100.0,23040
23,41,128,128,100.0,23041
23,42,112,112,100.0,23042
23,43,166,166,100.0,23043
23,44,155,155,100.0,23044
23,45,145,145,100.0,23045
23,46,125,125,100.0,23046
23,47,156,156,100.0,23047
23,48,115,115,100.0,23048
23,49,187,187,100.0,23049
23,50,90,90,100.0,23050
23,51,147,147,100.0,23051
23,52,170,170,100.0,23052
23,53,89,89,100.0,23053
23,54,159,159,100.0,23054
