ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,Gwendolyn ''Gwen'' Drake,Gwendolyn ''Gwen'' Drake Percent,precinct_id
2,1,194,58,29.9,28,14.43,02001
2,11,286,77,26.92,24,8.39,02011
2,14,241,149,61.83,44,18.26,02014
2,20,20,9,45.0,3,15.0,02020
2,22,270,106,39.26,36,13.33,02022
2,24,45,15,33.33,11,24.44,02024
2,31,69,42,60.87,13,18.84,02031
2,35,31,12,38.71,1,3.23,02035
2,43,268,130,48.51,27,10.07,02043
2,49,113,39,34.51,13,11.5,02049
2,53,113,40,35.4,20,17.7,02053
2,54,184,59,32.07,25,13.59,02054
2,55,65,20,30.77,10,15.38,02055
3,1,137,86,62.77,39,28.47,03001
3,3,150,63,42.0,34,22.67,03003
3,6,39,24,61.54,12,30.77,03006
3,8,119,52,43.7,43,36.13,03008
3,9,47,29,61.7,13,27.66,03009
3,11,118,71,60.17,36,30.51,03011
3,14,108,59,54.63,32,29.63,03014
3,15,152,80,52.63,47,30.92,03015
3,17,71,31,43.66,27,38.03,03017
3,18,73,32,43.84,31,42.47,03018
3,22,80,29,36.25,40,50.0,03022
3,23,112,55,49.11,38,33.93,03023
3,24,167,72,43.11,64,38.32,03024
3,27,141,75,53.19,42,29.79,03027
3,28,232,87,37.5,31,13.36,03028
3,29,142,77,54.23,47,33.1,03029
3,32,97,42,43.3,39,40.21,03032
3,33,182,97,53.3,64,35.16,03033
3,35,145,83,57.24,42,28.97,03035
3,36,41,23,56.1,14,34.15,03036
3,37,61,27,44.26,25,40.98,03037
3,38,4,3,75.0,1,25.0,03038
3,40,146,95,65.07,39,26.71,03040
3,41,152,81,53.29,35,23.03,03041
3,42,84,49,58.33,19,22.62,03042
3,43,20,14,70.0,1,5.0,03043
3,45,114,47,41.23,39,34.21,03045
3,46,16,13,81.25,3,18.75,03046
3,47,91,46,50.55,37,40.66,03047
3,49,28,19,67.86,7,25.0,03049
4,6,85,51,60.0,26,30.59,04006
11,14,135,31,22.96,5,3.7,11014
11,36,30,8,26.67,1,3.33,11036
11,48,4,3,75.0,0,0.0,11048
20,1,118,54,45.76,43,36.44,20001
20,3,95,40,42.11,44,46.32,20003
20,6,141,77,54.61,42,29.79,20006
20,7,32,12,37.5,17,53.13,20007
20,11,65,17,26.15,38,58.46,20011
20,12,62,23,37.1,31,50.0,20012
20,14,149,60,40.27,56,37.58,20014
20,17,81,35,43.21,36,44.44,20017
20,23,134,59,44.03,43,32.09,20023
20,27,86,44,51.16,36,41.86,20027
20,31,146,65,44.52,55,37.67,20031
20,33,124,68,54.84,40,32.26,20033
20,37,117,60,51.28,40,34.19,20037
20,42,100,40,40.0,42,42.0,20042
20,46,96,41,42.71,43,44.79,20046
25,14,131,36,27.48,5,3.82,25014
25,16,129,80,62.02,1,0.78,25016
25,18,312,142,45.51,29,9.29,25018
27,5,45,28,62.22,6,13.33,27005
27,6,36,24,66.67,8,22.22,27006
27,9,173,95,54.91,36,20.81,27009
27,12,122,74,60.66,12,9.84,27012
27,16,26,15,57.69,3,11.54,27016
27,20,101,76,75.25,16,15.84,27020
27,21,70,41,58.57,13,18.57,27021
27,28,129,57,44.19,26,20.16,27028
27,37,156,108,69.23,29,18.59,27037
27,39,39,24,61.54,7,17.95,27039
27,42,57,28,49.12,4,7.02,27042
27,43,61,38,62.3,8,13.11,27043
27,51,14,11,78.57,2,14.29,27051
42,3,123,33,26.83,13,10.57,42003
42,4,143,39,27.27,13,9.09,42004
42,9,100,33,33.0,12,12.0,42009
42,17,231,96,41.56,24,10.39,42017
42,19,32,8,25.0,2,6.25,42019
42,20,66,23,34.85,9,13.64,42020
42,22,72,24,33.33,6,8.33,42022
42,24,20,8,40.0,1,5.0,42024
42,27,169,50,29.59,23,13.61,42027
42,32,90,14,15.56,16,17.78,42032
42,39,79,31,39.24,6,7.59,42039
42,45,137,24,17.52,17,12.41,42045
42,46,71,21,29.58,6,8.45,42046
42,49,42,21,50.0,5,11.9,42049
42,55,114,33,28.95,17,14.91,42055
42,56,129,26,20.16,13,10.08,42056
42,57,72,33,45.83,9,12.5,42057
42,58,55,16,29.09,10,18.18,42058
42,60,44,19,43.18,5,11.36,42060
42,61,17,6,35.29,4,23.53,42061
43,13,60,27,45.0,10,16.67,43013
43,19,92,33,35.87,10,10.87,43019
43,30,68,24,35.29,8,11.76,43030
43,37,98,56,57.14,15,15.31,43037
43,51,160,68,42.5,24,15.0,43051
43,54,84,32,38.1,10,11.9,43054
43,55,103,62,60.19,15,14.56,43055
