ward,precinct,total,Javier ''Xavier'' Nogueras,Javier ''Xavier'' Nogueras Percent,Edwin Reyes,Edwin Reyes Percent,Ariel Rosa,Ariel Rosa Percent,precinct_id
1,1,80,27,33.75,38,47.5,15,18.75,01001
1,6,17,4,23.53,7,41.18,6,35.29,01006
1,7,68,27,39.71,31,45.59,10,14.71,01007
1,9,102,46,45.1,38,37.25,18,17.65,01009
1,13,125,53,42.4,59,47.2,13,10.4,01013
1,15,77,28,36.36,41,53.25,8,10.39,01015
1,16,59,13,22.03,40,67.8,6,10.17,01016
1,18,83,26,31.33,44,53.01,13,15.66,01018
1,19,64,22,34.38,35,54.69,7,10.94,01019
1,20,118,57,48.31,51,43.22,10,8.47,01020
1,22,84,26,30.95,42,50.0,16,19.05,01022
1,23,58,27,46.55,23,39.66,8,13.79,01023
1,24,171,59,34.5,98,57.31,14,8.19,01024
1,27,56,24,42.86,22,39.29,10,17.86,01027
1,28,52,19,36.54,25,48.08,8,15.38,01028
1,29,85,41,48.24,35,41.18,9,10.59,01029
1,30,148,69,46.62,67,45.27,12,8.11,01030
1,32,76,35,46.05,31,40.79,10,13.16,01032
1,33,88,30,34.09,43,48.86,15,17.05,01033
1,34,59,26,44.07,25,42.37,8,13.56,01034
1,38,43,15,34.88,21,48.84,7,16.28,01038
1,39,78,24,30.77,34,43.59,20,25.64,01039
1,40,27,10,37.04,13,48.15,4,14.81,01040
1,41,64,22,34.38,28,43.75,14,21.88,01041
1,42,54,25,46.3,18,33.33,11,20.37,01042
1,43,87,31,35.63,36,41.38,20,22.99,01043
1,44,35,12,34.29,17,48.57,6,17.14,01044
1,45,93,36,38.71,40,43.01,17,18.28,01045
26,1,54,16,29.63,28,51.85,10,18.52,26001
26,2,97,35,36.08,54,55.67,8,8.25,26002
26,3,66,21,31.82,27,40.91,18,27.27,26003
26,4,43,12,27.91,27,62.79,4,9.3,26004
26,5,102,35,34.31,52,50.98,15,14.71,26005
26,6,58,19,32.76,35,60.34,4,6.9,26006
26,7,40,19,47.5,18,45.0,3,7.5,26007
26,8,44,14,31.82,23,52.27,7,15.91,26008
26,9,33,5,15.15,26,78.79,2,6.06,26009
26,10,52,8,15.38,35,67.31,9,17.31,26010
26,11,70,23,32.86,40,57.14,7,10.0,26011
26,12,51,12,23.53,33,64.71,6,11.76,26012
26,13,82,26,31.71,49,59.76,7,8.54,26013
26,14,64,33,51.56,25,39.06,6,9.38,26014
26,15,64,11,17.19,49,76.56,4,6.25,26015
26,16,52,17,32.69,27,51.92,8,15.38,26016
26,17,40,17,42.5,16,40.0,7,17.5,26017
26,18,45,12,26.67,23,51.11,10,22.22,26018
26,19,137,44,32.12,80,58.39,13,9.49,26019
26,20,82,42,51.22,32,39.02,8,9.76,26020
26,21,58,24,41.38,25,43.1,9,15.52,26021
26,22,38,15,39.47,19,50.0,4,10.53,26022
26,23,49,24,48.98,19,38.78,6,12.24,26023
26,24,47,18,38.3,14,29.79,15,31.91,26024
26,25,36,9,25.0,20,55.56,7,19.44,26025
26,26,36,13,36.11,20,55.56,3,8.33,26026
26,27,89,42,47.19,40,44.94,7,7.87,26027
26,28,59,32,54.24,23,38.98,4,6.78,26028
26,29,62,21,33.87,31,50.0,10,16.13,26029
26,30,47,14,29.79,29,61.7,4,8.51,26030
26,31,78,27,34.62,42,53.85,9,11.54,26031
26,32,66,28,42.42,27,40.91,11,16.67,26032
26,33,24,9,37.5,8,33.33,7,29.17,26033
26,34,77,36,46.75,24,31.17,17,22.08,26034
26,35,81,19,23.46,45,55.56,17,20.99,26035
26,36,51,7,13.73,36,70.59,8,15.69,26036
26,37,39,10,25.64,27,69.23,2,5.13,26037
26,38,42,14,33.33,21,50.0,7,16.67,26038
26,39,60,15,25.0,39,65.0,6,10.0,26039
26,40,50,19,38.0,25,50.0,6,12.0,26040
26,41,85,42,49.41,38,44.71,5,5.88,26041
26,42,38,14,36.84,20,52.63,4,10.53,26042
26,43,63,12,19.05,43,68.25,8,12.7,26043
26,44,38,6,15.79,24,63.16,8,21.05,26044
