ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,Adolfo Mondragon,Adolfo Mondragon Percent,precinct_id
11,1,170,131,77.06,39,22.94,11001
11,2,134,89,66.42,45,33.58,11002
11,3,103,65,63.11,38,36.89,11003
11,4,119,86,72.27,33,27.73,11004
11,5,67,50,74.63,17,25.37,11005
11,6,158,93,58.86,65,41.14,11006
11,7,149,117,78.52,32,21.48,11007
11,8,126,84,66.67,42,33.33,11008
11,9,69,56,81.16,13,18.84,11009
11,10,98,67,68.37,31,31.63,11010
11,11,179,120,67.04,59,32.96,11011
11,16,151,115,76.16,36,23.84,11016
11,17,193,127,65.8,66,34.2,11017
11,18,97,59,60.82,38,39.18,11018
11,19,97,72,74.23,25,25.77,11019
11,20,126,110,87.3,16,12.7,11020
11,21,165,147,89.09,18,10.91,11021
11,22,142,127,89.44,15,10.56,11022
11,24,300,259,86.33,41,13.67,11024
11,25,141,107,75.89,34,24.11,11025
11,26,202,135,66.83,67,33.17,11026
11,29,145,105,72.41,40,27.59,11029
11,30,116,80,68.97,36,31.03,11030
11,38,216,176,81.48,40,18.52,11038
11,40,95,86,90.53,9,9.47,11040
11,41,72,59,81.94,13,18.06,11041
11,44,139,95,68.35,44,31.65,11044
11,45,65,47,72.31,18,27.69,11045
11,47,120,97,80.83,23,19.17,11047
11,50,67,50,74.63,17,25.37,11050
12,1,77,61,79.22,16,20.78,12001
12,2,89,64,71.91,25,28.09,12002
12,3,80,53,66.25,27,33.75,12003
12,4,52,29,55.77,23,44.23,12004
12,5,77,51,66.23,26,33.77,12005
12,6,90,63,70.0,27,30.0,12006
12,7,101,61,60.4,40,39.6,12007
12,8,141,101,71.63,40,28.37,12008
12,9,71,41,57.75,30,42.25,12009
12,10,80,42,52.5,38,47.5,12010
12,11,137,98,71.53,39,28.47,12011
12,12,57,35,61.4,22,38.6,12012
12,13,129,74,57.36,55,42.64,12013
12,14,98,73,74.49,25,25.51,12014
12,15,72,50,69.44,22,30.56,12015
12,16,3,3,100.0,0,0.0,12016
12,17,120,81,67.5,39,32.5,12017
12,18,79,59,74.68,20,25.32,12018
12,19,104,69,66.35,35,33.65,12019
12,20,79,52,65.82,27,34.18,12020
12,21,85,45,52.94,40,47.06,12021
12,22,80,59,73.75,21,26.25,12022
12,23,105,76,72.38,29,27.62,12023
12,24,115,73,63.48,42,36.52,12024
14,7,119,85,71.43,34,28.57,14007
14,8,83,43,51.81,40,48.19,14008
14,10,121,74,61.16,47,38.84,14010
14,12,105,83,79.05,22,20.95,14012
14,14,89,71,79.78,18,20.22,14014
14,16,106,71,66.98,35,33.02,14016
14,17,112,71,63.39,41,36.61,14017
14,18,87,36,41.38,51,58.62,14018
14,19,159,103,64.78,56,35.22,14019
14,20,87,50,57.47,37,42.53,14020
14,21,138,104,75.36,34,24.64,14021
14,22,139,55,39.57,84,60.43,14022
14,23,123,77,62.6,46,37.4,14023
14,26,117,77,65.81,40,34.19,14026
14,29,150,94,62.67,56,37.33,14029
14,30,107,89,83.18,18,16.82,14030
14,31,113,88,77.88,25,22.12,14031
14,33,100,81,81.0,19,19.0,14033
14,34,18,13,72.22,5,27.78,14034
14,35,107,75,70.09,32,29.91,14035
16,11,74,58,78.38,16,21.62,16011
16,13,57,49,85.96,8,14.04,16013
16,21,73,47,64.38,26,35.62,16021
16,23,67,50,74.63,17,25.37,16023
16,32,19,14,73.68,5,26.32,16032
16,42,56,37,66.07,19,33.93,16042
20,4,73,44,60.27,29,39.73,20004
20,21,46,33,71.74,13,28.26,20021
22,1,81,37,45.68,44,54.32,22001
22,8,62,32,51.61,30,48.39,22008
22,9,103,66,64.08,37,35.92,22009
22,11,95,51,53.68,44,46.32,22011
22,15,63,36,57.14,27,42.86,22015
22,22,69,36,52.17,33,47.83,22022
22,28,0,0,0.0,0,0.0,22028
22,29,64,40,62.5,24,37.5,22029
24,53,106,74,69.81,32,30.19,24053
25,1,128,96,75.0,32,25.0,25001
25,2,172,88,51.16,84,48.84,25002
25,5,133,99,74.44,34,25.56,25005
25,7,104,67,64.42,37,35.58,25007
25,8,133,77,57.89,56,42.11,25008
25,9,162,90,55.56,72,44.44,25009
25,11,146,76,52.05,70,47.95,25011
25,13,152,107,70.39,45,29.61,25013
25,15,142,93,65.49,49,34.51,25015
25,17,180,121,67.22,59,32.78,25017
25,19,143,98,68.53,45,31.47,25019
25,20,146,94,64.38,52,35.62,25020
25,22,66,46,69.7,20,30.3,25022
25,23,147,95,64.63,52,35.37,25023
25,24,167,108,64.67,59,35.33,25024
25,30,134,78,58.21,56,41.79,25030
28,29,96,58,60.42,38,39.58,28029
28,38,41,29,70.73,12,29.27,28038
28,53,41,35,85.37,6,14.63,28053
