ward,precinct,total,Brendan F. Houlihan,Brendan F. Houlihan Percent,precinct_id
19,1,247,247,100.0,19001
19,2,186,186,100.0,19002
19,3,146,146,100.0,19003
19,4,188,188,100.0,19004
19,6,166,166,100.0,19006
19,8,142,142,100.0,19008
19,9,148,148,100.0,19009
19,11,208,208,100.0,19011
19,12,162,162,100.0,19012
19,14,121,121,100.0,19014
19,15,138,138,100.0,19015
19,16,229,229,100.0,19016
19,19,214,214,100.0,19019
19,21,142,142,100.0,19021
19,22,224,224,100.0,19022
19,24,181,181,100.0,19024
19,30,172,172,100.0,19030
19,33,196,196,100.0,19033
19,39,69,69,100.0,19039
19,41,139,139,100.0,19041
19,44,177,177,100.0,19044
19,45,226,226,100.0,19045
19,47,162,162,100.0,19047
19,51,154,154,100.0,19051
19,53,211,211,100.0,19053
19,54,126,126,100.0,19054
19,58,193,193,100.0,19058
19,59,166,166,100.0,19059
19,61,285,285,100.0,19061
19,63,147,147,100.0,19063
41,3,124,124,100.0,41003
41,5,141,141,100.0,41005
41,7,144,144,100.0,41007
41,8,118,118,100.0,41008
41,9,110,110,100.0,41009
41,11,136,136,100.0,41011
41,13,67,67,100.0,41013
41,15,146,146,100.0,41015
41,16,137,137,100.0,41016
41,17,138,138,100.0,41017
41,18,98,98,100.0,41018
41,20,139,139,100.0,41020
41,21,137,137,100.0,41021
41,22,123,123,100.0,41022
41,25,33,33,100.0,41025
41,26,39,39,100.0,41026
41,27,32,32,100.0,41027
41,28,94,94,100.0,41028
41,29,63,63,100.0,41029
41,30,139,139,100.0,41030
41,31,143,143,100.0,41031
41,32,65,65,100.0,41032
41,33,92,92,100.0,41033
41,34,89,89,100.0,41034
41,35,147,147,100.0,41035
41,36,121,121,100.0,41036
41,37,139,139,100.0,41037
41,38,134,134,100.0,41038
41,41,117,117,100.0,41041
41,43,114,114,100.0,41043
41,45,84,84,100.0,41045
41,46,109,109,100.0,41046
41,48,53,53,100.0,41048
41,50,135,135,100.0,41050
41,52,155,155,100.0,41052
41,53,124,124,100.0,41053
41,55,96,96,100.0,41055
45,2,2,2,100.0,45002
