ward,precinct,total,Keith L. Jackson,Keith L. Jackson Percent,John Burros,John Burros Percent,Dorothy L. Walton,Dorothy L. Walton Percent,Jerry L. Patton,Jerry L. Patton Percent,Bruce L. Jackson,Bruce L. Jackson Percent,Arthur Turner,Arthur Turner Percent,precinct_id
2,2,29,7,24.14,8,27.59,3,10.34,2,6.9,1,3.45,8,27.59,02002
2,3,155,52,33.55,48,30.97,19,12.26,3,1.94,6,3.87,27,17.42,02003
2,4,99,30,30.3,11,11.11,29,29.29,6,6.06,8,8.08,15,15.15,02004
2,6,122,13,10.66,47,38.52,8,6.56,6,4.92,5,4.1,43,35.25,02006
2,9,112,32,28.57,21,18.75,14,12.5,6,5.36,6,5.36,33,29.46,02009
2,10,100,17,17.0,14,14.0,19,19.0,5,5.0,5,5.0,40,40.0,02010
2,12,131,9,6.87,51,38.93,14,10.69,4,3.05,2,1.53,51,38.93,02012
2,13,140,26,18.57,39,27.86,23,16.43,5,3.57,2,1.43,45,32.14,02013
2,16,137,8,5.84,67,48.91,13,9.49,3,2.19,1,0.73,45,32.85,02016
2,17,86,14,16.28,6,6.98,20,23.26,0,0.0,3,3.49,43,50.0,02017
2,23,24,7,29.17,3,12.5,6,25.0,1,4.17,0,0.0,7,29.17,02023
2,25,169,23,13.61,52,30.77,32,18.93,6,3.55,8,4.73,48,28.4,02025
2,28,89,14,15.73,32,35.96,14,15.73,1,1.12,1,1.12,27,30.34,02028
2,29,86,15,17.44,20,23.26,11,12.79,2,2.33,2,2.33,36,41.86,02029
2,32,64,19,29.69,13,20.31,16,25.0,5,7.81,6,9.38,5,7.81,02032
2,33,66,11,16.67,3,4.55,14,21.21,2,3.03,6,9.09,30,45.45,02033
2,34,131,26,19.85,20,15.27,26,19.85,3,2.29,2,1.53,54,41.22,02034
2,39,105,14,13.33,29,27.62,14,13.33,3,2.86,5,4.76,40,38.1,02039
2,41,64,13,20.31,5,7.81,13,20.31,3,4.69,2,3.13,28,43.75,02041
2,49,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,02049
2,50,103,12,11.65,50,48.54,9,8.74,1,0.97,3,2.91,28,27.18,02050
