ward,precinct,total,Terry MacCarthy,Terry MacCarthy Percent,Diann K. Marsalek,Diann K. Marsalek Percent,Sharon Finegan Patterson,Sharon Finegan Patterson Percent,Thomas William Flannigan,Thomas William Flannigan Percent,precinct_id
1,1,78,26,33.33,17,21.79,19,24.36,16,20.51,01001
1,2,64,26,40.63,12,18.75,8,12.5,18,28.13,01002
1,3,44,22,50.0,7,15.91,9,20.45,6,13.64,01003
1,4,84,41,48.81,13,15.48,14,16.67,16,19.05,01004
1,5,59,25,42.37,12,20.34,13,22.03,9,15.25,01005
1,6,82,33,40.24,14,17.07,13,15.85,22,26.83,01006
1,7,70,31,44.29,12,17.14,16,22.86,11,15.71,01007
1,8,72,28,38.89,16,22.22,20,27.78,8,11.11,01008
1,9,89,30,33.71,20,22.47,17,19.1,22,24.72,01009
1,10,78,38,48.72,17,21.79,16,20.51,7,8.97,01010
1,11,51,18,35.29,12,23.53,11,21.57,10,19.61,01011
1,12,91,43,47.25,24,26.37,14,15.38,10,10.99,01012
1,13,111,36,32.43,27,24.32,20,18.02,28,25.23,01013
1,14,72,37,51.39,14,19.44,14,19.44,7,9.72,01014
1,15,65,18,27.69,21,32.31,16,24.62,10,15.38,01015
1,16,43,13,30.23,5,11.63,10,23.26,15,34.88,01016
1,17,44,28,63.64,11,25.0,3,6.82,2,4.55,01017
1,18,67,23,34.33,10,14.93,15,22.39,19,28.36,01018
1,19,56,23,41.07,7,12.5,12,21.43,14,25.0,01019
1,20,97,37,38.14,22,22.68,20,20.62,18,18.56,01020
1,21,58,20,34.48,11,18.97,15,25.86,12,20.69,01021
1,22,57,17,29.82,16,28.07,14,24.56,10,17.54,01022
1,23,60,17,28.33,18,30.0,8,13.33,17,28.33,01023
1,24,142,59,41.55,34,23.94,32,22.54,17,11.97,01024
1,25,52,23,44.23,11,21.15,13,25.0,5,9.62,01025
1,26,46,20,43.48,8,17.39,9,19.57,9,19.57,01026
1,27,52,15,28.85,13,25.0,11,21.15,13,25.0,01027
1,28,49,19,38.78,7,14.29,9,18.37,14,28.57,01028
1,29,82,37,45.12,11,13.41,17,20.73,17,20.73,01029
1,30,129,41,31.78,34,26.36,27,20.93,27,20.93,01030
1,31,56,29,51.79,14,25.0,8,14.29,5,8.93,01031
1,32,73,26,35.62,12,16.44,19,26.03,16,21.92,01032
