ward,precinct,total,Robert Shaw,Robert Shaw Percent,Joseph Berrios,Joseph Berrios Percent,Raymond A. Figueroa,Raymond A. Figueroa Percent,precinct_id
1,1,96,19,19.79,35,36.46,42,43.75,01001
1,2,76,10,13.16,24,31.58,42,55.26,01002
1,3,57,9,15.79,20,35.09,28,49.12,01003
1,4,91,14,15.38,28,30.77,49,53.85,01004
1,5,75,12,16.0,30,40.0,33,44.0,01005
1,6,97,10,10.31,51,52.58,36,37.11,01006
1,7,80,11,13.75,37,46.25,32,40.0,01007
1,8,82,21,25.61,27,32.93,34,41.46,01008
1,9,110,16,14.55,49,44.55,45,40.91,01009
1,10,91,11,12.09,36,39.56,44,48.35,01010
1,11,68,7,10.29,31,45.59,30,44.12,01011
1,12,107,16,14.95,34,31.78,57,53.27,01012
1,13,132,18,13.64,66,50.0,48,36.36,01013
1,14,81,12,14.81,26,32.1,43,53.09,01014
1,15,79,7,8.86,46,58.23,26,32.91,01015
1,16,56,15,26.79,23,41.07,18,32.14,01016
1,17,59,6,10.17,21,35.59,32,54.24,01017
1,18,91,6,6.59,52,57.14,33,36.26,01018
1,19,72,15,20.83,30,41.67,27,37.5,01019
1,20,130,13,10.0,65,50.0,52,40.0,01020
1,21,65,13,20.0,24,36.92,28,43.08,01021
1,22,84,15,17.86,44,52.38,25,29.76,01022
1,23,74,11,14.86,35,47.3,28,37.84,01023
1,24,171,22,12.87,85,49.71,64,37.43,01024
1,25,62,15,24.19,19,30.65,28,45.16,01025
1,26,56,8,14.29,29,51.79,19,33.93,01026
1,27,65,9,13.85,32,49.23,24,36.92,01027
1,28,60,16,26.67,23,38.33,21,35.0,01028
1,29,95,14,14.74,38,40.0,43,45.26,01029
1,30,159,22,13.84,73,45.91,64,40.25,01030
1,31,65,12,18.46,25,38.46,28,43.08,01031
1,32,111,15,13.51,51,45.95,45,40.54,01032
1,33,106,22,20.75,45,42.45,39,36.79,01033
1,34,61,8,13.11,26,42.62,27,44.26,01034
1,35,55,10,18.18,22,40.0,23,41.82,01035
1,36,79,13,16.46,33,41.77,33,41.77,01036
1,37,79,22,27.85,27,34.18,30,37.97,01037
1,38,48,4,8.33,22,45.83,22,45.83,01038
1,39,87,13,14.94,49,56.32,25,28.74,01039
1,40,29,3,10.34,17,58.62,9,31.03,01040
1,41,71,10,14.08,29,40.85,32,45.07,01041
1,42,63,11,17.46,23,36.51,29,46.03,01042
1,43,92,8,8.7,42,45.65,42,45.65,01043
1,44,59,11,18.64,22,37.29,26,44.07,01044
1,45,96,12,12.5,48,50.0,36,37.5,01045
1,46,94,13,13.83,42,44.68,39,41.49,01046
1,47,75,13,17.33,27,36.0,35,46.67,01047
1,48,68,14,20.59,28,41.18,26,38.24,01048
1,49,39,5,12.82,14,35.9,20,51.28,01049
1,50,58,8,13.79,26,44.83,24,41.38,01050
2,1,184,38,20.65,49,26.63,97,52.72,02001
2,2,28,9,32.14,11,39.29,8,28.57,02002
2,3,157,66,42.04,45,28.66,46,29.3,02003
2,4,91,51,56.04,29,31.87,11,12.09,02004
2,5,140,71,50.71,44,31.43,25,17.86,02005
2,6,124,25,20.16,36,29.03,63,50.81,02006
2,7,187,110,58.82,53,28.34,24,12.83,02007
2,8,196,46,23.47,71,36.22,79,40.31,02008
2,9,113,57,50.44,38,33.63,18,15.93,02009
2,10,100,55,55.0,31,31.0,14,14.0,02010
2,11,264,40,15.15,69,26.14,155,58.71,02011
2,12,121,20,16.53,45,37.19,56,46.28,02012
2,13,139,57,41.01,33,23.74,49,35.25,02013
2,14,234,117,50.0,71,30.34,46,19.66,02014
2,15,62,38,61.29,16,25.81,8,12.9,02015
2,16,136,28,20.59,49,36.03,59,43.38,02016
2,17,84,54,64.29,21,25.0,9,10.71,02017
2,18,157,33,21.02,62,39.49,62,39.49,02018
2,19,185,45,24.32,83,44.86,57,30.81,02019
2,20,248,140,56.45,79,31.85,29,11.69,02020
2,21,185,107,57.84,48,25.95,30,16.22,02021
2,22,245,74,30.2,72,29.39,99,40.41,02022
2,23,100,50,50.0,30,30.0,20,20.0,02023
2,24,73,30,41.1,17,23.29,26,35.62,02024
2,25,161,77,47.83,49,30.43,35,21.74,02025
2,26,131,64,48.85,35,26.72,32,24.43,02026
2,27,124,78,62.9,31,25.0,15,12.1,02027
2,28,90,24,26.67,25,27.78,41,45.56,02028
2,29,89,38,42.7,33,37.08,18,20.22,02029
2,30,147,39,26.53,45,30.61,63,42.86,02030
2,31,156,90,57.69,39,25.0,27,17.31,02031
2,32,62,28,45.16,22,35.48,12,19.35,02032
2,33,69,47,68.12,15,21.74,7,10.14,02033
