ward,precinct,total,Darlena Williams-Burnett,Darlena Williams-Burnett Percent,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
1,1,59,27,45.76,32,54.24,01001
1,6,90,36,40.0,54,60.0,01006
1,11,0,0,0.0,0,0.0,01011
1,44,48,23,47.92,25,52.08,01044
2,1,162,75,46.3,87,53.7,02001
2,2,28,12,42.86,16,57.14,02002
2,3,147,92,62.59,55,37.41,02003
2,4,89,57,64.04,32,35.96,02004
2,5,136,92,67.65,44,32.35,02005
2,6,111,40,36.04,71,63.96,02006
2,7,176,123,69.89,53,30.11,02007
2,8,165,83,50.3,82,49.7,02008
2,9,110,82,74.55,28,25.45,02009
2,10,94,59,62.77,35,37.23,02010
2,11,214,72,33.64,142,66.36,02011
2,12,119,45,37.82,74,62.18,02012
2,13,136,85,62.5,51,37.5,02013
2,14,6,4,66.67,2,33.33,02014
2,15,58,41,70.69,17,29.31,02015
2,16,127,56,44.09,71,55.91,02016
2,17,83,56,67.47,27,32.53,02017
2,18,130,59,45.38,71,54.62,02018
2,19,168,62,36.9,106,63.1,02019
2,20,66,40,60.61,26,39.39,02020
2,21,169,123,72.78,46,27.22,02021
2,22,213,104,48.83,109,51.17,02022
2,23,99,62,62.63,37,37.37,02023
2,24,64,34,53.13,30,46.88,02024
2,25,162,94,58.02,68,41.98,02025
2,26,122,71,58.2,51,41.8,02026
2,27,112,70,62.5,42,37.5,02027
2,28,79,33,41.77,46,58.23,02028
2,29,83,60,72.29,23,27.71,02029
2,30,120,48,40.0,72,60.0,02030
2,32,57,40,70.18,17,29.82,02032
2,33,67,41,61.19,26,38.81,02033
2,34,124,89,71.77,35,28.23,02034
2,35,25,11,44.0,14,56.0,02035
2,36,199,105,52.76,94,47.24,02036
2,37,109,59,54.13,50,45.87,02037
2,38,164,77,46.95,87,53.05,02038
2,39,100,57,57.0,43,43.0,02039
2,40,214,122,57.01,92,42.99,02040
2,41,63,44,69.84,19,30.16,02041
2,42,93,68,73.12,25,26.88,02042
2,43,218,100,45.87,118,54.13,02043
2,45,115,89,77.39,26,22.61,02045
2,47,95,73,76.84,22,23.16,02047
2,48,82,59,71.95,23,28.05,02048
2,49,84,35,41.67,49,58.33,02049
2,50,91,55,60.44,36,39.56,02050
2,51,90,60,66.67,30,33.33,02051
2,52,175,117,66.86,58,33.14,02052
2,53,89,34,38.2,55,61.8,02053
2,54,136,42,30.88,94,69.12,02054
2,55,58,27,46.55,31,53.45,02055
2,56,126,86,68.25,40,31.75,02056
3,1,114,90,78.95,24,21.05,03001
3,2,200,129,64.5,71,35.5,03002
3,3,129,68,52.71,61,47.29,03003
3,4,97,62,63.92,35,36.08,03004
3,6,33,20,60.61,13,39.39,03006
3,8,115,80,69.57,35,30.43,03008
3,9,131,92,70.23,39,29.77,03009
3,10,41,25,60.98,16,39.02,03010
3,11,122,86,70.49,36,29.51,03011
3,12,98,68,69.39,30,30.61,03012
3,14,105,73,69.52,32,30.48,03014
3,15,147,104,70.75,43,29.25,03015
3,16,101,67,66.34,34,33.66,03016
3,17,58,42,72.41,16,27.59,03017
