ward,precinct,total,Heather A. Steans,Heather A. Steans Percent,Jim Madigan,Jim Madigan Percent,precinct_id
40,1,39,23,58.97,16,41.03,40001
40,2,62,40,64.52,22,35.48,40002
40,3,131,89,67.94,42,32.06,40003
40,4,125,86,68.8,39,31.2,40004
40,7,140,90,64.29,50,35.71,40007
40,9,112,60,53.57,52,46.43,40009
40,10,77,55,71.43,22,28.57,40010
40,11,114,74,64.91,40,35.09,40011
40,12,100,63,63.0,37,37.0,40012
40,13,156,96,61.54,60,38.46,40013
40,14,91,53,58.24,38,41.76,40014
40,15,120,82,68.33,38,31.67,40015
40,16,148,70,47.3,78,52.7,40016
40,18,114,68,59.65,46,40.35,40018
40,19,111,57,51.35,54,48.65,40019
40,21,104,63,60.58,41,39.42,40021
40,22,69,41,59.42,28,40.58,40022
40,23,145,81,55.86,64,44.14,40023
40,24,14,7,50.0,7,50.0,40024
40,25,84,45,53.57,39,46.43,40025
40,26,152,104,68.42,48,31.58,40026
40,27,109,55,50.46,54,49.54,40027
40,28,142,98,69.01,44,30.99,40028
40,33,128,72,56.25,56,43.75,40033
40,35,110,69,62.73,41,37.27,40035
40,36,111,68,61.26,43,38.74,40036
40,37,96,65,67.71,31,32.29,40037
40,39,89,49,55.06,40,44.94,40039
40,40,96,53,55.21,43,44.79,40040
40,41,157,114,72.61,43,27.39,40041
40,42,129,85,65.89,44,34.11,40042
40,43,123,78,63.41,45,36.59,40043
40,44,69,38,55.07,31,44.93,40044
40,45,202,122,60.4,80,39.6,40045
40,46,156,92,58.97,64,41.03,40046
40,47,145,108,74.48,37,25.52,40047
46,2,148,90,60.81,58,39.19,46002
46,4,145,88,60.69,57,39.31,46004
46,6,146,81,55.48,65,44.52,46006
46,7,105,64,60.95,41,39.05,46007
46,8,129,64,49.61,65,50.39,46008
46,9,115,64,55.65,51,44.35,46009
46,11,174,112,64.37,62,35.63,46011
46,12,133,88,66.17,45,33.83,46012
46,14,92,68,73.91,24,26.09,46014
46,16,129,79,61.24,50,38.76,46016
46,19,139,83,59.71,56,40.29,46019
46,20,86,49,56.98,37,43.02,46020
46,21,61,30,49.18,31,50.82,46021
46,22,107,71,66.36,36,33.64,46022
46,23,111,51,45.95,60,54.05,46023
46,25,137,68,49.64,69,50.36,46025
46,26,185,80,43.24,105,56.76,46026
46,27,123,69,56.1,54,43.9,46027
46,32,115,52,45.22,63,54.78,46032
46,34,121,64,52.89,57,47.11,46034
46,35,158,78,49.37,80,50.63,46035
46,38,96,45,46.88,51,53.13,46038
46,39,164,114,69.51,50,30.49,46039
46,40,102,54,52.94,48,47.06,46040
46,41,116,68,58.62,48,41.38,46041
46,42,144,80,55.56,64,44.44,46042
46,45,142,81,57.04,61,42.96,46045
46,46,121,76,62.81,45,37.19,46046
46,47,46,18,39.13,28,60.87,46047
47,5,167,123,73.65,44,26.35,47005
47,10,84,57,67.86,27,32.14,47010
47,11,229,177,77.29,52,22.71,47011
47,19,193,142,73.58,51,26.42,47019
47,20,177,125,70.62,52,29.38,47020
47,22,170,121,71.18,49,28.82,47022
47,23,82,58,70.73,24,29.27,47023
47,26,239,182,76.15,57,23.85,47026
47,28,218,156,71.56,62,28.44,47028
47,30,174,110,63.22,64,36.78,47030
47,31,166,112,67.47,54,32.53,47031
47,32,158,103,65.19,55,34.81,47032
47,33,146,106,72.6,40,27.4,47033
47,34,198,136,68.69,62,31.31,47034
47,36,210,132,62.86,78,37.14,47036
47,37,175,123,70.29,52,29.71,47037
47,38,156,101,64.74,55,35.26,47038
47,39,153,110,71.9,43,28.1,47039
47,41,246,164,66.67,82,33.33,47041
47,45,179,131,73.18,48,26.82,47045
48,1,128,79,61.72,49,38.28,48001
48,2,121,79,65.29,42,34.71,48002
48,3,167,90,53.89,77,46.11,48003
48,4,167,112,67.07,55,32.93,48004
48,5,162,123,75.93,39,24.07,48005
48,6,143,91,63.64,52,36.36,48006
48,7,113,82,72.57,31,27.43,48007
48,8,113,73,64.6,40,35.4,48008
48,9,150,89,59.33,61,40.67,48009
48,10,90,66,73.33,24,26.67,48010
48,11,191,140,73.3,51,26.7,48011
48,12,119,82,68.91,37,31.09,48012
48,13,148,107,72.3,41,27.7,48013
48,14,111,71,63.96,40,36.04,48014
48,15,82,48,58.54,34,41.46,48015
48,16,111,62,55.86,49,44.14,48016
48,17,182,127,69.78,55,30.22,48017
48,18,82,57,69.51,25,30.49,48018
48,19,144,110,76.39,34,23.61,48019
48,20,122,98,80.33,24,19.67,48020
48,21,145,77,53.1,68,46.9,48021
48,22,223,155,69.51,68,30.49,48022
48,23,127,81,63.78,46,36.22,48023
48,24,101,62,61.39,39,38.61,48024
48,25,163,88,53.99,75,46.01,48025
48,26,142,87,61.27,55,38.73,48026
48,27,79,43,54.43,36,45.57,48027
48,28,156,103,66.03,53,33.97,48028
48,29,131,99,75.57,32,24.43,48029
48,30,145,105,72.41,40,27.59,48030
48,31,95,56,58.95,39,41.05,48031
48,32,86,60,69.77,26,30.23,48032
48,33,165,113,68.48,52,31.52,48033
48,34,150,94,62.67,56,37.33,48034
48,35,68,37,54.41,31,45.59,48035
48,36,142,102,71.83,40,28.17,48036
48,37,96,63,65.63,33,34.38,48037
48,38,202,152,75.25,50,24.75,48038
48,39,123,74,60.16,49,39.84,48039
48,40,84,51,60.71,33,39.29,48040
48,41,62,35,56.45,27,43.55,48041
48,42,123,90,73.17,33,26.83,48042
48,43,173,108,62.43,65,37.57,48043
48,44,154,97,62.99,57,37.01,48044
48,45,109,67,61.47,42,38.53,48045
48,46,91,41,45.05,50,54.95,48046
48,47,89,57,64.04,32,35.96,48047
48,48,127,81,63.78,46,36.22,48048
48,49,58,37,63.79,21,36.21,48049
48,50,180,149,82.78,31,17.22,48050
48,51,234,167,71.37,67,28.63,48051
48,52,88,47,53.41,41,46.59,48052
48,53,109,54,49.54,55,50.46,48053
48,54,103,64,62.14,39,37.86,48054
49,2,226,160,70.8,66,29.2,49002
49,3,105,82,78.1,23,21.9,49003
49,4,60,34,56.67,26,43.33,49004
49,7,114,84,73.68,30,26.32,49007
49,8,146,104,71.23,42,28.77,49008
49,9,117,98,83.76,19,16.24,49009
49,10,110,80,72.73,30,27.27,49010
49,11,106,49,46.23,57,53.77,49011
49,12,157,107,68.15,50,31.85,49012
49,13,176,140,79.55,36,20.45,49013
49,15,94,68,72.34,26,27.66,49015
49,17,18,12,66.67,6,33.33,49017
49,18,100,75,75.0,25,25.0,49018
49,19,93,56,60.22,37,39.78,49019
49,21,40,28,70.0,12,30.0,49021
49,22,143,104,72.73,39,27.27,49022
49,23,103,70,67.96,33,32.04,49023
49,25,146,95,65.07,51,34.93,49025
