ward,precinct,total,Allen F. Murphy,Allen F. Murphy Percent,Peter M. Kramer,Peter M. Kramer Percent,Thomas G. O'Brien,Thomas G. O'Brien Percent,Steven G. Watkins,Steven G. Watkins Percent,Charles Francis Fitzgerald,Charles Francis Fitzgerald Percent,precinct_id
13,1,167,92,55.09,16,9.58,18,10.78,6,3.59,20,11.98,13001
13,2,120,74,61.67,8,6.67,9,7.5,4,3.33,11,9.17,13002
13,3,181,42,23.2,16,8.84,40,22.1,11,6.08,31,17.13,13003
13,4,221,87,39.37,11,4.98,51,23.08,4,1.81,43,19.46,13004
13,5,153,49,32.03,12,7.84,32,20.92,3,1.96,27,17.65,13005
13,6,127,50,39.37,4,3.15,22,17.32,8,6.3,30,23.62,13006
13,7,140,80,57.14,13,9.29,23,16.43,2,1.43,8,5.71,13007
13,8,167,69,41.32,15,8.98,40,23.95,6,3.59,15,8.98,13008
13,9,153,70,45.75,12,7.84,33,21.57,6,3.92,12,7.84,13009
13,10,134,66,49.25,11,8.21,24,17.91,10,7.46,11,8.21,13010
13,11,137,56,40.88,14,10.22,21,15.33,12,8.76,14,10.22,13011
13,12,118,43,36.44,12,10.17,24,20.34,5,4.24,14,11.86,13012
13,13,200,148,74.0,6,3.0,23,11.5,3,1.5,9,4.5,13013
13,14,125,50,40.0,11,8.8,27,21.6,3,2.4,16,12.8,13014
13,15,197,93,47.21,14,7.11,39,19.8,6,3.05,18,9.14,13015
13,16,199,93,46.73,16,8.04,37,18.59,4,2.01,20,10.05,13016
13,17,161,68,42.24,17,10.56,35,21.74,3,1.86,20,12.42,13017
13,18,145,49,33.79,9,6.21,24,16.55,8,5.52,25,17.24,13018
13,19,177,102,57.63,9,5.08,17,9.6,15,8.47,15,8.47,13019
13,20,159,63,39.62,6,3.77,29,18.24,6,3.77,23,14.47,13020
13,21,154,62,40.26,8,5.19,32,20.78,16,10.39,16,10.39,13021
13,22,102,45,44.12,9,8.82,16,15.69,6,5.88,15,14.71,13022
13,23,131,60,45.8,7,5.34,27,20.61,3,2.29,12,9.16,13023
13,24,140,81,57.86,11,7.86,12,8.57,4,2.86,13,9.29,13024
13,25,113,37,32.74,6,5.31,27,23.89,2,1.77,25,22.12,13025
13,26,155,98,63.23,12,7.74,20,12.9,5,3.23,12,7.74,13026
13,27,167,66,39.52,12,7.19,40,23.95,3,1.8,25,14.97,13027
13,28,109,44,40.37,13,11.93,18,16.51,4,3.67,14,12.84,13028
13,29,139,66,47.48,11,7.91,26,18.71,3,2.16,18,12.95,13029
13,30,204,112,54.9,11,5.39,33,16.18,4,1.96,13,6.37,13030
13,31,191,91,47.64,11,5.76,43,22.51,3,1.57,16,8.38,13031
13,32,136,39,28.68,9,6.62,17,12.5,32,23.53,17,12.5,13032
13,33,146,80,54.79,10,6.85,17,11.64,8,5.48,16,10.96,13033
13,34,236,173,73.31,6,2.54,20,8.47,5,2.12,11,4.66,13034
13,35,183,117,63.93,6,3.28,23,12.57,6,3.28,13,7.1,13035
13,36,87,28,32.18,12,13.79,26,29.89,4,4.6,6,6.9,13036
13,37,161,75,46.58,8,4.97,22,13.66,8,4.97,19,11.8,13037
13,38,145,46,31.72,21,14.48,23,15.86,13,8.97,24,16.55,13038
13,39,142,97,68.31,3,2.11,12,8.45,4,2.82,12,8.45,13039
13,40,174,69,39.66,9,5.17,31,17.82,9,5.17,28,16.09,13040
13,41,123,37,30.08,7,5.69,34,27.64,7,5.69,13,10.57,13041
13,42,171,67,39.18,22,12.87,37,21.64,12,7.02,19,11.11,13042
13,43,177,109,61.58,10,5.65,21,11.86,4,2.26,16,9.04,13043
13,44,166,101,60.84,10,6.02,18,10.84,4,2.41,13,7.83,13044
13,45,192,137,71.35,9,4.69,19,9.9,4,2.08,16,8.33,13045
13,46,133,47,35.34,11,8.27,41,30.83,2,1.5,13,9.77,13046
13,47,146,67,45.89,10,6.85,30,20.55,6,4.11,17,11.64,13047
14,1,86,35,40.7,10,11.63,17,19.77,5,5.81,5,5.81,14001
14,2,121,48,39.67,4,3.31,29,23.97,5,4.13,12,9.92,14002
14,3,163,58,35.58,9,5.52,37,22.7,13,7.98,18,11.04,14003
