ward,precinct,total,Deborah L. Graham,Deborah L. Graham Percent,precinct_id
28,16,67,67,100.0,28016
28,47,101,101,100.0,28047
29,4,138,138,100.0,29004
29,5,113,113,100.0,29005
29,8,80,80,100.0,29008
29,11,127,127,100.0,29011
29,13,129,129,100.0,29013
29,18,141,141,100.0,29018
29,23,103,103,100.0,29023
29,26,100,100,100.0,29026
29,29,155,155,100.0,29029
29,33,128,128,100.0,29033
29,35,88,88,100.0,29035
29,37,99,99,100.0,29037
29,40,162,162,100.0,29040
29,41,151,151,100.0,29041
29,43,151,151,100.0,29043
29,44,98,98,100.0,29044
29,45,93,93,100.0,29045
29,46,106,106,100.0,29046
29,47,164,164,100.0,29047
29,48,98,98,100.0,29048
36,2,74,74,100.0,36002
36,16,177,177,100.0,36016
36,22,142,142,100.0,36022
36,23,70,70,100.0,36023
36,24,128,128,100.0,36024
36,33,93,93,100.0,36033
36,44,144,144,100.0,36044
36,45,117,117,100.0,36045
36,54,158,158,100.0,36054
36,55,160,160,100.0,36055
37,5,125,125,100.0,37005
37,6,121,121,100.0,37006
37,7,123,123,100.0,37007
37,9,96,96,100.0,37009
37,17,102,102,100.0,37017
37,18,126,126,100.0,37018
37,29,112,112,100.0,37029
37,32,101,101,100.0,37032
37,35,127,127,100.0,37035
37,37,98,98,100.0,37037
37,38,106,106,100.0,37038
