ward,precinct,total,Steven J. Fruth,Steven J. Fruth Percent,Maritza Martinez,Maritza Martinez Percent,Ann Finley Collins,Ann Finley Collins Percent,Pamela McLean Meyerson,Pamela McLean Meyerson Percent,John Michael Lagattuta,John Michael Lagattuta Percent,Pamela M. Leeming,Pamela M. Leeming Percent,Lisa A. Marino,Lisa A. Marino Percent,Eugene Joseph Berkes,Eugene Joseph Berkes Percent,Kim R. Kardas,Kim R. Kardas Percent,John W. Chwarzynski,John W. Chwarzynski Percent,precinct_id
29,2,63,10,15.87,28,44.44,1,1.59,2,3.17,0,0.0,1,1.59,10,15.87,1,1.59,1,1.59,8,12.7,29002
29,6,52,5,9.62,28,53.85,4,7.69,0,0.0,2,3.85,2,3.85,5,9.62,1,1.92,0,0.0,2,3.85,29006
29,7,61,5,8.2,35,57.38,6,9.84,3,4.92,3,4.92,2,3.28,4,6.56,0,0.0,2,3.28,1,1.64,29007
29,9,54,8,14.81,23,42.59,3,5.56,1,1.85,1,1.85,3,5.56,5,9.26,0,0.0,0,0.0,10,18.52,29009
29,10,51,4,7.84,19,37.25,6,11.76,3,5.88,2,3.92,0,0.0,12,23.53,1,1.96,1,1.96,3,5.88,29010
29,12,159,40,25.16,26,16.35,30,18.87,10,6.29,2,1.26,4,2.52,10,6.29,6,3.77,5,3.14,0,0.0,29012
29,15,159,39,24.53,20,12.58,36,22.64,10,6.29,0,0.0,13,8.18,13,8.18,4,2.52,3,1.89,2,1.26,29015
29,17,95,24,25.26,8,8.42,27,28.42,3,3.16,1,1.05,8,8.42,9,9.47,4,4.21,2,2.11,1,1.05,29017
29,24,70,2,2.86,34,48.57,7,10.0,3,4.29,0,0.0,1,1.43,9,12.86,2,2.86,2,2.86,8,11.43,29024
29,25,116,51,43.97,15,12.93,21,18.1,4,3.45,0,0.0,2,1.72,6,5.17,3,2.59,3,2.59,0,0.0,29025
29,30,52,7,13.46,17,32.69,6,11.54,2,3.85,0,0.0,3,5.77,7,13.46,2,3.85,0,0.0,7,13.46,29030
29,32,60,1,1.67,29,48.33,6,10.0,2,3.33,0,0.0,1,1.67,6,10.0,2,3.33,2,3.33,9,15.0,29032
29,36,138,32,23.19,20,14.49,39,28.26,10,7.25,3,2.17,6,4.35,12,8.7,4,2.9,1,0.72,0,0.0,29036
29,39,75,8,10.67,35,46.67,5,6.67,3,4.0,5,6.67,0,0.0,13,17.33,0,0.0,0,0.0,1,1.33,29039
29,49,153,56,36.6,13,8.5,38,24.84,7,4.58,3,1.96,7,4.58,11,7.19,4,2.61,5,3.27,0,0.0,29049
30,2,56,7,12.5,18,32.14,6,10.71,3,5.36,2,3.57,1,1.79,15,26.79,1,1.79,1,1.79,2,3.57,30002
30,6,56,5,8.93,20,35.71,13,23.21,0,0.0,2,3.57,2,3.57,5,8.93,0,0.0,0,0.0,5,8.93,30006
30,7,55,4,7.27,20,36.36,16,29.09,1,1.82,1,1.82,1,1.82,9,16.36,0,0.0,0,0.0,3,5.45,30007
30,8,85,1,1.18,39,45.88,15,17.65,4,4.71,1,1.18,1,1.18,5,5.88,0,0.0,3,3.53,13,15.29,30008
30,9,91,26,28.57,25,27.47,2,2.2,3,3.3,2,2.2,2,2.2,16,17.58,1,1.1,1,1.1,11,12.09,30009
30,10,50,3,6.0,18,36.0,7,14.0,1,2.0,2,4.0,0,0.0,9,18.0,1,2.0,0,0.0,6,12.0,30010
30,11,42,5,11.9,14,33.33,1,2.38,3,7.14,3,7.14,0,0.0,9,21.43,0,0.0,1,2.38,5,11.9,30011
30,12,39,1,2.56,17,43.59,7,17.95,0,0.0,0,0.0,1,2.56,5,12.82,1,2.56,0,0.0,6,15.38,30012
30,13,62,3,4.84,27,43.55,12,19.35,1,1.61,4,6.45,0,0.0,7,11.29,3,4.84,2,3.23,3,4.84,30013
30,14,30,4,13.33,9,30.0,6,20.0,0,0.0,2,6.67,1,3.33,3,10.0,1,3.33,0,0.0,4,13.33,30014
30,16,80,7,8.75,28,35.0,17,21.25,5,6.25,2,2.5,2,2.5,7,8.75,0,0.0,1,1.25,11,13.75,30016
30,17,47,3,6.38,16,34.04,3,6.38,3,6.38,0,0.0,1,2.13,6,12.77,0,0.0,1,2.13,10,21.28,30017
30,18,50,3,6.0,14,28.0,3,6.0,0,0.0,1,2.0,0,0.0,5,10.0,0,0.0,1,2.0,22,44.0,30018
30,25,36,3,8.33,11,30.56,0,0.0,0,0.0,3,8.33,2,5.56,3,8.33,0,0.0,0,0.0,12,33.33,30025
30,28,67,5,7.46,26,38.81,6,8.96,2,2.99,2,2.99,2,2.99,6,8.96,0,0.0,3,4.48,15,22.39,30028
30,30,85,5,5.88,39,45.88,8,9.41,6,7.06,3,3.53,4,4.71,4,4.71,1,1.18,6,7.06,6,7.06,30030
30,34,74,13,17.57,26,35.14,6,8.11,3,4.05,6,8.11,2,2.7,7,9.46,2,2.7,1,1.35,7,9.46,30034
30,36,74,4,5.41,36,48.65,7,9.46,4,5.41,0,0.0,1,1.35,14,18.92,0,0.0,1,1.35,6,8.11,30036
30,37,60,5,8.33,21,35.0,10,16.67,3,5.0,0,0.0,0,0.0,11,18.33,0,0.0,0,0.0,9,15.0,30037
30,38,121,7,5.79,84,69.42,11,9.09,2,1.65,4,3.31,0,0.0,4,3.31,3,2.48,0,0.0,3,2.48,30038
30,39,73,5,6.85,26,35.62,13,17.81,2,2.74,2,2.74,2,2.74,6,8.22,0,0.0,2,2.74,10,13.7,30039
31,3,65,4,6.15,28,43.08,7,10.77,3,4.62,3,4.62,1,1.54,4,6.15,1,1.54,1,1.54,12,18.46,31003
31,8,37,5,13.51,9,24.32,7,18.92,0,0.0,3,8.11,1,2.7,3,8.11,0,0.0,2,5.41,7,18.92,31008
31,9,42,2,4.76,20,47.62,2,4.76,0,0.0,0,0.0,1,2.38,9,21.43,1,2.38,1,2.38,6,14.29,31009
31,15,27,0,0.0,10,37.04,1,3.7,0,0.0,2,7.41,0,0.0,6,22.22,0,0.0,0,0.0,6,22.22,31015
31,16,40,4,10.0,14,35.0,5,12.5,1,2.5,3,7.5,0,0.0,4,10.0,0,0.0,0,0.0,8,20.0,31016
31,18,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31018
31,26,45,3,6.67,15,33.33,4,8.89,3,6.67,0,0.0,1,2.22,8,17.78,1,2.22,1,2.22,9,20.0,31026
31,29,51,2,3.92,16,31.37,4,7.84,2,3.92,3,5.88,1,1.96,12,23.53,1,1.96,4,7.84,3,5.88,31029
31,38,27,5,18.52,12,44.44,5,18.52,0,0.0,1,3.7,1,3.7,0,0.0,0,0.0,1,3.7,0,0.0,31038
31,43,72,1,1.39,27,37.5,12,16.67,1,1.39,3,4.17,2,2.78,9,12.5,1,1.39,0,0.0,12,16.67,31043
31,45,58,3,5.17,31,53.45,4,6.9,4,6.9,1,1.72,0,0.0,4,6.9,0,0.0,1,1.72,7,12.07,31045
35,11,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,35011
35,13,23,1,4.35,11,47.83,1,4.35,1,4.35,1,4.35,0,0.0,2,8.7,1,4.35,2,8.7,2,8.7,35013
35,33,57,5,8.77,22,38.6,10,17.54,1,1.75,1,1.75,0,0.0,5,8.77,1,1.75,1,1.75,8,14.04,35033
36,1,106,20,18.87,25,23.58,12,11.32,2,1.89,4,3.77,1,0.94,30,28.3,0,0.0,5,4.72,3,2.83,36001
36,2,88,8,9.09,27,30.68,8,9.09,1,1.14,2,2.27,2,2.27,24,27.27,3,3.41,3,3.41,6,6.82,36002
36,3,225,84,37.33,43,19.11,30,13.33,7,3.11,8,3.56,4,1.78,25,11.11,2,0.89,3,1.33,5,2.22,36003
36,4,66,5,7.58,22,33.33,14,21.21,4,6.06,1,1.52,1,1.52,14,21.21,1,1.52,2,3.03,0,0.0,36004
36,5,90,10,11.11,3,3.33,16,17.78,0,0.0,7,7.78,2,2.22,38,42.22,0,0.0,3,3.33,5,5.56,36005
36,6,105,10,9.52,15,14.29,8,7.62,3,2.86,5,4.76,0,0.0,46,43.81,2,1.9,2,1.9,9,8.57,36006
36,7,87,12,13.79,7,8.05,15,17.24,2,2.3,8,9.2,0,0.0,19,21.84,1,1.15,1,1.15,17,19.54,36007
36,8,93,15,16.13,10,10.75,8,8.6,2,2.15,3,3.23,1,1.08,32,34.41,1,1.08,2,2.15,13,13.98,36008
36,9,101,12,11.88,11,10.89,13,12.87,0,0.0,8,7.92,1,0.99,23,22.77,1,0.99,20,19.8,9,8.91,36009
36,10,100,10,10.0,9,9.0,13,13.0,3,3.0,24,24.0,2,2.0,17,17.0,0,0.0,10,10.0,11,11.0,36010
36,11,161,36,22.36,15,9.32,16,9.94,1,0.62,11,6.83,4,2.48,62,38.51,1,0.62,0,0.0,9,5.59,36011
36,12,81,11,13.58,13,16.05,9,11.11,1,1.23,7,8.64,3,3.7,26,32.1,0,0.0,1,1.23,8,9.88,36012
36,13,203,30,14.78,33,16.26,24,11.82,1,0.49,59,29.06,2,0.99,25,12.32,0,0.0,2,0.99,23,11.33,36013
36,14,131,67,51.15,25,19.08,5,3.82,3,2.29,2,1.53,3,2.29,9,6.87,1,0.76,1,0.76,11,8.4,36014
36,15,102,19,18.63,27,26.47,5,4.9,5,4.9,3,2.94,2,1.96,21,20.59,3,2.94,3,2.94,11,10.78,36015
36,16,191,18,9.42,18,9.42,33,17.28,4,2.09,3,1.57,4,2.09,89,46.6,2,1.05,1,0.52,2,1.05,36016
36,17,98,11,11.22,6,6.12,15,15.31,1,1.02,21,21.43,1,1.02,23,23.47,0,0.0,3,3.06,8,8.16,36017
36,18,142,9,6.34,3,2.11,20,14.08,1,0.7,31,21.83,2,1.41,45,31.69,1,0.7,7,4.93,11,7.75,36018
36,19,122,32,26.23,40,32.79,12,9.84,2,1.64,3,2.46,2,1.64,21,17.21,2,1.64,4,3.28,3,2.46,36019
36,20,146,15,10.27,20,13.7,12,8.22,4,2.74,51,34.93,1,0.68,22,15.07,0,0.0,3,2.05,16,10.96,36020
36,21,207,43,20.77,21,10.14,29,14.01,6,2.9,11,5.31,3,1.45,62,29.95,4,1.93,6,2.9,19,9.18,36021
36,22,150,13,8.67,17,11.33,16,10.67,2,1.33,2,1.33,3,2.0,77,51.33,1,0.67,4,2.67,8,5.33,36022
36,23,83,29,34.94,14,16.87,10,12.05,1,1.2,3,3.61,4,4.82,14,16.87,2,2.41,1,1.2,1,1.2,36023
36,24,128,33,25.78,18,14.06,23,17.97,2,1.56,0,0.0,7,5.47,21,16.41,1,0.78,4,3.13,0,0.0,36024
36,25,86,11,12.79,11,12.79,17,19.77,2,2.33,7,8.14,1,1.16,23,26.74,0,0.0,0,0.0,10,11.63,36025
36,26,100,13,13.0,24,24.0,15,15.0,3,3.0,4,4.0,4,4.0,13,13.0,1,1.0,1,1.0,17,17.0,36026
36,27,65,6,9.23,7,10.77,11,16.92,0,0.0,6,9.23,2,3.08,22,33.85,0,0.0,4,6.15,5,7.69,36027
36,28,105,23,21.9,21,20.0,11,10.48,1,0.95,4,3.81,0,0.0,21,20.0,0,0.0,1,0.95,16,15.24,36028
36,29,78,7,8.97,6,7.69,6,7.69,1,1.28,4,5.13,0,0.0,31,39.74,1,1.28,4,5.13,8,10.26,36029
36,30,143,23,16.08,9,6.29,18,12.59,4,2.8,14,9.79,3,2.1,44,30.77,1,0.7,6,4.2,15,10.49,36030
36,31,136,57,41.91,11,8.09,12,8.82,3,2.21,5,3.68,0,0.0,22,16.18,3,2.21,1,0.74,17,12.5,36031
36,32,98,5,5.1,7,7.14,11,11.22,2,2.04,15,15.31,2,2.04,33,33.67,1,1.02,9,9.18,11,11.22,36032
36,33,99,13,13.13,8,8.08,14,14.14,2,2.02,5,5.05,2,2.02,38,38.38,0,0.0,2,2.02,3,3.03,36033
36,34,81,7,8.64,8,9.88,10,12.35,2,2.47,8,9.88,1,1.23,24,29.63,1,1.23,8,9.88,9,11.11,36034
36,35,118,17,14.41,16,13.56,9,7.63,0,0.0,20,16.95,2,1.69,37,31.36,2,1.69,1,0.85,9,7.63,36035
36,36,107,19,17.76,30,28.04,14,13.08,2,1.87,3,2.8,0,0.0,22,20.56,0,0.0,0,0.0,11,10.28,36036
36,37,75,13,17.33,6,8.0,7,9.33,1,1.33,10,13.33,1,1.33,16,21.33,0,0.0,0,0.0,11,14.67,36037
36,38,80,16,20.0,16,20.0,6,7.5,0,0.0,6,7.5,4,5.0,18,22.5,0,0.0,1,1.25,11,13.75,36038
36,39,96,18,18.75,14,14.58,10,10.42,1,1.04,3,3.13,5,5.21,34,35.42,0,0.0,1,1.04,6,6.25,36039
36,40,121,14,11.57,12,9.92,14,11.57,2,1.65,12,9.92,2,1.65,41,33.88,0,0.0,3,2.48,14,11.57,36040
36,41,87,7,8.05,22,25.29,15,17.24,2,2.3,4,4.6,1,1.15,11,12.64,0,0.0,2,2.3,22,25.29,36041
36,42,98,17,17.35,8,8.16,17,17.35,2,2.04,6,6.12,1,1.02,19,19.39,1,1.02,8,8.16,17,17.35,36042
36,43,91,8,8.79,29,31.87,10,10.99,1,1.1,4,4.4,1,1.1,29,31.87,1,1.1,4,4.4,2,2.2,36043
36,44,151,24,15.89,17,11.26,24,15.89,8,5.3,7,4.64,5,3.31,48,31.79,1,0.66,4,2.65,3,1.99,36044
36,45,127,15,11.81,10,7.87,10,7.87,4,3.15,5,3.94,3,2.36,61,48.03,2,1.57,3,2.36,5,3.94,36045
36,46,96,14,14.58,17,17.71,15,15.63,4,4.17,5,5.21,0,0.0,20,20.83,1,1.04,1,1.04,14,14.58,36046
36,47,94,26,27.66,12,12.77,9,9.57,3,3.19,2,2.13,1,1.06,19,20.21,2,2.13,2,2.13,5,5.32,36047
36,48,102,7,6.86,18,17.65,12,11.76,2,1.96,8,7.84,0,0.0,34,33.33,0,0.0,7,6.86,9,8.82,36048
36,49,148,18,12.16,13,8.78,11,7.43,9,6.08,11,7.43,1,0.68,57,38.51,1,0.68,7,4.73,16,10.81,36049
36,50,101,29,28.71,11,10.89,10,9.9,1,0.99,2,1.98,0,0.0,29,28.71,2,1.98,1,0.99,15,14.85,36050
36,51,106,22,20.75,34,32.08,11,10.38,4,3.77,0,0.0,1,0.94,19,17.92,1,0.94,0,0.0,6,5.66,36051
36,52,95,7,7.37,34,35.79,18,18.95,3,3.16,1,1.05,1,1.05,12,12.63,1,1.05,7,7.37,8,8.42,36052
36,53,79,12,15.19,26,32.91,7,8.86,2,2.53,0,0.0,2,2.53,11,13.92,1,1.27,0,0.0,18,22.78,36053
36,54,176,45,25.57,25,14.2,31,17.61,10,5.68,4,2.27,5,2.84,20,11.36,5,2.84,4,2.27,5,2.84,36054
36,55,187,17,9.09,14,7.49,26,13.9,9,4.81,4,2.14,3,1.6,99,52.94,3,1.6,2,1.07,5,2.67,36055
37,11,29,2,6.9,15,51.72,4,13.79,0,0.0,0,0.0,0,0.0,6,20.69,1,3.45,1,3.45,0,0.0,37011
37,16,96,13,13.54,13,13.54,27,28.13,3,3.13,1,1.04,11,11.46,13,13.54,3,3.13,3,3.13,4,4.17,37016
37,24,108,15,13.89,13,12.04,36,33.33,6,5.56,7,6.48,7,6.48,12,11.11,3,2.78,6,5.56,0,0.0,37024
37,26,134,26,19.4,15,11.19,44,32.84,6,4.48,4,2.99,11,8.21,11,8.21,7,5.22,2,1.49,4,2.99,37026
37,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37039
38,2,70,9,12.86,15,21.43,9,12.86,1,1.43,0,0.0,3,4.29,11,15.71,0,0.0,2,2.86,15,21.43,38002
38,3,69,6,8.7,6,8.7,11,15.94,1,1.45,6,8.7,0,0.0,24,34.78,2,2.9,4,5.8,8,11.59,38003
38,6,78,6,7.69,20,25.64,7,8.97,2,2.56,5,6.41,2,2.56,12,15.38,1,1.28,1,1.28,16,20.51,38006
38,8,62,3,4.84,13,20.97,12,19.35,5,8.06,2,3.23,2,3.23,11,17.74,0,0.0,1,1.61,9,14.52,38008
38,9,91,4,4.4,21,23.08,33,36.26,7,7.69,3,3.3,3,3.3,10,10.99,0,0.0,2,2.2,7,7.69,38009
38,10,97,6,6.19,29,29.9,30,30.93,7,7.22,0,0.0,1,1.03,10,10.31,0,0.0,7,7.22,7,7.22,38010
38,11,75,6,8.0,13,17.33,14,18.67,5,6.67,10,13.33,3,4.0,12,16.0,0,0.0,4,5.33,6,8.0,38011
