ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
24,7,82,82,100.0,24007
24,16,61,61,100.0,24016
24,41,77,77,100.0,24041
24,46,118,118,100.0,24046
28,1,85,85,100.0,28001
28,4,101,101,100.0,28004
28,8,83,83,100.0,28008
28,12,57,57,100.0,28012
28,14,49,49,100.0,28014
28,15,85,85,100.0,28015
28,17,87,87,100.0,28017
28,19,100,100,100.0,28019
28,21,113,113,100.0,28021
28,27,99,99,100.0,28027
28,39,90,90,100.0,28039
28,40,125,125,100.0,28040
28,41,83,83,100.0,28041
28,42,62,62,100.0,28042
28,45,87,87,100.0,28045
28,46,88,88,100.0,28046
28,51,88,88,100.0,28051
28,55,74,74,100.0,28055
28,56,84,84,100.0,28056
28,57,98,98,100.0,28057
28,58,84,84,100.0,28058
28,60,53,53,100.0,28060
29,1,193,193,100.0,29001
29,3,190,190,100.0,29003
29,7,0,0,0.0,29007
29,12,168,168,100.0,29012
29,14,147,147,100.0,29014
29,15,172,172,100.0,29015
29,17,101,101,100.0,29017
29,22,103,103,100.0,29022
29,25,124,124,100.0,29025
29,28,145,145,100.0,29028
29,31,128,128,100.0,29031
29,34,86,86,100.0,29034
29,36,155,155,100.0,29036
29,38,120,120,100.0,29038
29,42,136,136,100.0,29042
29,49,163,163,100.0,29049
37,2,75,75,100.0,37002
37,10,129,129,100.0,37010
37,14,170,170,100.0,37014
37,15,123,123,100.0,37015
37,16,114,114,100.0,37016
37,20,94,94,100.0,37020
37,21,119,119,100.0,37021
37,22,69,69,100.0,37022
37,23,91,91,100.0,37023
37,24,121,121,100.0,37024
37,25,150,150,100.0,37025
37,26,138,138,100.0,37026
37,27,117,117,100.0,37027
37,30,66,66,100.0,37030
37,31,142,142,100.0,37031
37,33,92,92,100.0,37033
37,34,118,118,100.0,37034
37,36,130,130,100.0,37036
37,40,130,130,100.0,37040
37,41,134,134,100.0,37041
37,43,93,93,100.0,37043
