ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,precinct_id
9,1,144,144,100.0,09001
9,2,126,126,100.0,09002
9,5,140,140,100.0,09005
9,9,174,174,100.0,09009
9,12,115,115,100.0,09012
9,13,147,147,100.0,09013
9,14,181,181,100.0,09014
9,17,102,102,100.0,09017
9,18,38,38,100.0,09018
9,22,165,165,100.0,09022
9,23,86,86,100.0,09023
9,29,93,93,100.0,09029
9,31,109,109,100.0,09031
9,32,118,118,100.0,09032
9,34,97,97,100.0,09034
9,35,177,177,100.0,09035
9,38,122,122,100.0,09038
9,40,145,145,100.0,09040
9,43,52,52,100.0,09043
9,46,122,122,100.0,09046
9,48,143,143,100.0,09048
9,51,41,41,100.0,09051
9,52,162,162,100.0,09052
34,2,148,148,100.0,34002
34,3,134,134,100.0,34003
34,4,139,139,100.0,34004
34,5,99,99,100.0,34005
34,9,93,93,100.0,34009
34,10,137,137,100.0,34010
34,11,77,77,100.0,34011
34,14,107,107,100.0,34014
34,15,103,103,100.0,34015
34,16,70,70,100.0,34016
34,17,93,93,100.0,34017
34,18,85,85,100.0,34018
34,20,231,231,100.0,34020
34,22,182,182,100.0,34022
34,23,131,131,100.0,34023
34,24,132,132,100.0,34024
34,26,67,67,100.0,34026
34,27,109,109,100.0,34027
34,28,89,89,100.0,34028
34,30,185,185,100.0,34030
34,31,76,76,100.0,34031
34,36,172,172,100.0,34036
34,37,134,134,100.0,34037
34,38,106,106,100.0,34038
34,39,77,77,100.0,34039
34,40,157,157,100.0,34040
34,41,77,77,100.0,34041
34,42,193,193,100.0,34042
34,43,199,199,100.0,34043
34,50,155,155,100.0,34050
34,52,98,98,100.0,34052
34,53,79,79,100.0,34053
34,54,88,88,100.0,34054
34,59,125,125,100.0,34059
34,60,161,161,100.0,34060
