ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
24,7,73,73,100.0,24007
24,16,56,56,100.0,24016
24,41,72,72,100.0,24041
24,46,115,115,100.0,24046
28,1,78,78,100.0,28001
28,4,99,99,100.0,28004
28,8,78,78,100.0,28008
28,12,52,52,100.0,28012
28,14,50,50,100.0,28014
28,15,79,79,100.0,28015
28,17,79,79,100.0,28017
28,19,89,89,100.0,28019
28,21,108,108,100.0,28021
28,27,89,89,100.0,28027
28,39,72,72,100.0,28039
28,40,120,120,100.0,28040
28,41,80,80,100.0,28041
28,42,57,57,100.0,28042
28,45,79,79,100.0,28045
28,46,75,75,100.0,28046
28,48,40,40,100.0,28048
28,49,38,38,100.0,28049
28,51,85,85,100.0,28051
28,55,71,71,100.0,28055
28,56,73,73,100.0,28056
28,57,93,93,100.0,28057
28,58,79,79,100.0,28058
28,60,47,47,100.0,28060
29,1,201,201,100.0,29001
29,3,185,185,100.0,29003
29,7,0,0,0.0,29007
29,12,163,163,100.0,29012
29,14,146,146,100.0,29014
29,15,160,160,100.0,29015
29,16,200,200,100.0,29016
29,17,95,95,100.0,29017
29,19,164,164,100.0,29019
29,20,126,126,100.0,29020
29,21,83,83,100.0,29021
29,22,101,101,100.0,29022
29,25,102,102,100.0,29025
29,27,71,71,100.0,29027
29,28,137,137,100.0,29028
29,31,121,121,100.0,29031
29,34,81,81,100.0,29034
29,36,146,146,100.0,29036
29,38,114,114,100.0,29038
29,42,132,132,100.0,29042
29,49,162,162,100.0,29049
37,2,71,71,100.0,37002
37,10,124,124,100.0,37010
37,14,160,160,100.0,37014
37,15,116,116,100.0,37015
37,16,102,102,100.0,37016
37,20,80,80,100.0,37020
37,21,114,114,100.0,37021
37,22,67,67,100.0,37022
37,23,86,86,100.0,37023
37,24,110,110,100.0,37024
37,25,136,136,100.0,37025
37,26,135,135,100.0,37026
37,27,105,105,100.0,37027
37,30,62,62,100.0,37030
37,31,133,133,100.0,37031
37,33,86,86,100.0,37033
37,34,114,114,100.0,37034
37,36,112,112,100.0,37036
37,40,125,125,100.0,37040
37,41,133,133,100.0,37041
37,43,87,87,100.0,37043
