ward,precinct,total,Thaddeus L. Wilson,Thaddeus L. Wilson Percent,Linnae Bryant,Linnae Bryant Percent,precinct_id
5,12,70,44,62.86,26,37.14,05012
5,50,46,20,43.48,26,56.52,05050
6,1,221,134,60.63,87,39.37,06001
6,2,175,102,58.29,73,41.71,06002
6,3,184,132,71.74,52,28.26,06003
6,4,106,52,49.06,54,50.94,06004
6,5,57,40,70.18,17,29.82,06005
6,6,120,73,60.83,47,39.17,06006
6,8,202,122,60.4,80,39.6,06008
6,9,167,106,63.47,61,36.53,06009
6,10,264,157,59.47,107,40.53,06010
6,11,147,97,65.99,50,34.01,06011
6,12,114,75,65.79,39,34.21,06012
6,13,126,94,74.6,32,25.4,06013
6,14,121,74,61.16,47,38.84,06014
6,16,179,126,70.39,53,29.61,06016
6,17,198,107,54.04,91,45.96,06017
6,19,172,111,64.53,61,35.47,06019
6,21,160,97,60.63,63,39.38,06021
6,22,131,67,51.15,64,48.85,06022
6,23,124,67,54.03,57,45.97,06023
6,24,149,84,56.38,65,43.62,06024
6,25,82,58,70.73,24,29.27,06025
6,26,175,102,58.29,73,41.71,06026
6,27,201,108,53.73,93,46.27,06027
6,28,312,207,66.35,105,33.65,06028
6,29,219,110,50.23,109,49.77,06029
6,31,183,132,72.13,51,27.87,06031
6,34,121,75,61.98,46,38.02,06034
6,35,132,87,65.91,45,34.09,06035
6,36,87,52,59.77,35,40.23,06036
6,37,201,104,51.74,97,48.26,06037
6,38,155,99,63.87,56,36.13,06038
6,39,100,45,45.0,55,55.0,06039
6,40,69,38,55.07,31,44.93,06040
6,41,184,118,64.13,66,35.87,06041
6,42,55,38,69.09,17,30.91,06042
6,43,157,88,56.05,69,43.95,06043
6,44,156,102,65.38,54,34.62,06044
6,45,120,76,63.33,44,36.67,06045
6,46,155,116,74.84,39,25.16,06046
6,47,170,110,64.71,60,35.29,06047
6,49,126,67,53.17,59,46.83,06049
6,50,160,95,59.38,65,40.63,06050
6,51,87,59,67.82,28,32.18,06051
6,52,88,44,50.0,44,50.0,06052
6,53,126,77,61.11,49,38.89,06053
6,54,120,75,62.5,45,37.5,06054
6,55,122,77,63.11,45,36.89,06055
6,56,119,67,56.3,52,43.7,06056
6,57,72,41,56.94,31,43.06,06057
6,58,187,107,57.22,80,42.78,06058
6,59,154,107,69.48,47,30.52,06059
6,60,101,56,55.45,45,44.55,06060
6,63,145,78,53.79,67,46.21,06063
6,64,183,97,53.01,86,46.99,06064
7,1,271,173,63.84,98,36.16,07001
7,2,148,104,70.27,44,29.73,07002
7,3,82,49,59.76,33,40.24,07003
7,4,82,41,50.0,41,50.0,07004
7,5,69,49,71.01,20,28.99,07005
7,6,89,48,53.93,41,46.07,07006
7,7,80,45,56.25,35,43.75,07007
7,8,34,20,58.82,14,41.18,07008
7,10,71,43,60.56,28,39.44,07010
7,12,90,51,56.67,39,43.33,07012
7,13,90,48,53.33,42,46.67,07013
7,14,123,66,53.66,57,46.34,07014
7,15,61,42,68.85,19,31.15,07015
7,16,61,34,55.74,27,44.26,07016
7,17,56,31,55.36,25,44.64,07017
7,18,87,48,55.17,39,44.83,07018
7,19,169,99,58.58,70,41.42,07019
7,20,42,14,33.33,28,66.67,07020
7,21,105,71,67.62,34,32.38,07021
7,22,85,57,67.06,28,32.94,07022
7,23,103,63,61.17,40,38.83,07023
7,24,122,67,54.92,55,45.08,07024
7,25,168,90,53.57,78,46.43,07025
7,26,156,97,62.18,59,37.82,07026
7,27,202,96,47.52,106,52.48,07027
7,28,111,60,54.05,51,45.95,07028
7,29,109,71,65.14,38,34.86,07029
7,30,160,79,49.38,81,50.63,07030
7,31,139,70,50.36,69,49.64,07031
7,32,76,47,61.84,29,38.16,07032
7,33,107,61,57.01,46,42.99,07033
7,34,125,60,48.0,65,52.0,07034
7,36,139,74,53.24,65,46.76,07036
7,37,67,34,50.75,33,49.25,07037
7,38,90,57,63.33,33,36.67,07038
7,39,91,55,60.44,36,39.56,07039
7,41,105,70,66.67,35,33.33,07041
7,42,163,90,55.21,73,44.79,07042
7,43,130,83,63.85,47,36.15,07043
7,46,59,28,47.46,31,52.54,07046
7,47,106,70,66.04,36,33.96,07047
7,48,110,60,54.55,50,45.45,07048
7,49,68,39,57.35,29,42.65,07049
7,51,207,115,55.56,92,44.44,07051
7,52,99,60,60.61,39,39.39,07052
7,53,106,63,59.43,43,40.57,07053
7,54,58,26,44.83,32,55.17,07054
7,55,104,54,51.92,50,48.08,07055
7,56,94,51,54.26,43,45.74,07056
7,57,101,57,56.44,44,43.56,07057
7,58,170,108,63.53,62,36.47,07058
7,59,64,44,68.75,20,31.25,07059
7,60,77,37,48.05,40,51.95,07060
7,61,113,69,61.06,44,38.94,07061
8,1,175,108,61.71,67,38.29,08001
8,2,83,50,60.24,33,39.76,08002
8,3,222,135,60.81,87,39.19,08003
8,4,156,102,65.38,54,34.62,08004
8,5,212,142,66.98,70,33.02,08005
8,6,174,91,52.3,83,47.7,08006
8,7,120,80,66.67,40,33.33,08007
8,8,209,137,65.55,72,34.45,08008
8,9,204,111,54.41,93,45.59,08009
8,10,248,147,59.27,101,40.73,08010
8,11,137,83,60.58,54,39.42,08011
8,12,117,82,70.09,35,29.91,08012
8,13,99,68,68.69,31,31.31,08013
8,14,77,45,58.44,32,41.56,08014
8,15,118,70,59.32,48,40.68,08015
8,16,196,116,59.18,80,40.82,08016
8,17,143,74,51.75,69,48.25,08017
