ward,precinct,total,"Emil Jones, Jr.","Emil Jones, Jr. Percent","Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",precinct_id
5,1,182,70,38.46,112,61.54,05001
5,4,129,41,31.78,88,68.22,05004
5,6,183,53,28.96,130,71.04,05006
5,7,180,60,33.33,120,66.67,05007
5,11,140,34,24.29,106,75.71,05011
5,14,218,59,27.06,159,72.94,05014
5,21,144,40,27.78,104,72.22,05021
5,24,182,67,36.81,115,63.19,05024
5,26,155,49,31.61,106,68.39,05026
5,28,189,72,38.1,117,61.9,05028
5,29,166,55,33.13,111,66.87,05029
5,31,137,47,34.31,90,65.69,05031
5,32,305,108,35.41,197,64.59,05032
5,34,162,53,32.72,109,67.28,05034
5,36,64,23,35.94,41,64.06,05036
5,37,127,41,32.28,86,67.72,05037
5,38,203,43,21.18,160,78.82,05038
5,40,126,35,27.78,91,72.22,05040
5,42,160,42,26.25,118,73.75,05042
5,43,186,76,40.86,110,59.14,05043
5,44,157,47,29.94,110,70.06,05044
5,46,147,36,24.49,111,75.51,05046
5,47,130,43,33.08,87,66.92,05047
5,49,31,10,32.26,21,67.74,05049
5,54,256,99,38.67,157,61.33,05054
6,21,184,64,34.78,120,65.22,06021
6,22,144,47,32.64,97,67.36,06022
6,64,202,69,34.16,133,65.84,06064
7,1,289,99,34.26,190,65.74,07001
7,2,162,52,32.1,110,67.9,07002
7,3,91,35,38.46,56,61.54,07003
7,4,92,39,42.39,53,57.61,07004
7,5,81,19,23.46,62,76.54,07005
7,6,114,37,32.46,77,67.54,07006
7,7,80,27,33.75,53,66.25,07007
7,8,39,14,35.9,25,64.1,07008
7,9,147,42,28.57,105,71.43,07009
7,10,79,24,30.38,55,69.62,07010
7,11,168,65,38.69,103,61.31,07011
7,12,112,42,37.5,70,62.5,07012
7,13,100,32,32.0,68,68.0,07013
7,14,138,55,39.86,83,60.14,07014
7,15,70,19,27.14,51,72.86,07015
7,16,74,28,37.84,46,62.16,07016
7,17,68,20,29.41,48,70.59,07017
7,18,94,30,31.91,64,68.09,07018
7,19,192,52,27.08,140,72.92,07019
7,20,51,15,29.41,36,70.59,07020
7,21,128,39,30.47,89,69.53,07021
7,22,103,27,26.21,76,73.79,07022
7,23,129,33,25.58,96,74.42,07023
7,24,133,39,29.32,94,70.68,07024
7,25,178,62,34.83,116,65.17,07025
7,26,164,64,39.02,100,60.98,07026
7,27,209,74,35.41,135,64.59,07027
7,28,128,45,35.16,83,64.84,07028
7,29,146,37,25.34,109,74.66,07029
7,30,174,57,32.76,117,67.24,07030
7,31,147,51,34.69,96,65.31,07031
7,32,86,33,38.37,53,61.63,07032
7,33,120,37,30.83,83,69.17,07033
7,34,131,39,29.77,92,70.23,07034
7,35,178,54,30.34,124,69.66,07035
7,36,151,62,41.06,89,58.94,07036
7,37,71,24,33.8,47,66.2,07037
7,38,104,32,30.77,72,69.23,07038
7,39,91,25,27.47,66,72.53,07039
7,40,127,32,25.2,95,74.8,07040
7,41,118,44,37.29,74,62.71,07041
7,42,200,76,38.0,124,62.0,07042
7,43,147,50,34.01,97,65.99,07043
7,44,209,58,27.75,151,72.25,07044
7,45,224,83,37.05,141,62.95,07045
7,46,82,22,26.83,60,73.17,07046
7,47,117,36,30.77,81,69.23,07047
7,48,130,39,30.0,91,70.0,07048
7,49,80,25,31.25,55,68.75,07049
7,50,95,34,35.79,61,64.21,07050
7,51,220,75,34.09,145,65.91,07051
7,52,109,40,36.7,69,63.3,07052
7,53,112,41,36.61,71,63.39,07053
7,54,61,20,32.79,41,67.21,07054
7,55,133,41,30.83,92,69.17,07055
7,56,107,37,34.58,70,65.42,07056
7,57,119,48,40.34,71,59.66,07057
7,58,196,64,32.65,132,67.35,07058
7,59,75,26,34.67,49,65.33,07059
7,60,96,26,27.08,70,72.92,07060
7,61,133,39,29.32,94,70.68,07061
8,3,193,76,39.38,117,60.62,08003
8,4,167,67,40.12,100,59.88,08004
8,5,234,100,42.74,134,57.26,08005
8,7,136,56,41.18,80,58.82,08007
8,8,231,85,36.8,146,63.2,08008
8,9,224,87,38.84,137,61.16,08009
8,15,126,46,36.51,80,63.49,08015
8,17,143,59,41.26,84,58.74,08017
8,19,233,90,38.63,143,61.37,08019
8,23,142,47,33.1,95,66.9,08023
8,24,170,64,37.65,106,62.35,08024
8,25,149,57,38.26,92,61.74,08025
8,26,109,50,45.87,59,54.13,08026
8,27,176,83,47.16,93,52.84,08027
8,28,136,57,41.91,79,58.09,08028
8,32,264,97,36.74,167,63.26,08032
8,34,207,84,40.58,123,59.42,08034
8,36,157,65,41.4,92,58.6,08036
8,39,177,59,33.33,118,66.67,08039
8,42,170,60,35.29,110,64.71,08042
8,44,135,53,39.26,82,60.74,08044
8,46,128,54,42.19,74,57.81,08046
8,47,173,59,34.1,114,65.9,08047
8,49,220,79,35.91,141,64.09,08049
8,50,181,73,40.33,108,59.67,08050
8,51,209,91,43.54,118,56.46,08051
8,57,152,58,38.16,94,61.84,08057
8,60,141,60,42.55,81,57.45,08060
8,62,165,63,38.18,102,61.82,08062
8,63,179,74,41.34,105,58.66,08063
8,65,115,57,49.57,58,50.43,08065
8,66,233,89,38.2,144,61.8,08066
8,70,170,63,37.06,107,62.94,08070
9,1,173,74,42.77,99,57.23,09001
9,2,157,56,35.67,101,64.33,09002
9,3,50,25,50.0,25,50.0,09003
9,4,142,52,36.62,90,63.38,09004
9,5,160,68,42.5,92,57.5,09005
9,6,165,56,33.94,109,66.06,09006
9,7,136,44,32.35,92,67.65,09007
9,8,143,59,41.26,84,58.74,09008
9,9,219,88,40.18,131,59.82,09009
9,10,141,51,36.17,90,63.83,09010
9,11,100,35,35.0,65,65.0,09011
9,12,134,42,31.34,92,68.66,09012
9,13,173,80,46.24,93,53.76,09013
9,14,210,72,34.29,138,65.71,09014
9,15,122,42,34.43,80,65.57,09015
9,16,94,31,32.98,63,67.02,09016
9,17,125,37,29.6,88,70.4,09017
