ward,precinct,total,William H. Hooks,William H. Hooks Percent,William Burnett Raines,William Burnett Raines Percent,precinct_id
1,1,75,28,37.33,18,24.0,01001
1,2,64,37,57.81,14,21.88,01002
1,3,47,27,57.45,5,10.64,01003
1,4,83,51,61.45,12,14.46,01004
1,5,62,32,51.61,13,20.97,01005
1,6,85,29,34.12,26,30.59,01006
1,7,69,36,52.17,11,15.94,01007
1,8,71,34,47.89,14,19.72,01008
1,9,89,39,43.82,23,25.84,01009
1,10,74,36,48.65,11,14.86,01010
1,11,50,20,40.0,10,20.0,01011
1,12,89,45,50.56,19,21.35,01012
1,13,109,38,34.86,40,36.7,01013
1,14,72,41,56.94,16,22.22,01014
1,15,66,18,27.27,28,42.42,01015
1,16,43,14,32.56,20,46.51,01016
1,17,41,25,60.98,6,14.63,01017
1,18,72,25,34.72,24,33.33,01018
1,19,57,26,45.61,12,21.05,01019
1,20,90,45,50.0,16,17.78,01020
1,21,58,31,53.45,9,15.52,01021
1,22,59,21,35.59,20,33.9,01022
1,23,59,20,33.9,21,35.59,01023
1,24,145,64,44.14,33,22.76,01024
1,25,52,24,46.15,9,17.31,01025
1,26,43,28,65.12,4,9.3,01026
1,27,53,20,37.74,8,15.09,01027
1,28,52,22,42.31,14,26.92,01028
1,29,79,38,48.1,16,20.25,01029
1,30,132,44,33.33,53,40.15,01030
1,31,56,28,50.0,7,12.5,01031
1,32,73,30,41.1,17,23.29,01032
1,33,87,40,45.98,24,27.59,01033
1,34,51,26,50.98,13,25.49,01034
1,35,46,26,56.52,8,17.39,01035
1,36,71,40,56.34,17,23.94,01036
1,37,64,32,50.0,12,18.75,01037
1,38,34,15,44.12,10,29.41,01038
1,39,70,24,34.29,23,32.86,01039
1,40,24,9,37.5,8,33.33,01040
1,41,60,25,41.67,16,26.67,01041
1,42,47,21,44.68,14,29.79,01042
1,43,80,32,40.0,24,30.0,01043
1,44,51,26,50.98,10,19.61,01044
1,45,83,37,44.58,26,31.33,01045
1,46,79,36,45.57,15,18.99,01046
1,47,61,36,59.02,10,16.39,01047
1,48,53,21,39.62,15,28.3,01048
1,49,39,22,56.41,8,20.51,01049
1,50,52,23,44.23,12,23.08,01050
2,1,165,89,53.94,23,13.94,02001
2,2,25,14,56.0,6,24.0,02002
2,3,136,57,41.91,48,35.29,02003
2,4,77,31,40.26,34,44.16,02004
2,5,115,45,39.13,49,42.61,02005
2,6,106,53,50.0,17,16.04,02006
2,7,165,71,43.03,57,34.55,02007
2,8,165,103,62.42,22,13.33,02008
2,9,102,32,31.37,39,38.24,02009
2,10,82,43,52.44,22,26.83,02010
2,11,237,150,63.29,40,16.88,02011
2,12,114,61,53.51,19,16.67,02012
2,13,124,64,51.61,33,26.61,02013
2,14,205,119,58.05,39,19.02,02014
2,15,56,23,41.07,21,37.5,02015
2,16,128,80,62.5,19,14.84,02016
2,17,77,27,35.06,27,35.06,02017
2,18,137,78,56.93,25,18.25,02018
2,19,155,68,43.87,30,19.35,02019
2,20,211,112,53.08,56,26.54,02020
2,21,148,72,48.65,44,29.73,02021
2,22,216,128,59.26,37,17.13,02022
