ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,precinct_id
42,8,159,159,100.0,42008
42,10,76,76,100.0,42010
42,15,142,142,100.0,42015
42,16,67,67,100.0,42016
42,26,130,130,100.0,42026
42,28,143,143,100.0,42028
42,30,70,70,100.0,42030
42,33,187,187,100.0,42033
42,34,115,115,100.0,42034
42,36,71,71,100.0,42036
43,4,147,147,100.0,43004
43,8,157,157,100.0,43008
43,12,136,136,100.0,43012
43,14,126,126,100.0,43014
43,16,113,113,100.0,43016
43,17,121,121,100.0,43017
43,18,133,133,100.0,43018
43,23,97,97,100.0,43023
43,24,109,109,100.0,43024
43,25,108,108,100.0,43025
43,26,104,104,100.0,43026
43,27,80,80,100.0,43027
43,28,150,150,100.0,43028
43,32,140,140,100.0,43032
43,33,48,48,100.0,43033
43,34,46,46,100.0,43034
43,36,99,99,100.0,43036
43,38,74,74,100.0,43038
43,39,81,81,100.0,43039
43,42,105,105,100.0,43042
43,43,62,62,100.0,43043
43,44,107,107,100.0,43044
43,45,28,28,100.0,43045
43,46,122,122,100.0,43046
43,48,98,98,100.0,43048
43,49,112,112,100.0,43049
43,52,71,71,100.0,43052
43,53,100,100,100.0,43053
43,58,91,91,100.0,43058
43,59,154,154,100.0,43059
44,1,122,122,100.0,44001
44,2,92,92,100.0,44002
44,3,180,180,100.0,44003
44,4,131,131,100.0,44004
44,5,129,129,100.0,44005
44,6,111,111,100.0,44006
44,7,141,141,100.0,44007
44,8,44,44,100.0,44008
44,10,56,56,100.0,44010
44,12,108,108,100.0,44012
44,14,104,104,100.0,44014
44,15,132,132,100.0,44015
44,17,152,152,100.0,44017
44,18,75,75,100.0,44018
44,19,68,68,100.0,44019
44,20,94,94,100.0,44020
44,21,102,102,100.0,44021
44,22,152,152,100.0,44022
44,23,84,84,100.0,44023
44,24,68,68,100.0,44024
44,26,96,96,100.0,44026
44,28,66,66,100.0,44028
44,29,98,98,100.0,44029
44,30,93,93,100.0,44030
44,31,104,104,100.0,44031
44,32,99,99,100.0,44032
44,33,138,138,100.0,44033
44,34,77,77,100.0,44034
44,35,102,102,100.0,44035
44,36,80,80,100.0,44036
44,37,155,155,100.0,44037
44,38,82,82,100.0,44038
44,39,92,92,100.0,44039
44,41,116,116,100.0,44041
44,42,159,159,100.0,44042
44,44,157,157,100.0,44044
44,45,110,110,100.0,44045
44,46,104,104,100.0,44046
44,48,106,106,100.0,44048
44,49,226,226,100.0,44049
44,50,85,85,100.0,44050
46,1,246,246,100.0,46001
46,3,137,137,100.0,46003
46,5,60,60,100.0,46005
46,10,83,83,100.0,46010
46,13,107,107,100.0,46013
46,15,159,159,100.0,46015
46,17,188,188,100.0,46017
46,18,160,160,100.0,46018
46,24,75,75,100.0,46024
46,28,141,141,100.0,46028
46,29,131,131,100.0,46029
46,30,146,146,100.0,46030
46,31,146,146,100.0,46031
46,33,163,163,100.0,46033
46,36,146,146,100.0,46036
46,37,82,82,100.0,46037
46,43,181,181,100.0,46043
46,44,87,87,100.0,46044
