ward,precinct,total,S. Raja Krishnamoorthi,S. Raja Krishnamoorthi Percent,Clinton A. ''Clint'' Krislov,Clinton A. ''Clint'' Krislov Percent,precinct_id
1,1,103,59,57.28,10,9.71,01001
1,2,85,54,63.53,11,12.94,01002
1,3,64,35,54.69,9,14.06,01003
1,4,97,74,76.29,9,9.28,01004
1,5,88,49,55.68,8,9.09,01005
1,6,98,63,64.29,11,11.22,01006
1,7,83,48,57.83,6,7.23,01007
1,8,93,54,58.06,11,11.83,01008
1,9,113,65,57.52,12,10.62,01009
1,10,101,73,72.28,9,8.91,01010
1,11,65,42,64.62,8,12.31,01011
1,12,117,79,67.52,8,6.84,01012
1,13,136,75,55.15,10,7.35,01013
1,14,82,56,68.29,6,7.32,01014
1,15,72,31,43.06,7,9.72,01015
1,16,51,15,29.41,8,15.69,01016
1,17,69,51,73.91,7,10.14,01017
1,18,85,40,47.06,6,7.06,01018
1,19,70,40,57.14,3,4.29,01019
1,20,123,51,41.46,20,16.26,01020
1,21,70,46,65.71,8,11.43,01021
1,22,78,36,46.15,7,8.97,01022
1,23,73,37,50.68,6,8.22,01023
1,24,166,99,59.64,12,7.23,01024
1,25,63,32,50.79,9,14.29,01025
1,26,62,42,67.74,5,8.06,01026
1,27,62,38,61.29,3,4.84,01027
1,28,64,37,57.81,8,12.5,01028
1,29,100,61,61.0,15,15.0,01029
1,30,145,62,42.76,17,11.72,01030
1,31,79,55,69.62,3,3.8,01031
1,32,111,43,38.74,18,16.22,01032
1,33,114,55,48.25,8,7.02,01033
1,34,59,32,54.24,11,18.64,01034
1,35,62,48,77.42,2,3.23,01035
1,36,88,44,50.0,15,17.05,01036
1,37,82,48,58.54,8,9.76,01037
1,38,48,15,31.25,14,29.17,01038
1,39,85,33,38.82,9,10.59,01039
1,40,31,16,51.61,5,16.13,01040
1,41,73,47,64.38,4,5.48,01041
1,42,65,43,66.15,1,1.54,01042
1,43,92,45,48.91,7,7.61,01043
1,44,65,46,70.77,3,4.62,01044
1,45,97,49,50.52,10,10.31,01045
1,46,98,65,66.33,9,9.18,01046
1,47,79,56,70.89,8,10.13,01047
1,48,67,25,37.31,14,20.9,01048
1,49,44,30,68.18,2,4.55,01049
1,50,60,41,68.33,5,8.33,01050
2,1,208,138,66.35,12,5.77,02001
2,2,30,9,30.0,6,20.0,02002
2,3,162,78,48.15,12,7.41,02003
2,4,93,24,25.81,7,7.53,02004
2,5,136,45,33.09,7,5.15,02005
