ward,precinct,total,Raymond W. Mitchell,Raymond W. Mitchell Percent,Bonnie Carol McGrath,Bonnie Carol McGrath Percent,Carl B. Boyd,Carl B. Boyd Percent,precinct_id
1,1,73,30,41.1,27,36.99,16,21.92,01001
1,2,64,38,59.38,15,23.44,11,17.19,01002
1,3,45,19,42.22,23,51.11,3,6.67,01003
1,4,79,38,48.1,29,36.71,12,15.19,01004
1,5,62,30,48.39,23,37.1,9,14.52,01005
1,6,79,37,46.84,34,43.04,8,10.13,01006
1,7,69,30,43.48,32,46.38,7,10.14,01007
1,8,72,33,45.83,27,37.5,12,16.67,01008
1,9,90,35,38.89,44,48.89,11,12.22,01009
1,10,77,33,42.86,38,49.35,6,7.79,01010
1,11,49,17,34.69,25,51.02,7,14.29,01011
1,12,90,52,57.78,26,28.89,12,13.33,01012
1,13,111,55,49.55,45,40.54,11,9.91,01013
1,14,72,40,55.56,25,34.72,7,9.72,01014
1,15,67,39,58.21,17,25.37,11,16.42,01015
1,16,44,21,47.73,13,29.55,10,22.73,01016
1,17,39,27,69.23,11,28.21,1,2.56,01017
1,18,66,34,51.52,25,37.88,7,10.61,01018
1,19,55,25,45.45,23,41.82,7,12.73,01019
1,20,92,53,57.61,30,32.61,9,9.78,01020
1,21,58,27,46.55,23,39.66,8,13.79,01021
1,22,59,33,55.93,19,32.2,7,11.86,01022
1,23,57,26,45.61,20,35.09,11,19.3,01023
1,24,140,59,42.14,61,43.57,20,14.29,01024
1,25,51,23,45.1,20,39.22,8,15.69,01025
1,26,43,25,58.14,16,37.21,2,4.65,01026
1,27,51,31,60.78,13,25.49,7,13.73,01027
1,28,49,23,46.94,17,34.69,9,18.37,01028
1,29,83,31,37.35,42,50.6,10,12.05,01029
1,30,130,64,49.23,47,36.15,19,14.62,01030
1,31,55,26,47.27,21,38.18,8,14.55,01031
1,32,71,31,43.66,27,38.03,13,18.31,01032
1,33,83,39,46.99,33,39.76,11,13.25,01033
1,34,53,33,62.26,16,30.19,4,7.55,01034
1,35,43,24,55.81,14,32.56,5,11.63,01035
1,36,73,40,54.79,27,36.99,6,8.22,01036
1,37,65,30,46.15,30,46.15,5,7.69,01037
1,38,36,21,58.33,10,27.78,5,13.89,01038
1,39,69,27,39.13,33,47.83,9,13.04,01039
1,40,23,8,34.78,11,47.83,4,17.39,01040
1,41,61,25,40.98,26,42.62,10,16.39,01041
1,42,50,21,42.0,20,40.0,9,18.0,01042
1,43,73,40,54.79,28,38.36,5,6.85,01043
1,44,48,25,52.08,18,37.5,5,10.42,01044
1,45,84,45,53.57,31,36.9,8,9.52,01045
1,46,78,40,51.28,30,38.46,8,10.26,01046
1,47,63,39,61.9,17,26.98,7,11.11,01047
1,48,55,23,41.82,17,30.91,15,27.27,01048
1,49,38,21,55.26,11,28.95,6,15.79,01049
1,50,51,23,45.1,21,41.18,7,13.73,01050
2,1,165,83,50.3,58,35.15,24,14.55,02001
2,2,24,14,58.33,6,25.0,4,16.67,02002
2,3,136,49,36.03,46,33.82,41,30.15,02003
2,4,75,25,33.33,22,29.33,28,37.33,02004
2,5,105,39,37.14,33,31.43,33,31.43,02005
2,6,108,48,44.44,48,44.44,12,11.11,02006
2,7,164,71,43.29,39,23.78,54,32.93,02007
2,8,172,81,47.09,63,36.63,28,16.28,02008
2,9,105,41,39.05,33,31.43,31,29.52,02009
2,10,79,36,45.57,26,32.91,17,21.52,02010
2,11,260,119,45.77,118,45.38,23,8.85,02011
2,12,114,60,52.63,40,35.09,14,12.28,02012
2,13,119,47,39.5,43,36.13,29,24.37,02013
2,14,203,59,29.06,73,35.96,71,34.98,02014
2,15,54,14,25.93,13,24.07,27,50.0,02015
2,16,123,66,53.66,45,36.59,12,9.76,02016
2,17,75,20,26.67,29,38.67,26,34.67,02017
2,18,141,70,49.65,50,35.46,21,14.89,02018
2,19,155,60,38.71,56,36.13,39,25.16,02019
2,20,205,61,29.76,70,34.15,74,36.1,02020
2,21,145,51,35.17,46,31.72,48,33.1,02021
2,22,224,96,42.86,99,44.2,29,12.95,02022
2,23,86,21,24.42,38,44.19,27,31.4,02023
2,24,59,27,45.76,11,18.64,21,35.59,02024
2,25,147,51,34.69,53,36.05,43,29.25,02025
2,26,100,29,29.0,44,44.0,27,27.0,02026
2,27,99,34,34.34,26,26.26,39,39.39,02027
2,28,81,37,45.68,29,35.8,15,18.52,02028
2,29,64,17,26.56,27,42.19,20,31.25,02029
2,30,117,49,41.88,46,39.32,22,18.8,02030
2,31,136,50,36.76,34,25.0,52,38.24,02031
2,32,49,17,34.69,16,32.65,16,32.65,02032
2,33,61,16,26.23,12,19.67,33,54.1,02033
2,34,102,38,37.25,39,38.24,25,24.51,02034
2,35,25,15,60.0,7,28.0,3,12.0,02035
2,36,198,94,47.47,65,32.83,39,19.7,02036
2,37,112,55,49.11,48,42.86,9,8.04,02037
2,38,168,76,45.24,60,35.71,32,19.05,02038
2,39,89,31,34.83,34,38.2,24,26.97,02039
2,40,190,70,36.84,78,41.05,42,22.11,02040
2,41,61,11,18.03,20,32.79,30,49.18,02041
2,42,74,28,37.84,24,32.43,22,29.73,02042
2,43,209,75,35.89,97,46.41,37,17.7,02043
2,44,103,35,33.98,21,20.39,47,45.63,02044
2,45,99,29,29.29,36,36.36,34,34.34,02045
2,46,212,66,31.13,59,27.83,87,41.04,02046
2,47,80,29,36.25,23,28.75,28,35.0,02047
2,48,69,17,24.64,24,34.78,28,40.58,02048
2,49,92,46,50.0,30,32.61,16,17.39,02049
2,50,87,37,42.53,33,37.93,17,19.54,02050
2,51,81,30,37.04,26,32.1,25,30.86,02051
2,52,143,44,30.77,53,37.06,46,32.17,02052
2,53,100,36,36.0,42,42.0,22,22.0,02053
2,54,163,70,42.94,81,49.69,12,7.36,02054
2,55,53,15,28.3,28,52.83,10,18.87,02055
2,56,112,37,33.04,30,26.79,45,40.18,02056
3,1,99,25,25.25,16,16.16,58,58.59,03001
3,2,182,55,30.22,42,23.08,85,46.7,03002
3,3,129,51,39.53,42,32.56,36,27.91,03003
3,4,89,35,39.33,15,16.85,39,43.82,03004
3,5,117,32,27.35,27,23.08,58,49.57,03005
3,6,33,8,24.24,9,27.27,16,48.48,03006
3,7,120,38,31.67,25,20.83,57,47.5,03007
3,8,98,30,30.61,23,23.47,45,45.92,03008
3,9,114,29,25.44,28,24.56,57,50.0,03009
3,10,41,12,29.27,10,24.39,19,46.34,03010
3,11,120,33,27.5,20,16.67,67,55.83,03011
3,12,86,26,30.23,28,32.56,32,37.21,03012
3,13,72,23,31.94,31,43.06,18,25.0,03013
3,14,103,33,32.04,31,30.1,39,37.86,03014
3,15,131,35,26.72,41,31.3,55,41.98,03015
3,16,107,30,28.04,24,22.43,53,49.53,03016
3,17,60,25,41.67,14,23.33,21,35.0,03017
3,18,54,19,35.19,19,35.19,16,29.63,03018
3,19,33,12,36.36,12,36.36,9,27.27,03019
3,20,92,26,28.26,24,26.09,42,45.65,03020
3,21,45,15,33.33,17,37.78,13,28.89,03021
3,22,69,18,26.09,23,33.33,28,40.58,03022
3,23,88,17,19.32,28,31.82,43,48.86,03023
3,24,139,36,25.9,40,28.78,63,45.32,03024
3,25,70,22,31.43,18,25.71,30,42.86,03025
3,26,34,10,29.41,8,23.53,16,47.06,03026
3,27,111,32,28.83,31,27.93,48,43.24,03027
3,28,191,102,53.4,64,33.51,25,13.09,03028
3,29,115,38,33.04,25,21.74,52,45.22,03029
3,30,92,20,21.74,26,28.26,46,50.0,03030
3,31,184,44,23.91,41,22.28,99,53.8,03031
3,32,84,21,25.0,21,25.0,42,50.0,03032
3,33,140,42,30.0,27,19.29,71,50.71,03033
3,34,116,35,30.17,31,26.72,50,43.1,03034
3,35,129,32,24.81,34,26.36,63,48.84,03035
3,36,36,11,30.56,12,33.33,13,36.11,03036
3,37,53,21,39.62,10,18.87,22,41.51,03037
3,38,183,50,27.32,43,23.5,90,49.18,03038
3,39,195,79,40.51,51,26.15,65,33.33,03039
3,40,120,33,27.5,26,21.67,61,50.83,03040
3,41,117,47,40.17,28,23.93,42,35.9,03041
3,42,69,19,27.54,22,31.88,28,40.58,03042
3,43,14,4,28.57,6,42.86,4,28.57,03043
3,44,24,6,25.0,4,16.67,14,58.33,03044
3,45,148,43,29.05,46,31.08,59,39.86,03045
3,46,11,4,36.36,3,27.27,4,36.36,03046
3,47,75,21,28.0,23,30.67,31,41.33,03047
3,48,73,18,24.66,17,23.29,38,52.05,03048
3,49,29,11,37.93,7,24.14,11,37.93,03049
3,50,62,19,30.65,18,29.03,25,40.32,03050
4,1,184,79,42.93,51,27.72,54,29.35,04001
4,2,214,78,36.45,61,28.5,75,35.05,04002
4,3,183,72,39.34,49,26.78,62,33.88,04003
4,4,131,55,41.98,30,22.9,46,35.11,04004
4,5,214,76,35.51,60,28.04,78,36.45,04005
4,6,69,14,20.29,20,28.99,35,50.72,04006
4,7,178,63,35.39,40,22.47,75,42.13,04007
4,8,178,67,37.64,43,24.16,68,38.2,04008
4,9,347,126,36.31,86,24.78,135,38.9,04009
4,10,162,59,36.42,36,22.22,67,41.36,04010
4,11,107,38,35.51,20,18.69,49,45.79,04011
4,12,92,35,38.04,23,25.0,34,36.96,04012
4,13,119,53,44.54,33,27.73,33,27.73,04013
4,14,91,31,34.07,29,31.87,31,34.07,04014
4,15,119,41,34.45,30,25.21,48,40.34,04015
4,16,171,71,41.52,39,22.81,61,35.67,04016
4,17,167,62,37.13,59,35.33,46,27.54,04017
4,18,144,46,31.94,37,25.69,61,42.36,04018
4,19,142,51,35.92,39,27.46,52,36.62,04019
4,20,81,24,29.63,27,33.33,30,37.04,04020
4,21,207,95,45.89,53,25.6,59,28.5,04021
4,22,205,89,43.41,66,32.2,50,24.39,04022
4,23,123,62,50.41,29,23.58,32,26.02,04023
4,24,143,74,51.75,25,17.48,44,30.77,04024
4,25,179,74,41.34,41,22.91,64,35.75,04025
4,26,157,54,34.39,39,24.84,64,40.76,04026
4,27,133,49,36.84,37,27.82,47,35.34,04027
4,28,104,59,56.73,20,19.23,25,24.04,04028
4,29,135,66,48.89,43,31.85,26,19.26,04029
4,30,132,47,35.61,32,24.24,53,40.15,04030
4,31,88,43,48.86,38,43.18,7,7.95,04031
4,32,158,85,53.8,49,31.01,24,15.19,04032
4,33,114,39,34.21,32,28.07,43,37.72,04033
4,34,123,59,47.97,36,29.27,28,22.76,04034
4,35,79,26,32.91,20,25.32,33,41.77,04035
4,36,111,55,49.55,23,20.72,33,29.73,04036
4,37,0,0,0.0,0,0.0,0,0.0,04037
4,38,257,111,43.19,68,26.46,78,30.35,04038
