ward,precinct,total,Steven James ''Steve'' Bernstein,Steven James ''Steve'' Bernstein Percent,Michael Ian Bender,Michael Ian Bender Percent,Jeffrey Dov Greenspan,Jeffrey Dov Greenspan Percent,William Joseph Luby,William Joseph Luby Percent,Scott Bagnall,Scott Bagnall Percent,Mary S. Trew,Mary S. Trew Percent,precinct_id
39,32,65,18,27.69,18,27.69,9,13.85,6,9.23,2,3.08,12,18.46,39032
39,41,18,3,16.67,6,33.33,2,11.11,0,0.0,2,11.11,5,27.78,39041
40,9,99,22,22.22,16,16.16,14,14.14,11,11.11,7,7.07,29,29.29,40009
40,12,76,20,26.32,13,17.11,2,2.63,4,5.26,2,2.63,35,46.05,40012
40,13,135,30,22.22,19,14.07,9,6.67,10,7.41,1,0.74,66,48.89,40013
40,18,88,22,25.0,20,22.73,11,12.5,10,11.36,7,7.95,18,20.45,40018
40,26,125,38,30.4,25,20.0,5,4.0,5,4.0,1,0.8,51,40.8,40026
40,27,85,26,30.59,9,10.59,5,5.88,11,12.94,5,5.88,29,34.12,40027
40,28,112,35,31.25,18,16.07,7,6.25,11,9.82,5,4.46,36,32.14,40028
40,35,88,29,32.95,21,23.86,7,7.95,7,7.95,4,4.55,20,22.73,40035
40,37,76,16,21.05,18,23.68,6,7.89,3,3.95,2,2.63,31,40.79,40037
40,39,77,21,27.27,10,12.99,11,14.29,5,6.49,1,1.3,29,37.66,40039
40,47,116,28,24.14,14,12.07,4,3.45,12,10.34,4,3.45,54,46.55,40047
41,19,104,12,11.54,29,27.88,6,5.77,28,26.92,5,4.81,24,23.08,41019
41,44,163,22,13.5,47,28.83,11,6.75,42,25.77,3,1.84,38,23.31,41044
41,47,126,13,10.32,38,30.16,5,3.97,26,20.63,9,7.14,35,27.78,41047
41,54,130,13,10.0,38,29.23,8,6.15,15,11.54,10,7.69,46,35.38,41054
41,57,101,21,20.79,21,20.79,7,6.93,24,23.76,4,3.96,24,23.76,41057
45,5,7,1,14.29,2,28.57,0,0.0,0,0.0,0,0.0,4,57.14,45005
48,2,106,18,16.98,26,24.53,8,7.55,8,7.55,3,2.83,43,40.57,48002
48,13,121,25,20.66,31,25.62,12,9.92,5,4.13,3,2.48,45,37.19,48013
48,15,70,16,22.86,6,8.57,9,12.86,6,8.57,3,4.29,30,42.86,48015
48,22,177,52,29.38,46,25.99,13,7.34,4,2.26,8,4.52,54,30.51,48022
48,32,27,9,33.33,3,11.11,2,7.41,0,0.0,0,0.0,13,48.15,48032
48,33,148,41,27.7,31,20.95,18,12.16,7,4.73,5,3.38,46,31.08,48033
48,41,40,8,20.0,9,22.5,3,7.5,1,2.5,0,0.0,19,47.5,48041
48,54,87,25,28.74,13,14.94,11,12.64,3,3.45,1,1.15,34,39.08,48054
49,1,106,31,29.25,21,19.81,9,8.49,7,6.6,3,2.83,35,33.02,49001
49,2,212,57,26.89,28,13.21,16,7.55,18,8.49,5,2.36,88,41.51,49002
49,3,90,34,37.78,12,13.33,4,4.44,2,2.22,1,1.11,37,41.11,49003
49,4,46,12,26.09,11,23.91,2,4.35,2,4.35,0,0.0,19,41.3,49004
49,5,141,46,32.62,23,16.31,15,10.64,6,4.26,12,8.51,39,27.66,49005
49,6,111,35,31.53,15,13.51,4,3.6,9,8.11,2,1.8,46,41.44,49006
