ward,precinct,total,Robert Marshall,Robert Marshall Percent,Jacob J. Meister,Jacob J. Meister Percent,Alexander ''Alexi'' Giannoulias,Alexander ''Alexi'' Giannoulias Percent,Cheryle Jackson,Cheryle Jackson Percent,precinct_id
1,1,114,7,6.14,4,3.51,40,35.09,9,7.89,01001
1,2,95,9,9.47,3,3.16,23,24.21,6,6.32,01002
1,3,70,0,0.0,1,1.43,23,32.86,3,4.29,01003
1,4,114,4,3.51,2,1.75,32,28.07,11,9.65,01004
1,5,88,2,2.27,2,2.27,21,23.86,15,17.05,01005
1,6,100,6,6.0,2,2.0,38,38.0,10,10.0,01006
1,7,90,2,2.22,1,1.11,38,42.22,8,8.89,01007
1,8,105,2,1.9,2,1.9,29,27.62,15,14.29,01008
1,9,116,5,4.31,3,2.59,36,31.03,18,15.52,01009
1,10,117,4,3.42,0,0.0,37,31.62,10,8.55,01010
1,11,76,4,5.26,1,1.32,28,36.84,4,5.26,01011
1,12,129,5,3.88,3,2.33,50,38.76,4,3.1,01012
1,13,145,6,4.14,0,0.0,55,37.93,15,10.34,01013
1,14,93,3,3.23,0,0.0,23,24.73,17,18.28,01014
1,15,84,4,4.76,1,1.19,47,55.95,7,8.33,01015
1,16,54,9,16.67,2,3.7,21,38.89,8,14.81,01016
1,17,80,3,3.75,0,0.0,28,35.0,5,6.25,01017
1,18,98,6,6.12,0,0.0,42,42.86,14,14.29,01018
1,19,77,2,2.6,1,1.3,39,50.65,6,7.79,01019
1,20,146,14,9.59,13,8.9,39,26.71,15,10.27,01020
1,21,80,2,2.5,2,2.5,32,40.0,9,11.25,01021
1,22,84,5,5.95,3,3.57,43,51.19,14,16.67,01022
1,23,84,7,8.33,2,2.38,40,47.62,6,7.14,01023
1,24,182,5,2.75,2,1.1,76,41.76,20,10.99,01024
1,25,69,3,4.35,4,5.8,18,26.09,11,15.94,01025
1,26,65,0,0.0,1,1.54,31,47.69,3,4.62,01026
1,27,76,7,9.21,2,2.63,27,35.53,4,5.26,01027
1,28,75,4,5.33,0,0.0,16,21.33,14,18.67,01028
1,29,106,3,2.83,5,4.72,46,43.4,9,8.49,01029
1,30,164,9,5.49,2,1.22,64,39.02,17,10.37,01030
1,31,83,2,2.41,3,3.61,27,32.53,5,6.02,01031
1,32,120,7,5.83,5,4.17,46,38.33,19,15.83,01032
1,33,120,6,5.0,3,2.5,50,41.67,12,10.0,01033
1,34,62,5,8.06,1,1.61,18,29.03,7,11.29,01034
1,35,75,0,0.0,1,1.33,26,34.67,6,8.0,01035
1,36,98,5,5.1,0,0.0,42,42.86,6,6.12,01036
1,37,84,5,5.95,1,1.19,37,44.05,8,9.52,01037
1,38,51,5,9.8,1,1.96,20,39.22,5,9.8,01038
1,39,89,7,7.87,4,4.49,41,46.07,5,5.62,01039
1,40,34,2,5.88,1,2.94,14,41.18,1,2.94,01040
1,41,77,3,3.9,2,2.6,29,37.66,11,14.29,01041
1,42,70,1,1.43,3,4.29,25,35.71,5,7.14,01042
1,43,101,11,10.89,4,3.96,42,41.58,12,11.88,01043
1,44,67,4,5.97,3,4.48,25,37.31,4,5.97,01044
1,45,100,3,3.0,2,2.0,42,42.0,7,7.0,01045
1,46,110,8,7.27,5,4.55,40,36.36,6,5.45,01046
1,47,89,2,2.25,1,1.12,29,32.58,5,5.62,01047
1,48,77,6,7.79,1,1.3,11,14.29,17,22.08,01048
1,49,51,1,1.96,1,1.96,16,31.37,5,9.8,01049
1,50,68,3,4.41,1,1.47,21,30.88,6,8.82,01050
2,1,226,6,2.65,3,1.33,78,34.51,36,15.93,02001
2,2,30,4,13.33,2,6.67,8,26.67,6,20.0,02002
2,3,174,9,5.17,4,2.3,53,30.46,52,29.89,02003
2,4,100,8,8.0,1,1.0,26,26.0,50,50.0,02004
2,5,150,6,4.0,0,0.0,51,34.0,80,53.33,02005
2,6,151,0,0.0,2,1.32,49,32.45,16,10.6,02006
2,7,207,9,4.35,2,0.97,83,40.1,95,45.89,02007
2,8,226,2,0.88,3,1.33,69,30.53,53,23.45,02008
2,9,119,5,4.2,1,0.84,47,39.5,48,40.34,02009
2,10,112,8,7.14,1,0.89,36,32.14,47,41.96,02010
2,11,298,7,2.35,0,0.0,73,24.5,36,12.08,02011
2,12,171,0,0.0,0,0.0,56,32.75,13,7.6,02012
2,13,153,6,3.92,1,0.65,50,32.68,63,41.18,02013
2,14,251,2,0.8,1,0.4,79,31.47,134,53.39,02014
2,15,62,4,6.45,0,0.0,13,20.97,34,54.84,02015
2,16,168,0,0.0,1,0.6,54,32.14,12,7.14,02016
2,17,89,2,2.25,0,0.0,27,30.34,49,55.06,02017
2,18,186,2,1.08,0,0.0,66,35.48,37,19.89,02018
2,19,218,4,1.83,0,0.0,72,33.03,46,21.1,02019
2,20,275,9,3.27,1,0.36,96,34.91,132,48.0,02020
2,21,214,4,1.87,0,0.0,54,25.23,127,59.35,02021
2,22,289,2,0.69,1,0.35,77,26.64,60,20.76,02022
2,23,110,2,1.82,0,0.0,30,27.27,52,47.27,02023
2,24,80,2,2.5,4,5.0,16,20.0,30,37.5,02024
2,25,187,3,1.6,3,1.6,74,39.57,68,36.36,02025
2,26,157,1,0.64,1,0.64,43,27.39,73,46.5,02026
2,27,126,6,4.76,0,0.0,36,28.57,74,58.73,02027
2,28,104,5,4.81,2,1.92,35,33.65,10,9.62,02028
2,29,98,6,6.12,0,0.0,32,32.65,45,45.92,02029
2,30,177,5,2.82,0,0.0,68,38.42,27,15.25,02030
2,31,163,3,1.84,0,0.0,63,38.65,80,49.08,02031
2,32,65,5,7.69,2,3.08,23,35.38,22,33.85,02032
2,33,71,4,5.63,0,0.0,16,22.54,50,70.42,02033
2,34,146,8,5.48,1,0.68,34,23.29,87,59.59,02034
2,35,35,1,2.86,2,5.71,14,40.0,5,14.29,02035
2,36,245,1,0.41,1,0.41,86,35.1,69,28.16,02036
2,37,146,5,3.42,2,1.37,48,32.88,20,13.7,02037
2,38,214,3,1.4,2,0.93,70,32.71,29,13.55,02038
2,39,121,5,4.13,1,0.83,59,48.76,30,24.79,02039
2,40,272,7,2.57,5,1.84,93,34.19,82,30.15,02040
2,41,66,5,7.58,2,3.03,7,10.61,47,71.21,02041
2,42,112,3,2.68,1,0.89,43,38.39,50,44.64,02042
2,43,276,9,3.26,9,3.26,79,28.62,66,23.91,02043
2,44,139,8,5.76,6,4.32,36,25.9,70,50.36,02044
2,45,131,9,6.87,0,0.0,35,26.72,75,57.25,02045
2,46,262,3,1.15,0,0.0,85,32.44,133,50.76,02046
2,47,103,7,6.8,0,0.0,31,30.1,57,55.34,02047
2,48,84,4,4.76,2,2.38,20,23.81,50,59.52,02048
2,49,124,1,0.81,2,1.61,46,37.1,19,15.32,02049
2,50,109,5,4.59,1,0.92,32,29.36,36,33.03,02050
2,51,105,5,4.76,2,1.9,32,30.48,53,50.48,02051
2,52,183,9,4.92,2,1.09,49,26.78,93,50.82,02052
2,53,119,2,1.68,0,0.0,47,39.5,23,19.33,02053
2,54,208,4,1.92,1,0.48,64,30.77,23,11.06,02054
2,55,69,1,1.45,0,0.0,28,40.58,12,17.39,02055
2,56,134,6,4.48,0,0.0,37,27.61,73,54.48,02056
3,1,147,4,2.72,0,0.0,29,19.73,109,74.15,03001
3,2,225,4,1.78,3,1.33,64,28.44,143,63.56,03002
3,3,164,3,1.83,1,0.61,54,32.93,51,31.1,03003
3,4,106,2,1.89,0,0.0,42,39.62,56,52.83,03004
3,5,158,12,7.59,2,1.27,43,27.22,79,50.0,03005
3,6,38,3,7.89,2,5.26,13,34.21,16,42.11,03006
3,7,203,5,2.46,0,0.0,38,18.72,149,73.4,03007
3,8,122,5,4.1,0,0.0,38,31.15,70,57.38,03008
3,9,142,7,4.93,4,2.82,44,30.99,75,52.82,03009
3,10,51,0,0.0,1,1.96,15,29.41,27,52.94,03010
3,11,143,3,2.1,0,0.0,35,24.48,98,68.53,03011
3,12,122,9,7.38,3,2.46,25,20.49,79,64.75,03012
3,13,83,10,12.05,1,1.2,38,45.78,2,2.41,03013
3,14,108,13,12.04,2,1.85,17,15.74,67,62.04,03014
3,15,158,13,8.23,4,2.53,38,24.05,77,48.73,03015
3,16,116,2,1.72,1,0.86,22,18.97,78,67.24,03016
3,17,76,10,13.16,2,2.63,21,27.63,36,47.37,03017
3,18,73,5,6.85,2,2.74,22,30.14,35,47.95,03018
3,19,39,5,12.82,0,0.0,18,46.15,6,15.38,03019
3,20,123,4,3.25,1,0.81,33,26.83,70,56.91,03020
3,21,59,4,6.78,3,5.08,13,22.03,34,57.63,03021
3,22,76,4,5.26,0,0.0,17,22.37,51,67.11,03022
3,23,121,7,5.79,0,0.0,35,28.93,66,54.55,03023
3,24,176,2,1.14,0,0.0,47,26.7,117,66.48,03024
3,25,85,3,3.53,0,0.0,18,21.18,53,62.35,03025
3,26,46,1,2.17,0,0.0,15,32.61,25,54.35,03026
3,27,148,5,3.38,1,0.68,41,27.7,95,64.19,03027
3,28,252,2,0.79,4,1.59,88,34.92,42,16.67,03028
3,29,146,17,11.64,3,2.05,21,14.38,91,62.33,03029
3,30,114,1,0.88,1,0.88,38,33.33,68,59.65,03030
3,31,226,7,3.1,0,0.0,56,24.78,151,66.81,03031
3,32,102,2,1.96,1,0.98,35,34.31,53,51.96,03032
3,33,186,8,4.3,1,0.54,53,28.49,112,60.22,03033
3,34,143,1,0.7,1,0.7,48,33.57,79,55.24,03034
3,35,146,4,2.74,0,0.0,44,30.14,86,58.9,03035
3,36,46,1,2.17,0,0.0,9,19.57,35,76.09,03036
3,37,61,3,4.92,0,0.0,15,24.59,41,67.21,03037
3,38,243,8,3.29,3,1.23,45,18.52,164,67.49,03038
3,39,246,9,3.66,0,0.0,73,29.67,150,60.98,03039
3,40,148,3,2.03,0,0.0,43,29.05,89,60.14,03040
3,41,166,18,10.84,1,0.6,33,19.88,80,48.19,03041
3,42,86,2,2.33,1,1.16,21,24.42,58,67.44,03042
3,43,21,4,19.05,0,0.0,6,28.57,9,42.86,03043
3,44,29,4,13.79,0,0.0,5,17.24,15,51.72,03044
3,45,187,8,4.28,2,1.07,65,34.76,78,41.71,03045
3,46,15,0,0.0,0,0.0,2,13.33,12,80.0,03046
