ward,precinct,total,Esther Golar,Esther Golar Percent,precinct_id
3,10,37,37,100.0,03010
3,12,98,98,100.0,03012
3,13,67,67,100.0,03013
3,19,30,30,100.0,03019
3,21,37,37,100.0,03021
3,25,64,64,100.0,03025
3,26,30,30,100.0,03026
3,36,0,0,0.0,03036
3,44,19,19,100.0,03044
3,48,72,72,100.0,03048
3,50,68,68,100.0,03050
11,12,146,146,100.0,11012
11,13,110,110,100.0,11013
11,15,102,102,100.0,11015
11,23,90,90,100.0,11023
11,25,1,1,100.0,11025
11,27,83,83,100.0,11027
11,28,88,88,100.0,11028
11,30,8,8,100.0,11030
11,31,94,94,100.0,11031
11,32,120,120,100.0,11032
11,33,81,81,100.0,11033
11,34,64,64,100.0,11034
11,35,197,197,100.0,11035
11,36,9,9,100.0,11036
11,37,148,148,100.0,11037
11,39,184,184,100.0,11039
11,42,76,76,100.0,11042
11,43,104,104,100.0,11043
11,46,90,90,100.0,11046
11,48,53,53,100.0,11048
11,49,109,109,100.0,11049
12,9,2,2,100.0,12009
12,16,67,67,100.0,12016
15,2,61,61,100.0,15002
15,3,62,62,100.0,15003
15,4,61,61,100.0,15004
15,5,59,59,100.0,15005
15,17,66,66,100.0,15017
15,18,44,44,100.0,15018
15,19,70,70,100.0,15019
15,20,49,49,100.0,15020
15,22,87,87,100.0,15022
15,23,52,52,100.0,15023
15,24,63,63,100.0,15024
15,26,71,71,100.0,15026
15,29,26,26,100.0,15029
15,30,9,9,100.0,15030
15,31,42,42,100.0,15031
15,33,41,41,100.0,15033
15,35,81,81,100.0,15035
15,36,52,52,100.0,15036
15,37,56,56,100.0,15037
15,38,62,62,100.0,15038
15,39,61,61,100.0,15039
15,40,56,56,100.0,15040
15,43,73,73,100.0,15043
15,48,50,50,100.0,15048
15,49,2,2,100.0,15049
15,50,62,62,100.0,15050
15,52,52,52,100.0,15052
16,1,41,41,100.0,16001
16,2,59,59,100.0,16002
16,3,66,66,100.0,16003
16,4,50,50,100.0,16004
16,5,65,65,100.0,16005
16,6,41,41,100.0,16006
16,7,75,75,100.0,16007
16,8,67,67,100.0,16008
16,9,109,109,100.0,16009
16,10,108,108,100.0,16010
16,12,42,42,100.0,16012
16,14,62,62,100.0,16014
16,15,91,91,100.0,16015
16,16,80,80,100.0,16016
16,18,80,80,100.0,16018
16,19,92,92,100.0,16019
16,20,55,55,100.0,16020
16,22,79,79,100.0,16022
16,24,37,37,100.0,16024
16,25,51,51,100.0,16025
16,26,70,70,100.0,16026
16,27,96,96,100.0,16027
16,28,75,75,100.0,16028
16,29,46,46,100.0,16029
16,30,56,56,100.0,16030
16,31,87,87,100.0,16031
16,33,67,67,100.0,16033
16,34,53,53,100.0,16034
16,36,54,54,100.0,16036
16,37,40,40,100.0,16037
16,38,51,51,100.0,16038
16,40,82,82,100.0,16040
16,42,0,0,0.0,16042
16,43,70,70,100.0,16043
16,44,61,61,100.0,16044
17,13,1,1,100.0,17013
17,14,11,11,100.0,17014
20,8,37,37,100.0,20008
20,12,7,7,100.0,20012
20,13,81,81,100.0,20013
20,15,71,71,100.0,20015
20,19,68,68,100.0,20019
20,20,41,41,100.0,20020
20,25,54,54,100.0,20025
20,39,82,82,100.0,20039
20,40,83,83,100.0,20040
20,41,31,31,100.0,20041
20,43,16,16,100.0,20043
20,44,129,129,100.0,20044
20,45,44,44,100.0,20045
20,48,38,38,100.0,20048
20,50,30,30,100.0,20050
