ward,precinct,total,Ed Mullen,Ed Mullen Percent,Dan Farley,Dan Farley Percent,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,22,2,9.09,7,31.82,13,59.09,01028
1,42,2,0,0.0,0,0.0,2,100.0,01042
32,7,68,20,29.41,6,8.82,42,61.76,32007
32,8,153,37,24.18,36,23.53,80,52.29,32008
32,9,190,63,33.16,36,18.95,91,47.89,32009
32,10,110,29,26.36,26,23.64,55,50.0,32010
32,13,50,8,16.0,16,32.0,26,52.0,32013
32,15,79,22,27.85,26,32.91,31,39.24,32015
32,16,49,3,6.12,21,42.86,25,51.02,32016
32,18,90,26,28.89,19,21.11,45,50.0,32018
32,19,124,32,25.81,38,30.65,54,43.55,32019
32,20,111,27,24.32,24,21.62,60,54.05,32020
32,21,98,22,22.45,27,27.55,49,50.0,32021
32,22,147,25,17.01,31,21.09,91,61.9,32022
32,23,133,33,24.81,24,18.05,76,57.14,32023
32,24,116,19,16.38,32,27.59,65,56.03,32024
32,25,100,17,17.0,42,42.0,41,41.0,32025
32,27,107,20,18.69,28,26.17,59,55.14,32027
32,28,85,26,30.59,17,20.0,42,49.41,32028
32,29,7,2,28.57,3,42.86,2,28.57,32029
32,30,103,16,15.53,25,24.27,62,60.19,32030
32,32,113,21,18.58,24,21.24,68,60.18,32032
32,34,1,1,100.0,0,0.0,0,0.0,32034
32,37,99,31,31.31,13,13.13,55,55.56,32037
32,38,124,29,23.39,24,19.35,71,57.26,32038
32,39,106,28,26.42,25,23.58,53,50.0,32039
32,40,129,26,20.16,33,25.58,70,54.26,32040
32,41,136,30,22.06,38,27.94,68,50.0,32041
32,42,148,32,21.62,29,19.59,87,58.78,32042
32,43,111,29,26.13,28,25.23,54,48.65,32043
32,44,117,32,27.35,27,23.08,58,49.57,32044
32,45,109,22,20.18,42,38.53,45,41.28,32045
32,47,128,22,17.19,33,25.78,73,57.03,32047
32,48,193,40,20.73,38,19.69,115,59.59,32048
32,49,64,17,26.56,15,23.44,32,50.0,32049
32,50,159,50,31.45,28,17.61,81,50.94,32050
33,7,251,54,21.51,72,28.69,125,49.8,33007
33,8,136,46,33.82,30,22.06,60,44.12,33008
33,10,185,35,18.92,86,46.49,64,34.59,33010
33,24,239,71,29.71,52,21.76,116,48.54,33024
40,5,119,24,20.17,43,36.13,52,43.7,40005
40,6,117,40,34.19,28,23.93,49,41.88,40006
40,20,108,24,22.22,46,42.59,38,35.19,40020
43,2,121,19,15.7,23,19.01,79,65.29,43002
43,6,64,10,15.63,14,21.88,40,62.5,43006
43,7,137,28,20.44,24,17.52,85,62.04,43007
43,20,130,28,21.54,31,23.85,71,54.62,43020
43,21,153,29,18.95,20,13.07,104,67.97,43021
43,22,77,14,18.18,16,20.78,47,61.04,43022
43,29,89,12,13.48,22,24.72,55,61.8,43029
43,31,139,25,17.99,26,18.71,88,63.31,43031
43,41,71,13,18.31,16,22.54,42,59.15,43041
43,50,86,12,13.95,19,22.09,55,63.95,43050
43,56,70,14,20.0,18,25.71,38,54.29,43056
43,57,86,13,15.12,20,23.26,53,61.63,43057
44,9,79,20,25.32,18,22.78,41,51.9,44009
44,11,127,43,33.86,32,25.2,52,40.94,44011
44,13,90,23,25.56,27,30.0,40,44.44,44013
44,16,117,39,33.33,27,23.08,51,43.59,44016
44,25,124,42,33.87,25,20.16,57,45.97,44025
44,27,136,43,31.62,26,19.12,67,49.26,44027
44,40,122,26,21.31,34,27.87,62,50.82,44040
44,43,151,39,25.83,25,16.56,87,57.62,44043
44,47,140,32,22.86,21,15.0,87,62.14,44047
44,51,76,23,30.26,17,22.37,36,47.37,44051
47,1,141,23,16.31,60,42.55,58,41.13,47001
47,2,173,41,23.7,90,52.02,42,24.28,47002
47,3,135,30,22.22,67,49.63,38,28.15,47003
47,4,241,40,16.6,118,48.96,83,34.44,47004
47,6,213,51,23.94,83,38.97,79,37.09,47006
47,7,171,22,12.87,79,46.2,70,40.94,47007
47,8,206,25,12.14,90,43.69,91,44.17,47008
47,9,163,22,13.5,88,53.99,53,32.52,47009
47,12,159,32,20.13,63,39.62,64,40.25,47012
47,13,251,49,19.52,102,40.64,100,39.84,47013
47,14,129,15,11.63,62,48.06,52,40.31,47014
47,15,142,42,29.58,52,36.62,48,33.8,47015
47,16,168,23,13.69,61,36.31,84,50.0,47016
47,17,160,23,14.38,61,38.13,76,47.5,47017
47,18,160,37,23.13,60,37.5,63,39.38,47018
47,21,208,38,18.27,73,35.1,97,46.63,47021
47,24,135,48,35.56,34,25.19,53,39.26,47024
47,25,170,38,22.35,86,50.59,46,27.06,47025
47,27,154,31,20.13,69,44.81,54,35.06,47027
47,29,151,30,19.87,69,45.7,52,34.44,47029
47,35,248,32,12.9,115,46.37,101,40.73,47035
47,40,142,41,28.87,44,30.99,57,40.14,47040
47,42,131,21,16.03,48,36.64,62,47.33,47042
47,43,105,18,17.14,48,45.71,39,37.14,47043
47,44,164,48,29.27,71,43.29,45,27.44,47044
47,46,112,22,19.64,44,39.29,46,41.07,47046
47,47,157,30,19.11,63,40.13,64,40.76,47047
47,48,48,11,22.92,31,64.58,6,12.5,47048
47,49,102,20,19.61,39,38.24,43,42.16,47049
47,50,143,23,16.08,69,48.25,51,35.66,47050
47,51,98,15,15.31,56,57.14,27,27.55,47051
47,52,147,18,12.24,93,63.27,36,24.49,47052
