ward,precinct,total,Susan Kennedy Sullivan,Susan Kennedy Sullivan Percent,Linda J. Pauel,Linda J. Pauel Percent,Kevin J. Murphy,Kevin J. Murphy Percent,Ubi O'Neal,Ubi O'Neal Percent,precinct_id
1,1,77,22,28.57,28,36.36,16,20.78,11,14.29,01001
1,2,67,16,23.88,30,44.78,10,14.93,11,16.42,01002
1,3,45,15,33.33,22,48.89,4,8.89,4,8.89,01003
1,4,83,33,39.76,37,44.58,10,12.05,3,3.61,01004
1,5,64,25,39.06,25,39.06,10,15.63,4,6.25,01005
1,6,82,29,35.37,31,37.8,12,14.63,10,12.2,01006
1,7,74,26,35.14,26,35.14,14,18.92,8,10.81,01007
1,8,72,24,33.33,31,43.06,11,15.28,6,8.33,01008
1,9,90,30,33.33,38,42.22,16,17.78,6,6.67,01009
1,10,79,26,32.91,36,45.57,11,13.92,6,7.59,01010
1,11,51,23,45.1,18,35.29,6,11.76,4,7.84,01011
1,12,90,24,26.67,46,51.11,14,15.56,6,6.67,01012
1,13,110,43,39.09,41,37.27,18,16.36,8,7.27,01013
1,14,73,21,28.77,39,53.42,8,10.96,5,6.85,01014
1,15,66,21,31.82,30,45.45,11,16.67,4,6.06,01015
1,16,45,9,20.0,11,24.44,14,31.11,11,24.44,01016
1,17,44,5,11.36,35,79.55,3,6.82,1,2.27,01017
1,18,70,23,32.86,26,37.14,12,17.14,9,12.86,01018
1,19,57,22,38.6,19,33.33,14,24.56,2,3.51,01019
1,20,94,36,38.3,35,37.23,13,13.83,10,10.64,01020
1,21,57,18,31.58,28,49.12,8,14.04,3,5.26,01021
1,22,61,22,36.07,22,36.07,10,16.39,7,11.48,01022
1,23,59,16,27.12,21,35.59,10,16.95,12,20.34,01023
1,24,142,48,33.8,62,43.66,23,16.2,9,6.34,01024
1,25,54,21,38.89,22,40.74,7,12.96,4,7.41,01025
1,26,47,20,42.55,20,42.55,3,6.38,4,8.51,01026
1,27,55,18,32.73,20,36.36,14,25.45,3,5.45,01027
1,28,51,14,27.45,24,47.06,11,21.57,2,3.92,01028
1,29,82,22,26.83,40,48.78,12,14.63,8,9.76,01029
1,30,127,33,25.98,59,46.46,27,21.26,8,6.3,01030
1,31,56,15,26.79,27,48.21,7,12.5,7,12.5,01031
1,32,74,29,39.19,21,28.38,15,20.27,9,12.16,01032
1,33,87,38,43.68,29,33.33,15,17.24,5,5.75,01033
1,34,53,14,26.42,23,43.4,5,9.43,11,20.75,01034
1,35,42,13,30.95,19,45.24,8,19.05,2,4.76,01035
1,36,73,17,23.29,37,50.68,14,19.18,5,6.85,01036
1,37,67,23,34.33,26,38.81,12,17.91,6,8.96,01037
1,38,36,7,19.44,20,55.56,7,19.44,2,5.56,01038
1,39,70,28,40.0,20,28.57,12,17.14,10,14.29,01039
