ward,precinct,total,Eamon Kelly,Eamon Kelly Percent,Patrick Keenan-Devlin,Patrick Keenan-Devlin Percent,"Edmund B. Moran, Jr.","Edmund B. Moran, Jr. Percent",Jeffrey Paul Smith,Jeffrey Paul Smith Percent,Robyn Gabel,Robyn Gabel Percent,precinct_id
49,1,118,26,22.03,16,13.56,6,5.08,19,16.1,51,43.22,49001
49,5,162,28,17.28,36,22.22,18,11.11,35,21.6,45,27.78,49005
49,6,133,28,21.05,23,17.29,8,6.02,27,20.3,47,35.34,49006
49,14,108,16,14.81,20,18.52,5,4.63,26,24.07,41,37.96,49014
49,16,108,26,24.07,25,23.15,8,7.41,12,11.11,37,34.26,49016
49,20,157,27,17.2,35,22.29,16,10.19,21,13.38,58,36.94,49020
49,30,138,32,23.19,27,19.57,6,4.35,20,14.49,53,38.41,49030
49,34,120,32,26.67,26,21.67,14,11.67,18,15.0,30,25.0,49034
49,35,166,34,20.48,21,12.65,13,7.83,38,22.89,60,36.14,49035
