ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,Monica Torres-Linares,Monica Torres-Linares Percent,Ronald Oliver,Ronald Oliver Percent,precinct_id
2,7,179,135,75.42,26,14.53,18,10.06,02007
2,14,232,194,83.62,30,12.93,8,3.45,02014
2,18,155,77,49.68,65,41.94,13,8.39,02018
2,19,172,76,44.19,79,45.93,17,9.88,02019
2,20,244,193,79.1,31,12.7,20,8.2,02020
2,21,172,146,84.88,14,8.14,12,6.98,02021
2,26,127,81,63.78,33,25.98,13,10.24,02026
2,30,143,56,39.16,71,49.65,16,11.19,02030
2,31,154,109,70.78,33,21.43,12,7.79,02031
2,36,218,104,47.71,100,45.87,14,6.42,02036
2,38,188,70,37.23,96,51.06,22,11.7,02038
2,44,114,95,83.33,13,11.4,6,5.26,02044
2,46,250,207,82.8,25,10.0,18,7.2,02046
3,1,130,109,83.85,14,10.77,7,5.38,03001
3,2,211,180,85.31,14,6.64,17,8.06,03002
3,4,100,79,79.0,13,13.0,8,8.0,03004
3,5,129,103,79.84,16,12.4,10,7.75,03005
3,6,35,24,68.57,8,22.86,3,8.57,03006
3,7,183,137,74.86,40,21.86,6,3.28,03007
3,8,1,1,100.0,0,0.0,0,0.0,03008
3,9,132,110,83.33,12,9.09,10,7.58,03009
3,11,129,110,85.27,15,11.63,4,3.1,03011
3,15,148,123,83.11,18,12.16,7,4.73,03015
3,16,111,98,88.29,6,5.41,7,6.31,03016
3,20,111,96,86.49,10,9.01,5,4.5,03020
3,23,108,91,84.26,12,11.11,5,4.63,03023
3,24,156,123,78.85,26,16.67,7,4.49,03024
3,30,106,88,83.02,13,12.26,5,4.72,03030
3,31,206,170,82.52,18,8.74,18,8.74,03031
3,32,100,81,81.0,17,17.0,2,2.0,03032
3,33,174,153,87.93,13,7.47,8,4.6,03033
3,34,137,102,74.45,27,19.71,8,5.84,03034
3,35,133,113,84.96,14,10.53,6,4.51,03035
3,37,58,42,72.41,11,18.97,5,8.62,03037
3,38,214,191,89.25,14,6.54,9,4.21,03038
3,39,238,217,91.18,13,5.46,8,3.36,03039
3,40,133,111,83.46,14,10.53,8,6.02,03040
3,41,137,94,68.61,29,21.17,14,10.22,03041
3,43,18,16,88.89,2,11.11,0,0.0,03043
