ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Edward D. James,Edward D. James Percent,Brian K. Henderson,Brian K. Henderson Percent,precinct_id
1,1,59,36,61.02,10,16.95,13,22.03,01001
1,6,90,59,65.56,12,13.33,19,21.11,01006
1,11,0,0,0.0,0,0.0,0,0.0,01011
1,44,56,35,62.5,9,16.07,12,21.43,01044
2,1,175,117,66.86,28,16.0,30,17.14,02001
2,2,31,16,51.61,8,25.81,7,22.58,02002
2,3,160,124,77.5,15,9.38,21,13.13,02003
2,4,103,93,90.29,9,8.74,1,0.97,02004
2,5,151,132,87.42,12,7.95,7,4.64,02005
2,6,122,75,61.48,24,19.67,23,18.85,02006
2,7,189,164,86.77,16,8.47,9,4.76,02007
2,8,194,142,73.2,16,8.25,36,18.56,02008
2,9,118,96,81.36,10,8.47,12,10.17,02009
2,10,104,96,92.31,4,3.85,4,3.85,02010
2,11,247,168,68.02,31,12.55,48,19.43,02011
2,12,130,91,70.0,12,9.23,27,20.77,02012
2,13,152,132,86.84,14,9.21,6,3.95,02013
2,14,7,7,100.0,0,0.0,0,0.0,02014
2,15,61,53,86.89,4,6.56,4,6.56,02015
2,16,133,89,66.92,15,11.28,29,21.8,02016
2,17,92,84,91.3,6,6.52,2,2.17,02017
2,18,148,106,71.62,15,10.14,27,18.24,02018
2,19,175,115,65.71,30,17.14,30,17.14,02019
2,20,73,60,82.19,7,9.59,6,8.22,02020
2,21,192,171,89.06,10,5.21,11,5.73,02021
2,22,238,178,74.79,29,12.18,31,13.03,02022
2,23,106,79,74.53,10,9.43,17,16.04,02023
2,24,70,50,71.43,10,14.29,10,14.29,02024
2,25,169,131,77.51,26,15.38,12,7.1,02025
2,26,138,100,72.46,19,13.77,19,13.77,02026
2,27,128,120,93.75,4,3.13,4,3.13,02027
2,28,87,56,64.37,11,12.64,20,22.99,02028
2,29,92,77,83.7,7,7.61,8,8.7,02029
2,30,138,86,62.32,21,15.22,31,22.46,02030
2,32,62,53,85.48,5,8.06,4,6.45,02032
2,33,70,55,78.57,5,7.14,10,14.29,02033
2,34,138,121,87.68,5,3.62,12,8.7,02034
2,35,27,16,59.26,4,14.81,7,25.93,02035
2,36,224,160,71.43,31,13.84,33,14.73,02036
2,37,124,89,71.77,15,12.1,20,16.13,02037
2,38,180,135,75.0,16,8.89,29,16.11,02038
