ward,precinct,total,Michael B. Macellaio,Michael B. Macellaio Percent,Kelly M. Burke,Kelly M. Burke Percent,Angela McMahon,Angela McMahon Percent,Karen Sullivan Casey,Karen Sullivan Casey Percent,precinct_id
18,19,212,89,41.98,93,43.87,13,6.13,17,8.02,18019
18,24,194,93,47.94,67,34.54,20,10.31,14,7.22,18024
18,25,176,54,30.68,94,53.41,17,9.66,11,6.25,18025
18,26,144,63,43.75,53,36.81,14,9.72,14,9.72,18026
18,30,124,36,29.03,57,45.97,13,10.48,18,14.52,18030
18,32,231,126,54.55,62,26.84,23,9.96,20,8.66,18032
18,34,263,117,44.49,109,41.44,21,7.98,16,6.08,18034
18,45,189,51,26.98,94,49.74,23,12.17,21,11.11,18045
18,46,153,33,21.57,76,49.67,23,15.03,21,13.73,18046
18,51,204,97,47.55,61,29.9,27,13.24,19,9.31,18051
18,52,192,85,44.27,73,38.02,14,7.29,20,10.42,18052
18,53,108,41,37.96,43,39.81,14,12.96,10,9.26,18053
19,9,178,71,39.89,98,55.06,2,1.12,7,3.93,19009
19,56,288,111,38.54,144,50.0,18,6.25,15,5.21,19056
21,15,111,29,26.13,48,43.24,23,20.72,11,9.91,21015
21,29,62,17,27.42,27,43.55,11,17.74,7,11.29,21029
21,35,78,36,46.15,23,29.49,13,16.67,6,7.69,21035
21,36,105,20,19.05,45,42.86,25,23.81,15,14.29,21036
21,57,112,42,37.5,45,40.18,16,14.29,9,8.04,21057
21,70,124,45,36.29,45,36.29,22,17.74,12,9.68,21070
21,71,123,38,30.89,44,35.77,17,13.82,24,19.51,21071
21,73,146,53,36.3,53,36.3,25,17.12,15,10.27,21073
