ward,precinct,total,Earlean Collins,Earlean Collins Percent,Adekunle ''Ade'' B. Onayemi,Adekunle ''Ade'' B. Onayemi Percent,Chris Harris,Chris Harris Percent,Derrick Smith,Derrick Smith Percent,precinct_id
1,2,60,14,23.33,23,38.33,12,20.0,11,18.33,01002
1,3,45,9,20.0,18,40.0,11,24.44,7,15.56,01003
1,4,78,22,28.21,37,47.44,12,15.38,7,8.97,01004
1,5,60,14,23.33,23,38.33,12,20.0,11,18.33,01005
1,6,68,20,29.41,24,35.29,11,16.18,13,19.12,01006
1,8,72,17,23.61,35,48.61,13,18.06,7,9.72,01008
1,10,72,15,20.83,38,52.78,14,19.44,5,6.94,01010
1,11,53,14,26.42,16,30.19,17,32.08,6,11.32,01011
1,17,35,7,20.0,20,57.14,5,14.29,3,8.57,01017
1,21,52,8,15.38,22,42.31,14,26.92,8,15.38,01021
1,23,7,0,0.0,1,14.29,4,57.14,2,28.57,01023
1,25,51,10,19.61,16,31.37,14,27.45,11,21.57,01025
1,26,43,7,16.28,21,48.84,6,13.95,9,20.93,01026
1,36,73,12,16.44,39,53.42,11,15.07,11,15.07,01036
1,37,61,10,16.39,26,42.62,16,26.23,9,14.75,01037
1,46,74,19,25.68,29,39.19,13,17.57,13,17.57,01046
1,47,58,10,17.24,32,55.17,10,17.24,6,10.34,01047
1,48,54,10,18.52,22,40.74,12,22.22,10,18.52,01048
1,49,41,8,19.51,18,43.9,11,26.83,4,9.76,01049
1,50,48,6,12.5,23,47.92,14,29.17,5,10.42,01050
2,3,137,43,31.39,38,27.74,25,18.25,31,22.63,02003
2,5,136,73,53.68,16,11.76,10,7.35,37,27.21,02005
2,6,35,9,25.71,16,45.71,7,20.0,3,8.57,02006
2,15,47,30,63.83,8,17.02,4,8.51,5,10.64,02015
2,16,94,17,18.09,56,59.57,16,17.02,5,5.32,02016
2,23,99,52,52.53,15,15.15,9,9.09,23,23.23,02023
2,42,98,46,46.94,9,9.18,5,5.1,38,38.78,02042
2,45,110,63,57.27,16,14.55,11,10.0,20,18.18,02045
2,52,161,81,50.31,23,14.29,17,10.56,40,24.84,02052
24,55,85,59,69.41,6,7.06,2,2.35,18,21.18,24055
26,46,31,2,6.45,10,32.26,10,32.26,9,29.03,26046
27,2,77,46,59.74,8,10.39,5,6.49,18,23.38,27002
27,3,67,50,74.63,2,2.99,4,5.97,11,16.42,27003
27,4,1,1,100.0,0,0.0,0,0.0,0,0.0,27004
27,7,82,27,32.93,30,36.59,16,19.51,9,10.98,27007
27,8,94,56,59.57,3,3.19,8,8.51,27,28.72,27008
27,10,201,77,38.31,37,18.41,12,5.97,75,37.31,27010
27,14,107,59,55.14,11,10.28,6,5.61,31,28.97,27014
27,15,61,28,45.9,7,11.48,7,11.48,19,31.15,27015
27,17,50,5,10.0,24,48.0,14,28.0,7,14.0,27017
27,18,26,6,23.08,9,34.62,3,11.54,8,30.77,27018
27,19,82,38,46.34,5,6.1,5,6.1,34,41.46,27019
27,22,88,49,55.68,5,5.68,9,10.23,25,28.41,27022
27,23,20,8,40.0,5,25.0,0,0.0,7,35.0,27023
27,24,70,32,45.71,7,10.0,3,4.29,28,40.0,27024
27,25,60,31,51.67,3,5.0,3,5.0,23,38.33,27025
