ward,precinct,total,Darlena Williams-Burnett,Darlena Williams-Burnett Percent,Jim Ascot,Jim Ascot Percent,Danny K. Davis,Danny K. Davis Percent,Sharon Denise Dixon,Sharon Denise Dixon Percent,precinct_id
1,1,63,12,19.05,9,14.29,30,47.62,12,19.05,01001
1,6,98,21,21.43,14,14.29,44,44.9,19,19.39,01006
1,11,0,0,0.0,0,0.0,0,0.0,0,0.0,01011
1,44,57,8,14.04,10,17.54,28,49.12,11,19.3,01044
2,1,204,24,11.76,24,11.76,94,46.08,62,30.39,02001
2,2,31,3,9.68,4,12.9,20,64.52,4,12.9,02002
2,3,166,23,13.86,18,10.84,103,62.05,22,13.25,02003
2,4,109,8,7.34,1,0.92,90,82.57,10,9.17,02004
2,5,151,26,17.22,2,1.32,112,74.17,11,7.28,02005
2,6,142,12,8.45,23,16.2,68,47.89,39,27.46,02006
2,7,195,26,13.33,1,0.51,148,75.9,20,10.26,02007
2,8,217,16,7.37,23,10.6,128,58.99,50,23.04,02008
2,9,120,7,5.83,4,3.33,87,72.5,22,18.33,02009
2,10,108,14,12.96,2,1.85,79,73.15,13,12.04,02010
2,11,284,16,5.63,34,11.97,157,55.28,77,27.11,02011
2,12,145,11,7.59,24,16.55,74,51.03,36,24.83,02012
2,13,156,30,19.23,9,5.77,100,64.1,17,10.9,02013
2,14,8,0,0.0,0,0.0,6,75.0,2,25.0,02014
2,15,64,17,26.56,3,4.69,42,65.63,2,3.13,02015
2,16,153,26,16.99,19,12.42,67,43.79,41,26.8,02016
2,17,93,27,29.03,0,0.0,60,64.52,6,6.45,02017
2,18,172,18,10.47,17,9.88,92,53.49,45,26.16,02018
2,19,189,25,13.23,37,19.58,97,51.32,30,15.87,02019
2,20,77,8,10.39,5,6.49,57,74.03,7,9.09,02020
2,21,205,11,5.37,8,3.9,164,80.0,22,10.73,02021
2,22,267,30,11.24,23,8.61,161,60.3,53,19.85,02022
2,23,107,28,26.17,14,13.08,62,57.94,3,2.8,02023
2,24,81,11,13.58,10,12.35,49,60.49,11,13.58,02024
2,25,181,27,14.92,17,9.39,118,65.19,19,10.5,02025
2,26,145,14,9.66,10,6.9,99,68.28,22,15.17,02026
2,27,133,17,12.78,1,0.75,110,82.71,5,3.76,02027
2,28,95,8,8.42,13,13.68,45,47.37,29,30.53,02028
2,29,95,14,14.74,2,2.11,73,76.84,6,6.32,02029
2,30,157,14,8.92,26,16.56,82,52.23,35,22.29,02030
2,32,67,11,16.42,6,8.96,43,64.18,7,10.45,02032
2,33,71,9,12.68,1,1.41,55,77.46,6,8.45,02033
2,34,144,15,10.42,3,2.08,116,80.56,10,6.94,02034
2,35,32,2,6.25,8,25.0,15,46.88,7,21.88,02035
2,36,242,27,11.16,29,11.98,141,58.26,45,18.6,02036
2,37,140,21,15.0,13,9.29,69,49.29,37,26.43,02037
2,38,202,20,9.9,26,12.87,107,52.97,49,24.26,02038
2,39,115,17,14.78,16,13.91,69,60.0,13,11.3,02039
2,40,255,34,13.33,32,12.55,151,59.22,38,14.9,02040
2,41,69,6,8.7,0,0.0,57,82.61,6,8.7,02041
2,42,109,22,20.18,2,1.83,83,76.15,2,1.83,02042
2,43,260,35,13.46,19,7.31,152,58.46,54,20.77,02043
2,45,130,27,20.77,3,2.31,90,69.23,10,7.69,02045
2,47,106,15,14.15,1,0.94,87,82.08,3,2.83,02047
2,48,84,13,15.48,1,1.19,67,79.76,3,3.57,02048
2,49,119,9,7.56,12,10.08,63,52.94,35,29.41,02049
2,50,106,16,15.09,10,9.43,67,63.21,13,12.26,02050
2,51,103,10,9.71,2,1.94,82,79.61,9,8.74,02051
2,52,183,45,24.59,7,3.83,117,63.93,14,7.65,02052
2,53,112,9,8.04,13,11.61,74,66.07,16,14.29,02053
2,54,190,13,6.84,21,11.05,103,54.21,53,27.89,02054
2,55,69,8,11.59,22,31.88,30,43.48,9,13.04,02055
2,56,137,27,19.71,7,5.11,94,68.61,9,6.57,02056
3,1,142,17,11.97,2,1.41,112,78.87,11,7.75,03001
3,2,219,22,10.05,4,1.83,169,77.17,24,10.96,03002
3,3,156,17,10.9,13,8.33,101,64.74,25,16.03,03003
3,4,104,16,15.38,1,0.96,80,76.92,7,6.73,03004
3,6,37,5,13.51,0,0.0,20,54.05,12,32.43,03006
3,8,123,14,11.38,1,0.81,94,76.42,14,11.38,03008
3,9,144,19,13.19,2,1.39,109,75.69,14,9.72,03009
3,10,46,3,6.52,3,6.52,36,78.26,4,8.7,03010
3,11,135,11,8.15,1,0.74,110,81.48,13,9.63,03011
3,12,118,13,11.02,2,1.69,91,77.12,12,10.17,03012
3,14,110,12,10.91,13,11.82,79,71.82,6,5.45,03014
3,15,155,24,15.48,4,2.58,106,68.39,21,13.55,03015
3,16,116,19,16.38,3,2.59,86,74.14,8,6.9,03016
3,17,73,17,23.29,1,1.37,49,67.12,6,8.22,03017
3,18,73,9,12.33,3,4.11,53,72.6,8,10.96,03018
3,20,68,10,14.71,1,1.47,53,77.94,4,5.88,03020
3,21,59,10,16.95,2,3.39,42,71.19,5,8.47,03021
3,22,80,9,11.25,1,1.25,66,82.5,4,5.0,03022
3,23,106,19,17.92,3,2.83,72,67.92,12,11.32,03023
3,24,172,23,13.37,2,1.16,124,72.09,23,13.37,03024
3,25,82,6,7.32,3,3.66,64,78.05,9,10.98,03025
3,26,42,5,11.9,1,2.38,34,80.95,2,4.76,03026
3,27,140,21,15.0,3,2.14,97,69.29,19,13.57,03027
3,28,230,22,9.57,28,12.17,109,47.39,71,30.87,03028
3,29,147,21,14.29,8,5.44,100,68.03,18,12.24,03029
3,31,218,35,16.06,5,2.29,162,74.31,16,7.34,03031
3,32,102,15,14.71,2,1.96,83,81.37,2,1.96,03032
3,33,179,26,14.53,9,5.03,126,70.39,18,10.06,03033
3,35,143,15,10.49,4,2.8,110,76.92,14,9.79,03035
3,36,39,5,12.82,0,0.0,27,69.23,7,17.95,03036
3,37,59,6,10.17,1,1.69,42,71.19,10,16.95,03037
3,39,254,22,8.66,1,0.39,205,80.71,26,10.24,03039
3,40,147,20,13.61,0,0.0,111,75.51,16,10.88,03040
3,42,89,14,15.73,0,0.0,66,74.16,9,10.11,03042
3,43,20,4,20.0,0,0.0,15,75.0,1,5.0,03043
3,45,184,31,16.85,7,3.8,129,70.11,17,9.24,03045
3,46,15,2,13.33,0,0.0,12,80.0,1,6.67,03046
3,47,91,15,16.48,2,2.2,66,72.53,8,8.79,03047
3,48,88,15,17.05,4,4.55,64,72.73,5,5.68,03048
3,49,30,7,23.33,0,0.0,20,66.67,3,10.0,03049
3,50,83,9,10.84,2,2.41,64,77.11,8,9.64,03050
4,4,171,19,11.11,0,0.0,131,76.61,21,12.28,04004
4,5,247,24,9.72,6,2.43,199,80.57,18,7.29,04005
4,6,85,16,18.82,1,1.18,66,77.65,2,2.35,04006
4,7,221,38,17.19,2,0.9,155,70.14,26,11.76,04007
4,10,197,30,15.23,1,0.51,146,74.11,20,10.15,04010
4,11,133,14,10.53,3,2.26,107,80.45,9,6.77,04011
4,14,110,11,10.0,6,5.45,83,75.45,10,9.09,04014
4,15,149,22,14.77,2,1.34,107,71.81,18,12.08,04015
4,25,220,28,12.73,0,0.0,175,79.55,17,7.73,04025
4,27,157,16,10.19,1,0.64,123,78.34,17,10.83,04027
4,30,161,25,15.53,6,3.73,117,72.67,13,8.07,04030
4,35,97,17,17.53,4,4.12,69,71.13,7,7.22,04035
4,36,134,21,15.67,1,0.75,92,68.66,20,14.93,04036
4,42,191,19,9.95,4,2.09,149,78.01,19,9.95,04042
11,14,95,15,15.79,19,20.0,52,54.74,9,9.47,11014
11,27,89,22,24.72,16,17.98,47,52.81,4,4.49,11027
11,28,100,19,19.0,28,28.0,38,38.0,15,15.0,11028
11,31,0,0,0.0,0,0.0,0,0.0,0,0.0,11031
11,34,40,7,17.5,4,10.0,25,62.5,4,10.0,11034
11,36,34,6,17.65,4,11.76,19,55.88,5,14.71,11036
11,46,66,12,18.18,10,15.15,39,59.09,5,7.58,11046
12,1,6,1,16.67,2,33.33,3,50.0,0,0.0,12001
12,6,30,3,10.0,4,13.33,16,53.33,7,23.33,12006
12,18,17,2,11.76,0,0.0,14,82.35,1,5.88,12018
16,15,109,13,11.93,2,1.83,76,69.72,18,16.51,16015
16,16,84,12,14.29,1,1.19,65,77.38,6,7.14,16016
16,18,96,16,16.67,0,0.0,70,72.92,10,10.42,16018
16,20,75,12,16.0,1,1.33,58,77.33,4,5.33,16020
16,22,89,11,12.36,0,0.0,67,75.28,11,12.36,16022
16,29,56,14,25.0,1,1.79,33,58.93,8,14.29,16029
16,30,69,16,23.19,2,2.9,41,59.42,10,14.49,16030
16,33,82,9,10.98,2,2.44,62,75.61,9,10.98,16033
20,27,91,17,18.68,2,2.2,58,63.74,14,15.38,20027
20,31,154,21,13.64,3,1.95,110,71.43,20,12.99,20031
20,40,99,18,18.18,1,1.01,71,71.72,9,9.09,20040
20,45,48,10,20.83,0,0.0,32,66.67,6,12.5,20045
20,48,48,7,14.58,2,4.17,34,70.83,5,10.42,20048
22,7,124,7,5.65,1,0.81,106,85.48,10,8.06,22007
22,18,2,0,0.0,0,0.0,2,100.0,0,0.0,22018
22,19,69,1,1.45,0,0.0,60,86.96,8,11.59,22019
22,21,120,6,5.0,1,0.83,102,85.0,11,9.17,22021
24,1,143,15,10.49,6,4.2,102,71.33,20,13.99,24001
24,2,75,11,14.67,1,1.33,58,77.33,5,6.67,24002
24,3,104,11,10.58,1,0.96,76,73.08,16,15.38,24003
24,4,104,12,11.54,1,0.96,81,77.88,10,9.62,24004
24,5,85,13,15.29,0,0.0,63,74.12,9,10.59,24005
24,6,138,26,18.84,4,2.9,96,69.57,12,8.7,24006
24,7,101,13,12.87,0,0.0,71,70.3,17,16.83,24007
24,8,95,9,9.47,1,1.05,77,81.05,8,8.42,24008
24,9,96,4,4.17,3,3.13,72,75.0,17,17.71,24009
24,10,101,16,15.84,0,0.0,69,68.32,16,15.84,24010
24,11,65,8,12.31,1,1.54,46,70.77,10,15.38,24011
24,12,80,10,12.5,2,2.5,58,72.5,10,12.5,24012
24,13,119,16,13.45,0,0.0,87,73.11,16,13.45,24013
24,14,127,13,10.24,3,2.36,86,67.72,25,19.69,24014
24,15,92,12,13.04,2,2.17,71,77.17,7,7.61,24015
24,16,75,5,6.67,0,0.0,61,81.33,9,12.0,24016
24,17,86,8,9.3,1,1.16,68,79.07,9,10.47,24017
24,18,71,7,9.86,0,0.0,55,77.46,9,12.68,24018
24,19,74,8,10.81,0,0.0,57,77.03,9,12.16,24019
24,20,112,20,17.86,0,0.0,81,72.32,11,9.82,24020
24,21,48,6,12.5,1,2.08,35,72.92,6,12.5,24021
24,22,107,11,10.28,0,0.0,84,78.5,12,11.21,24022
24,23,88,9,10.23,2,2.27,62,70.45,15,17.05,24023
24,24,57,8,14.04,1,1.75,37,64.91,11,19.3,24024
24,25,123,11,8.94,4,3.25,92,74.8,16,13.01,24025
24,26,104,10,9.62,2,1.92,76,73.08,16,15.38,24026
24,27,67,12,17.91,4,5.97,41,61.19,10,14.93,24027
24,28,143,12,8.39,3,2.1,106,74.13,22,15.38,24028
24,29,118,13,11.02,0,0.0,90,76.27,15,12.71,24029
24,30,89,9,10.11,2,2.25,65,73.03,13,14.61,24030
24,31,93,12,12.9,0,0.0,73,78.49,8,8.6,24031
24,32,97,17,17.53,2,2.06,65,67.01,13,13.4,24032
24,33,83,8,9.64,4,4.82,57,68.67,14,16.87,24033
24,34,125,11,8.8,3,2.4,92,73.6,19,15.2,24034
24,35,153,16,10.46,2,1.31,117,76.47,18,11.76,24035
24,36,101,26,25.74,0,0.0,63,62.38,12,11.88,24036
24,37,137,22,16.06,3,2.19,91,66.42,21,15.33,24037
24,38,135,16,11.85,5,3.7,91,67.41,23,17.04,24038
24,39,92,8,8.7,1,1.09,73,79.35,10,10.87,24039
24,40,162,20,12.35,4,2.47,119,73.46,19,11.73,24040
24,41,100,17,17.0,2,2.0,70,70.0,11,11.0,24041
24,42,79,3,3.8,0,0.0,66,83.54,10,12.66,24042
24,43,137,19,13.87,3,2.19,100,72.99,15,10.95,24043
24,44,112,14,12.5,5,4.46,72,64.29,21,18.75,24044
24,45,93,2,2.15,0,0.0,81,87.1,10,10.75,24045
24,46,129,18,13.95,0,0.0,101,78.29,10,7.75,24046
24,47,85,10,11.76,1,1.18,66,77.65,8,9.41,24047
24,48,57,9,15.79,0,0.0,42,73.68,6,10.53,24048
24,49,208,17,8.17,1,0.48,159,76.44,31,14.9,24049
24,50,160,23,14.38,3,1.88,111,69.38,23,14.38,24050
24,51,151,7,4.64,0,0.0,117,77.48,27,17.88,24051
24,52,98,12,12.24,0,0.0,73,74.49,13,13.27,24052
24,54,125,10,8.0,1,0.8,94,75.2,20,16.0,24054
24,55,93,11,11.83,1,1.08,64,68.82,17,18.28,24055
24,56,151,21,13.91,1,0.66,113,74.83,16,10.6,24056
25,3,97,17,17.53,12,12.37,54,55.67,14,14.43,25003
25,4,145,24,16.55,26,17.93,67,46.21,28,19.31,25004
25,5,8,1,12.5,2,25.0,4,50.0,1,12.5,25005
25,6,15,3,20.0,3,20.0,6,40.0,3,20.0,25006
25,8,0,0,0.0,0,0.0,0,0.0,0,0.0,25008
25,10,69,13,18.84,10,14.49,40,57.97,6,8.7,25010
25,14,83,13,15.66,13,15.66,48,57.83,9,10.84,25014
25,16,124,64,51.61,10,8.06,42,33.87,8,6.45,25016
25,18,217,93,42.86,15,6.91,97,44.7,12,5.53,25018
25,21,105,15,14.29,11,10.48,60,57.14,19,18.1,25021
25,25,106,7,6.6,18,16.98,58,54.72,23,21.7,25025
25,26,87,9,10.34,18,20.69,49,56.32,11,12.64,25026
25,27,91,11,12.09,15,16.48,51,56.04,14,15.38,25027
25,28,175,19,10.86,37,21.14,90,51.43,29,16.57,25028
25,29,258,33,12.79,35,13.57,137,53.1,53,20.54,25029
26,17,47,5,10.64,12,25.53,20,42.55,10,21.28,26017
26,28,2,1,50.0,0,0.0,1,50.0,0,0.0,26028
26,33,29,5,17.24,4,13.79,16,55.17,4,13.79,26033
26,46,75,11,14.67,17,22.67,28,37.33,19,25.33,26046
27,1,142,13,9.15,35,24.65,63,44.37,31,21.83,27001
27,2,80,21,26.25,1,1.25,55,68.75,3,3.75,27002
27,3,78,18,23.08,1,1.28,51,65.38,8,10.26,27003
27,4,59,29,49.15,5,8.47,23,38.98,2,3.39,27004
27,5,47,16,34.04,8,17.02,16,34.04,7,14.89,27005
27,6,39,13,33.33,1,2.56,24,61.54,1,2.56,27006
27,7,106,23,21.7,13,12.26,56,52.83,14,13.21,27007
27,8,100,22,22.0,4,4.0,66,66.0,8,8.0,27008
27,9,169,75,44.38,4,2.37,72,42.6,18,10.65,27009
27,10,222,92,41.44,2,0.9,109,49.1,19,8.56,27010
27,11,114,38,33.33,17,14.91,44,38.6,15,13.16,27011
27,12,121,34,28.1,12,9.92,56,46.28,19,15.7,27012
27,14,127,25,19.69,1,0.79,91,71.65,10,7.87,27014
27,15,67,18,26.87,0,0.0,38,56.72,11,16.42,27015
27,16,30,9,30.0,7,23.33,11,36.67,3,10.0,27016
27,17,97,10,10.31,18,18.56,44,45.36,25,25.77,27017
27,18,48,9,18.75,10,20.83,19,39.58,10,20.83,27018
27,19,90,39,43.33,3,3.33,42,46.67,6,6.67,27019
27,20,104,49,47.12,3,2.88,43,41.35,9,8.65,27020
27,21,86,45,52.33,2,2.33,34,39.53,5,5.81,27021
27,22,105,53,50.48,1,0.95,47,44.76,4,3.81,27022
27,23,22,6,27.27,1,4.55,14,63.64,1,4.55,27023
27,24,75,41,54.67,0,0.0,32,42.67,2,2.67,27024
27,25,64,22,34.38,0,0.0,37,57.81,5,7.81,27025
27,26,130,21,16.15,0,0.0,100,76.92,9,6.92,27026
27,27,113,48,42.48,1,0.88,55,48.67,9,7.96,27027
27,28,130,38,29.23,5,3.85,72,55.38,15,11.54,27028
27,29,71,28,39.44,2,2.82,36,50.7,5,7.04,27029
27,30,45,18,40.0,1,2.22,25,55.56,1,2.22,27030
27,31,80,25,31.25,0,0.0,52,65.0,3,3.75,27031
27,33,97,47,48.45,4,4.12,38,39.18,8,8.25,27033
27,34,105,44,41.9,0,0.0,60,57.14,1,0.95,27034
27,36,129,46,35.66,1,0.78,75,58.14,7,5.43,27036
27,37,163,98,60.12,5,3.07,51,31.29,9,5.52,27037
27,39,42,22,52.38,0,0.0,17,40.48,3,7.14,27039
27,40,83,45,54.22,1,1.2,34,40.96,3,3.61,27040
27,42,59,17,28.81,6,10.17,25,42.37,11,18.64,27042
27,43,69,39,56.52,0,0.0,27,39.13,3,4.35,27043
27,44,91,27,29.67,0,0.0,59,64.84,5,5.49,27044
27,45,99,47,47.47,1,1.01,45,45.45,6,6.06,27045
27,46,101,49,48.51,3,2.97,45,44.55,4,3.96,27046
27,47,77,18,23.38,2,2.6,52,67.53,5,6.49,27047
27,48,144,40,27.78,4,2.78,87,60.42,13,9.03,27048
27,49,104,19,18.27,4,3.85,77,74.04,4,3.85,27049
27,50,108,35,32.41,13,12.04,39,36.11,21,19.44,27050
