ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,precinct_id
30,36,80,80,100.0,30036
30,41,48,48,100.0,30041
31,1,30,30,100.0,31001
31,2,46,46,100.0,31002
31,4,57,57,100.0,31004
31,5,78,78,100.0,31005
31,6,47,47,100.0,31006
31,7,62,62,100.0,31007
31,10,17,17,100.0,31010
31,11,62,62,100.0,31011
31,12,61,61,100.0,31012
31,13,44,44,100.0,31013
31,14,49,49,100.0,31014
31,16,27,27,100.0,31016
31,17,46,46,100.0,31017
31,18,53,53,100.0,31018
31,20,39,39,100.0,31020
31,21,68,68,100.0,31021
31,22,45,45,100.0,31022
31,23,40,40,100.0,31023
31,24,65,65,100.0,31024
31,25,66,66,100.0,31025
31,27,41,41,100.0,31027
31,30,93,93,100.0,31030
31,31,86,86,100.0,31031
31,34,31,31,100.0,31034
31,35,40,40,100.0,31035
31,36,71,71,100.0,31036
31,37,48,48,100.0,31037
31,39,24,24,100.0,31039
31,40,43,43,100.0,31040
31,42,88,88,100.0,31042
31,44,35,35,100.0,31044
31,49,24,24,100.0,31049
31,51,39,39,100.0,31051
32,1,16,16,100.0,32001
32,2,132,132,100.0,32002
32,3,75,75,100.0,32003
32,4,92,92,100.0,32004
32,5,61,61,100.0,32005
32,11,84,84,100.0,32011
32,12,37,37,100.0,32012
32,14,89,89,100.0,32014
32,16,90,90,100.0,32016
32,17,61,61,100.0,32017
32,28,61,61,100.0,32028
32,29,98,98,100.0,32029
32,31,113,113,100.0,32031
32,33,67,67,100.0,32033
32,34,103,103,100.0,32034
32,35,110,110,100.0,32035
32,36,79,79,100.0,32036
32,46,17,17,100.0,32046
32,52,34,34,100.0,32052
33,1,129,129,100.0,33001
33,2,136,136,100.0,33002
33,3,127,127,100.0,33003
33,4,151,151,100.0,33004
33,6,148,148,100.0,33006
33,8,109,109,100.0,33008
33,11,127,127,100.0,33011
33,12,130,130,100.0,33012
33,13,138,138,100.0,33013
33,15,128,128,100.0,33015
33,16,92,92,100.0,33016
33,17,148,148,100.0,33017
33,19,119,119,100.0,33019
33,20,131,131,100.0,33020
33,21,137,137,100.0,33021
33,22,63,63,100.0,33022
33,26,125,125,100.0,33026
33,27,98,98,100.0,33027
35,1,107,107,100.0,35001
35,2,72,72,100.0,35002
35,3,61,61,100.0,35003
35,4,127,127,100.0,35004
35,5,96,96,100.0,35005
35,6,86,86,100.0,35006
35,7,100,100,100.0,35007
35,8,86,86,100.0,35008
35,9,83,83,100.0,35009
35,10,101,101,100.0,35010
35,11,73,73,100.0,35011
35,12,128,128,100.0,35012
35,13,22,22,100.0,35013
35,14,108,108,100.0,35014
35,15,94,94,100.0,35015
35,16,105,105,100.0,35016
35,17,95,95,100.0,35017
35,18,113,113,100.0,35018
35,19,84,84,100.0,35019
35,20,74,74,100.0,35020
35,21,91,91,100.0,35021
35,23,62,62,100.0,35023
35,24,57,57,100.0,35024
35,25,92,92,100.0,35025
35,26,119,119,100.0,35026
35,27,114,114,100.0,35027
35,28,93,93,100.0,35028
35,29,118,118,100.0,35029
35,30,160,160,100.0,35030
35,31,40,40,100.0,35031
35,32,64,64,100.0,35032
35,34,83,83,100.0,35034
35,35,101,101,100.0,35035
35,36,59,59,100.0,35036
36,4,60,60,100.0,36004
36,33,54,54,100.0,36033
36,44,34,34,100.0,36044
36,54,29,29,100.0,36054
36,55,9,9,100.0,36055
37,1,54,54,100.0,37001
37,11,25,25,100.0,37011
37,19,67,67,100.0,37019
37,39,88,88,100.0,37039
