ward,precinct,total,William D. ''Will'' Burns,William D. ''Will'' Burns Percent,precinct_id
2,7,168,168,100.0,02007
2,8,173,173,100.0,02008
2,14,0,0,0.0,02014
2,18,136,136,100.0,02018
2,19,165,165,100.0,02019
2,20,183,183,100.0,02020
2,21,151,151,100.0,02021
2,24,21,21,100.0,02024
2,26,113,113,100.0,02026
2,30,138,138,100.0,02030
2,31,73,73,100.0,02031
2,36,208,208,100.0,02036
2,37,113,113,100.0,02037
2,38,171,171,100.0,02038
2,40,214,214,100.0,02040
2,44,117,117,100.0,02044
2,46,224,224,100.0,02046
3,2,191,191,100.0,03002
3,4,85,85,100.0,03004
3,5,134,134,100.0,03005
3,7,151,151,100.0,03007
3,9,83,83,100.0,03009
3,11,14,14,100.0,03011
3,16,98,98,100.0,03016
3,20,91,91,100.0,03020
3,30,90,90,100.0,03030
3,31,185,185,100.0,03031
3,34,128,128,100.0,03034
3,38,179,179,100.0,03038
3,39,195,195,100.0,03039
3,45,68,68,100.0,03045
3,49,3,3,100.0,03049
4,2,223,223,100.0,04002
4,3,197,197,100.0,04003
4,4,147,147,100.0,04004
4,5,240,240,100.0,04005
4,7,194,194,100.0,04007
4,8,186,186,100.0,04008
4,10,181,181,100.0,04010
4,11,115,115,100.0,04011
4,12,95,95,100.0,04012
4,13,127,127,100.0,04013
4,14,100,100,100.0,04014
4,15,133,133,100.0,04015
4,16,174,174,100.0,04016
4,18,158,158,100.0,04018
4,19,130,130,100.0,04019
4,20,86,86,100.0,04020
4,23,140,140,100.0,04023
4,24,154,154,100.0,04024
4,25,197,197,100.0,04025
4,26,170,170,100.0,04026
4,27,138,138,100.0,04027
4,30,138,138,100.0,04030
4,33,134,134,100.0,04033
4,35,86,86,100.0,04035
4,36,119,119,100.0,04036
4,37,0,0,0.0,04037
4,39,108,108,100.0,04039
4,40,130,130,100.0,04040
4,42,190,190,100.0,04042
4,46,116,116,100.0,04046
4,49,118,118,100.0,04049
4,50,149,149,100.0,04050
4,51,145,145,100.0,04051
4,52,170,170,100.0,04052
5,2,132,132,100.0,05002
5,9,132,132,100.0,05009
5,10,111,111,100.0,05010
5,13,133,133,100.0,05013
5,15,107,107,100.0,05015
5,16,97,97,100.0,05016
5,18,125,125,100.0,05018
5,19,68,68,100.0,05019
5,23,84,84,100.0,05023
5,45,76,76,100.0,05045
5,51,83,83,100.0,05051
5,52,8,8,100.0,05052
6,39,1,1,100.0,06039
20,2,78,78,100.0,20002
20,5,76,76,100.0,20005
20,9,147,147,100.0,20009
20,16,135,135,100.0,20016
20,18,61,61,100.0,20018
20,22,151,151,100.0,20022
20,24,100,100,100.0,20024
20,29,98,98,100.0,20029
20,32,57,57,100.0,20032
20,36,81,81,100.0,20036
20,47,68,68,100.0,20047
42,1,122,122,100.0,42001
42,2,78,78,100.0,42002
42,5,82,82,100.0,42005
42,6,226,226,100.0,42006
42,7,89,89,100.0,42007
42,9,69,69,100.0,42009
42,11,113,113,100.0,42011
42,13,196,196,100.0,42013
42,23,125,125,100.0,42023
42,24,90,90,100.0,42024
42,25,83,83,100.0,42025
42,29,101,101,100.0,42029
42,31,80,80,100.0,42031
42,35,86,86,100.0,42035
42,37,75,75,100.0,42037
42,38,65,65,100.0,42038
42,40,109,109,100.0,42040
42,41,122,122,100.0,42041
42,42,52,52,100.0,42042
42,43,97,97,100.0,42043
42,44,81,81,100.0,42044
42,47,70,70,100.0,42047
42,48,86,86,100.0,42048
42,50,117,117,100.0,42050
42,51,178,178,100.0,42051
42,52,46,46,100.0,42052
42,53,134,134,100.0,42053
42,54,73,73,100.0,42054
42,61,27,27,100.0,42061
42,62,64,64,100.0,42062
42,63,104,104,100.0,42063
42,64,41,41,100.0,42064
42,65,94,94,100.0,42065
42,66,78,78,100.0,42066
43,35,118,118,100.0,43035
43,40,43,43,100.0,43040
