ward,precinct,total,Constance A. ''Connie'' Howard,Constance A. ''Connie'' Howard Percent,Yvette Williams,Yvette Williams Percent,precinct_id
2,14,206,132,64.08,74,35.92,02014
2,20,147,92,62.59,55,37.41,02020
2,31,141,90,63.83,51,36.17,02031
2,44,116,71,61.21,45,38.79,02044
2,46,227,147,64.76,80,35.24,02046
3,5,131,74,56.49,57,43.51,03005
3,7,168,115,68.45,53,31.55,03007
3,20,39,27,69.23,12,30.77,03020
3,23,7,4,57.14,3,42.86,03023
3,30,97,78,80.41,19,19.59,03030
3,34,129,85,65.89,44,34.11,03034
3,36,1,1,100.0,0,0.0,03036
3,38,203,124,61.08,79,38.92,03038
3,41,129,85,65.89,44,34.11,03041
3,44,23,16,69.57,7,30.43,03044
3,49,5,1,20.0,4,80.0,03049
4,1,184,117,63.59,67,36.41,04001
4,2,215,139,64.65,76,35.35,04002
4,3,188,115,61.17,73,38.83,04003
4,8,181,111,61.33,70,38.67,04008
4,9,361,230,63.71,131,36.29,04009
4,12,89,56,62.92,33,37.08,04012
4,13,113,86,76.11,27,23.89,04013
4,16,172,104,60.47,68,39.53,04016
4,17,160,99,61.88,61,38.13,04017
4,18,163,102,62.58,61,37.42,04018
4,19,143,93,65.03,50,34.97,04019
4,20,91,53,58.24,38,41.76,04020
4,21,202,143,70.79,59,29.21,04021
4,22,189,121,64.02,68,35.98,04022
4,23,115,89,77.39,26,22.61,04023
4,24,148,95,64.19,53,35.81,04024
4,26,162,95,58.64,67,41.36,04026
4,28,90,60,66.67,30,33.33,04028
4,29,125,76,60.8,49,39.2,04029
4,31,74,52,70.27,22,29.73,04031
4,32,130,80,61.54,50,38.46,04032
4,33,126,82,65.08,44,34.92,04033
4,34,92,58,63.04,34,36.96,04034
4,37,0,0,0.0,0,0.0,04037
4,38,254,170,66.93,84,33.07,04038
4,39,108,62,57.41,46,42.59,04039
4,40,127,66,51.97,61,48.03,04040
4,41,46,29,63.04,17,36.96,04041
4,42,20,12,60.0,8,40.0,04042
4,43,87,57,65.52,30,34.48,04043
4,44,91,51,56.04,40,43.96,04044
4,45,291,180,61.86,111,38.14,04045
4,46,115,64,55.65,51,44.35,04046
4,47,156,96,61.54,60,38.46,04047
4,48,178,114,64.04,64,35.96,04048
4,49,110,64,58.18,46,41.82,04049
