ward,precinct,total,Ricardo Munoz,Ricardo Munoz Percent,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,Humberto ''Berto'' Ramirez,Humberto ''Berto'' Ramirez Percent,precinct_id
1,1,22,8,36.36,9,40.91,5,22.73,01001
1,2,49,15,30.61,18,36.73,16,32.65,01002
1,3,46,19,41.3,19,41.3,8,17.39,01003
1,4,62,31,50.0,13,20.97,18,29.03,01004
1,5,53,13,24.53,26,49.06,14,26.42,01005
1,7,60,18,30.0,26,43.33,16,26.67,01007
1,8,64,19,29.69,25,39.06,20,31.25,01008
1,9,89,26,29.21,43,48.31,20,22.47,01009
1,10,63,25,39.68,19,30.16,19,30.16,01010
1,11,52,17,32.69,25,48.08,10,19.23,01011
1,12,82,34,41.46,31,37.8,17,20.73,01012
1,13,108,35,32.41,48,44.44,25,23.15,01013
1,14,59,25,42.37,22,37.29,12,20.34,01014
1,15,73,24,32.88,39,53.42,10,13.7,01015
1,16,46,20,43.48,17,36.96,9,19.57,01016
1,17,39,17,43.59,11,28.21,11,28.21,01017
1,18,68,22,32.35,35,51.47,11,16.18,01018
1,19,54,20,37.04,22,40.74,12,22.22,01019
1,20,101,34,33.66,47,46.53,20,19.8,01020
1,21,54,24,44.44,23,42.59,7,12.96,01021
1,22,68,25,36.76,34,50.0,9,13.24,01022
1,23,61,25,40.98,21,34.43,15,24.59,01023
1,24,138,47,34.06,69,50.0,22,15.94,01024
1,25,44,13,29.55,19,43.18,12,27.27,01025
1,26,43,12,27.91,19,44.19,12,27.91,01026
1,27,56,24,42.86,21,37.5,11,19.64,01027
1,28,27,11,40.74,13,48.15,3,11.11,01028
1,29,67,18,26.87,35,52.24,14,20.9,01029
1,30,121,25,20.66,68,56.2,28,23.14,01030
1,31,44,11,25.0,20,45.45,13,29.55,01031
1,32,92,34,36.96,40,43.48,18,19.57,01032
1,33,83,26,31.33,36,43.37,21,25.3,01033
1,34,46,15,32.61,20,43.48,11,23.91,01034
1,35,41,11,26.83,18,43.9,12,29.27,01035
1,36,67,20,29.85,30,44.78,17,25.37,01036
1,37,63,29,46.03,21,33.33,13,20.63,01037
1,38,36,14,38.89,12,33.33,10,27.78,01038
1,39,73,30,41.1,27,36.99,16,21.92,01039
1,40,24,11,45.83,8,33.33,5,20.83,01040
1,41,58,22,37.93,22,37.93,14,24.14,01041
1,42,51,16,31.37,19,37.25,16,31.37,01042
1,43,73,34,46.58,25,34.25,14,19.18,01043
1,44,4,1,25.0,2,50.0,1,25.0,01044
1,45,79,33,41.77,30,37.97,16,20.25,01045
1,46,70,29,41.43,25,35.71,16,22.86,01046
1,47,52,19,36.54,17,32.69,16,30.77,01047
1,48,46,13,28.26,22,47.83,11,23.91,01048
1,49,26,12,46.15,7,26.92,7,26.92,01049
1,50,41,11,26.83,18,43.9,12,29.27,01050
3,13,78,35,44.87,26,33.33,17,21.79,03013
11,1,1,0,0.0,1,100.0,0,0.0,11001
11,3,102,22,21.57,69,67.65,11,10.78,11003
11,10,100,22,22.0,60,60.0,18,18.0,11010
11,18,18,4,22.22,8,44.44,6,33.33,11018
11,26,0,0,0.0,0,0.0,0,0.0,11026
11,30,10,1,10.0,9,90.0,0,0.0,11030
12,1,66,27,40.91,29,43.94,10,15.15,12001
12,2,89,30,33.71,46,51.69,13,14.61,12002
12,3,79,35,44.3,35,44.3,9,11.39,12003
12,4,50,13,26.0,29,58.0,8,16.0,12004
12,5,77,19,24.68,49,63.64,9,11.69,12005
12,6,66,35,53.03,20,30.3,11,16.67,12006
12,7,110,58,52.73,36,32.73,16,14.55,12007
12,8,138,28,20.29,88,63.77,22,15.94,12008
12,9,73,22,30.14,34,46.58,17,23.29,12009
12,10,80,32,40.0,30,37.5,18,22.5,12010
12,11,137,49,35.77,69,50.36,19,13.87,12011
12,12,57,13,22.81,31,54.39,13,22.81,12012
12,13,119,41,34.45,62,52.1,16,13.45,12013
12,14,102,37,36.27,53,51.96,12,11.76,12014
12,15,71,33,46.48,29,40.85,9,12.68,12015
12,16,82,41,50.0,35,42.68,6,7.32,12016
12,17,114,30,26.32,55,48.25,29,25.44,12017
12,18,70,36,51.43,26,37.14,8,11.43,12018
12,19,101,27,26.73,58,57.43,16,15.84,12019
12,20,77,38,49.35,33,42.86,6,7.79,12020
12,21,85,31,36.47,41,48.24,13,15.29,12021
12,22,84,47,55.95,32,38.1,5,5.95,12022
12,23,107,38,35.51,57,53.27,12,11.21,12023
12,24,112,39,34.82,52,46.43,21,18.75,12024
13,3,176,103,58.52,46,26.14,27,15.34,13003
14,1,88,33,37.5,46,52.27,9,10.23,14001
14,3,167,73,43.71,73,43.71,21,12.57,14003
14,4,102,37,36.27,57,55.88,8,7.84,14004
14,5,179,60,33.52,107,59.78,12,6.7,14005
14,6,136,73,53.68,43,31.62,20,14.71,14006
14,7,113,31,27.43,68,60.18,14,12.39,14007
14,8,81,26,32.1,44,54.32,11,13.58,14008
14,9,166,51,30.72,93,56.02,22,13.25,14009
14,10,121,42,34.71,63,52.07,16,13.22,14010
14,11,118,33,27.97,82,69.49,3,2.54,14011
14,12,105,25,23.81,70,66.67,10,9.52,14012
14,13,171,45,26.32,113,66.08,13,7.6,14013
14,14,88,35,39.77,43,48.86,10,11.36,14014
14,15,152,46,30.26,89,58.55,17,11.18,14015
14,16,107,35,32.71,58,54.21,14,13.08,14016
14,17,117,38,32.48,64,54.7,15,12.82,14017
14,18,86,37,43.02,29,33.72,20,23.26,14018
14,19,156,45,28.85,90,57.69,21,13.46,14019
14,20,90,37,41.11,38,42.22,15,16.67,14020
14,21,137,39,28.47,86,62.77,12,8.76,14021
14,22,136,50,36.76,64,47.06,22,16.18,14022
14,23,127,51,40.16,64,50.39,12,9.45,14023
14,24,100,43,43.0,46,46.0,11,11.0,14024
14,26,114,42,36.84,58,50.88,14,12.28,14026
14,27,161,46,28.57,91,56.52,24,14.91,14027
14,29,149,44,29.53,87,58.39,18,12.08,14029
14,30,110,37,33.64,66,60.0,7,6.36,14030
14,31,113,22,19.47,81,71.68,10,8.85,14031
14,32,115,47,40.87,52,45.22,16,13.91,14032
14,33,100,25,25.0,61,61.0,14,14.0,14033
14,34,135,43,31.85,84,62.22,8,5.93,14034
14,35,106,33,31.13,54,50.94,19,17.92,14035
16,21,74,31,41.89,29,39.19,14,18.92,16021
16,32,62,34,54.84,20,32.26,8,12.9,16032
20,4,79,35,44.3,34,43.04,10,12.66,20004
20,8,44,16,36.36,22,50.0,6,13.64,20008
20,15,80,32,40.0,38,47.5,10,12.5,20015
20,21,51,22,43.14,24,47.06,5,9.8,20021
22,1,82,59,71.95,12,14.63,11,13.41,22001
22,2,78,44,56.41,22,28.21,12,15.38,22002
22,3,142,69,48.59,40,28.17,33,23.24,22003
22,4,107,63,58.88,27,25.23,17,15.89,22004
22,5,127,80,62.99,29,22.83,18,14.17,22005
22,6,123,84,68.29,19,15.45,20,16.26,22006
22,8,61,38,62.3,10,16.39,13,21.31,22008
22,9,123,89,72.36,21,17.07,13,10.57,22009
22,10,140,98,70.0,17,12.14,25,17.86,22010
22,11,103,62,60.19,25,24.27,16,15.53,22011
22,12,102,65,63.73,17,16.67,20,19.61,22012
22,13,138,76,55.07,40,28.99,22,15.94,22013
22,14,63,51,80.95,4,6.35,8,12.7,22014
22,15,72,49,68.06,13,18.06,10,13.89,22015
22,16,136,83,61.03,29,21.32,24,17.65,22016
22,17,127,76,59.84,22,17.32,29,22.83,22017
22,18,128,89,69.53,13,10.16,26,20.31,22018
22,20,135,90,66.67,26,19.26,19,14.07,22020
22,22,77,36,46.75,24,31.17,17,22.08,22022
22,23,153,115,75.16,17,11.11,21,13.73,22023
22,24,99,81,81.82,10,10.1,8,8.08,22024
22,25,102,52,50.98,27,26.47,23,22.55,22025
22,26,90,52,57.78,23,25.56,15,16.67,22026
22,27,149,101,67.79,23,15.44,25,16.78,22027
22,28,67,40,59.7,18,26.87,9,13.43,22028
22,29,71,46,64.79,18,25.35,7,9.86,22029
23,9,178,91,51.12,61,34.27,26,14.61,23009
23,24,103,60,58.25,25,24.27,18,17.48,23024
23,29,141,68,48.23,45,31.91,28,19.86,23029
24,44,51,20,39.22,13,25.49,18,35.29,24044
24,53,108,57,52.78,30,27.78,21,19.44,24053
25,1,130,35,26.92,80,61.54,15,11.54,25001
25,2,173,86,49.71,70,40.46,17,9.83,25002
25,5,122,31,25.41,74,60.66,17,13.93,25005
25,6,53,20,37.74,25,47.17,8,15.09,25006
25,7,105,47,44.76,44,41.9,14,13.33,25007
25,8,128,54,42.19,53,41.41,21,16.41,25008
25,9,163,68,41.72,70,42.94,25,15.34,25009
25,11,142,64,45.07,60,42.25,18,12.68,25011
25,12,99,43,43.43,42,42.42,14,14.14,25012
25,13,146,64,43.84,62,42.47,20,13.7,25013
25,15,144,49,34.03,69,47.92,26,18.06,25015
25,17,177,77,43.5,64,36.16,36,20.34,25017
25,19,149,61,40.94,68,45.64,20,13.42,25019
25,20,139,50,35.97,72,51.8,17,12.23,25020
25,22,64,27,42.19,27,42.19,10,15.63,25022
25,23,147,66,44.9,65,44.22,16,10.88,25023
25,24,169,83,49.11,61,36.09,25,14.79,25024
25,30,132,59,44.7,57,43.18,16,12.12,25030
25,31,70,26,37.14,34,48.57,10,14.29,25031
26,1,45,15,33.33,15,33.33,15,33.33,26001
26,2,81,39,48.15,22,27.16,20,24.69,26002
26,3,50,17,34.0,23,46.0,10,20.0,26003
26,4,39,18,46.15,14,35.9,7,17.95,26004
26,5,85,33,38.82,28,32.94,24,28.24,26005
26,6,47,24,51.06,12,25.53,11,23.4,26006
26,7,30,10,33.33,13,43.33,7,23.33,26007
26,8,41,18,43.9,17,41.46,6,14.63,26008
26,9,28,8,28.57,11,39.29,9,32.14,26009
26,10,49,16,32.65,17,34.69,16,32.65,26010
26,11,60,30,50.0,16,26.67,14,23.33,26011
26,12,41,19,46.34,14,34.15,8,19.51,26012
26,13,53,18,33.96,20,37.74,15,28.3,26013
26,14,53,23,43.4,13,24.53,17,32.08,26014
26,15,61,27,44.26,21,34.43,13,21.31,26015
26,16,44,16,36.36,20,45.45,8,18.18,26016
26,18,37,15,40.54,9,24.32,13,35.14,26018
