ward,precinct,total,Michael J. Zalewski,Michael J. Zalewski Percent,Terrence J. Collins,Terrence J. Collins Percent,precinct_id
13,4,65,60,92.31,5,7.69,13004
23,1,194,144,74.23,50,25.77,23001
23,2,251,191,76.1,60,23.9,23002
23,3,192,157,81.77,35,18.23,23003
23,4,173,131,75.72,42,24.28,23004
23,7,202,166,82.18,36,17.82,23007
23,8,173,156,90.17,17,9.83,23008
23,11,226,173,76.55,53,23.45,23011
23,12,183,141,77.05,42,22.95,23012
23,13,214,166,77.57,48,22.43,23013
23,14,153,122,79.74,31,20.26,23014
23,15,172,142,82.56,30,17.44,23015
23,16,221,180,81.45,41,18.55,23016
23,17,236,180,76.27,56,23.73,23017
23,18,136,113,83.09,23,16.91,23018
23,19,168,141,83.93,27,16.07,23019
23,20,182,145,79.67,37,20.33,23020
23,21,134,87,64.93,47,35.07,23021
23,22,179,141,78.77,38,21.23,23022
23,23,175,135,77.14,40,22.86,23023
23,26,193,147,76.17,46,23.83,23026
23,27,156,127,81.41,29,18.59,23027
23,28,206,176,85.44,30,14.56,23028
23,30,163,144,88.34,19,11.66,23030
23,34,137,114,83.21,23,16.79,23034
23,35,105,63,60.0,42,40.0,23035
23,36,241,198,82.16,43,17.84,23036
23,37,34,21,61.76,13,38.24,23037
23,38,153,132,86.27,21,13.73,23038
23,39,163,136,83.44,27,16.56,23039
23,40,183,142,77.6,41,22.4,23040
23,42,158,135,85.44,23,14.56,23042
23,43,207,172,83.09,35,16.91,23043
23,44,213,175,82.16,38,17.84,23044
23,45,202,155,76.73,47,23.27,23045
23,46,177,146,82.49,31,17.51,23046
23,47,236,179,75.85,57,24.15,23047
23,48,160,134,83.75,26,16.25,23048
23,49,271,217,80.07,54,19.93,23049
23,52,229,180,78.6,49,21.4,23052
23,54,224,196,87.5,28,12.5,23054
