ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",precinct_id
5,1,185,185,100.0,05001
5,4,122,122,100.0,05004
5,6,175,175,100.0,05006
5,7,170,170,100.0,05007
5,11,143,143,100.0,05011
5,14,218,218,100.0,05014
5,21,138,138,100.0,05021
5,24,175,175,100.0,05024
5,26,145,145,100.0,05026
5,28,182,182,100.0,05028
5,29,157,157,100.0,05029
5,31,134,134,100.0,05031
5,32,305,305,100.0,05032
5,34,154,154,100.0,05034
5,36,64,64,100.0,05036
5,37,117,117,100.0,05037
5,38,201,201,100.0,05038
5,40,121,121,100.0,05040
5,42,165,165,100.0,05042
5,43,175,175,100.0,05043
5,44,156,156,100.0,05044
5,46,149,149,100.0,05046
5,47,121,121,100.0,05047
5,49,27,27,100.0,05049
5,54,244,244,100.0,05054
6,21,185,185,100.0,06021
6,22,147,147,100.0,06022
6,64,198,198,100.0,06064
7,1,287,287,100.0,07001
7,2,161,161,100.0,07002
7,3,83,83,100.0,07003
7,4,83,83,100.0,07004
7,5,77,77,100.0,07005
7,6,116,116,100.0,07006
7,7,81,81,100.0,07007
7,8,38,38,100.0,07008
7,9,140,140,100.0,07009
7,10,76,76,100.0,07010
7,11,157,157,100.0,07011
7,12,108,108,100.0,07012
7,13,97,97,100.0,07013
7,14,135,135,100.0,07014
7,15,70,70,100.0,07015
7,16,70,70,100.0,07016
7,17,65,65,100.0,07017
7,18,93,93,100.0,07018
7,19,192,192,100.0,07019
7,20,48,48,100.0,07020
7,21,122,122,100.0,07021
7,22,100,100,100.0,07022
7,23,120,120,100.0,07023
7,24,129,129,100.0,07024
7,25,167,167,100.0,07025
7,26,158,158,100.0,07026
7,27,200,200,100.0,07027
7,28,116,116,100.0,07028
7,29,140,140,100.0,07029
7,30,174,174,100.0,07030
7,31,144,144,100.0,07031
7,32,83,83,100.0,07032
7,33,118,118,100.0,07033
7,34,129,129,100.0,07034
7,35,159,159,100.0,07035
7,36,151,151,100.0,07036
7,37,68,68,100.0,07037
7,38,103,103,100.0,07038
7,39,92,92,100.0,07039
7,40,119,119,100.0,07040
7,41,117,117,100.0,07041
7,42,191,191,100.0,07042
7,43,144,144,100.0,07043
7,44,199,199,100.0,07044
7,45,222,222,100.0,07045
7,46,81,81,100.0,07046
7,47,112,112,100.0,07047
7,48,128,128,100.0,07048
7,49,76,76,100.0,07049
7,50,86,86,100.0,07050
7,51,217,217,100.0,07051
7,52,106,106,100.0,07052
7,53,112,112,100.0,07053
7,54,56,56,100.0,07054
7,55,133,133,100.0,07055
7,56,106,106,100.0,07056
7,57,108,108,100.0,07057
7,58,185,185,100.0,07058
7,59,68,68,100.0,07059
7,60,91,91,100.0,07060
7,61,127,127,100.0,07061
8,3,191,191,100.0,08003
8,4,160,160,100.0,08004
8,5,223,223,100.0,08005
8,7,130,130,100.0,08007
8,8,232,232,100.0,08008
8,9,211,211,100.0,08009
8,15,122,122,100.0,08015
8,17,137,137,100.0,08017
8,19,229,229,100.0,08019
8,23,142,142,100.0,08023
8,24,160,160,100.0,08024
8,25,146,146,100.0,08025
8,26,101,101,100.0,08026
8,27,169,169,100.0,08027
8,28,133,133,100.0,08028
8,32,262,262,100.0,08032
