ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,Richard G. Schultz,Richard G. Schultz Percent,Robert Martinez,Robert Martinez Percent,Josip ''Joe'' Trutin,Josip ''Joe'' Trutin Percent,precinct_id
11,1,170,103,60.59,21,12.35,8,4.71,38,22.35,11001
11,2,136,59,43.38,7,5.15,17,12.5,53,38.97,11002
11,4,130,67,51.54,24,18.46,8,6.15,31,23.85,11004
11,5,77,30,38.96,20,25.97,7,9.09,20,25.97,11005
11,6,167,54,32.34,16,9.58,19,11.38,78,46.71,11006
11,7,151,83,54.97,17,11.26,10,6.62,41,27.15,11007
11,8,136,51,37.5,17,12.5,13,9.56,55,40.44,11008
11,9,74,40,54.05,9,12.16,6,8.11,19,25.68,11009
11,10,101,73,72.28,12,11.88,7,6.93,9,8.91,11010
11,11,182,84,46.15,24,13.19,16,8.79,58,31.87,11011
11,16,162,74,45.68,54,33.33,10,6.17,24,14.81,11016
11,17,195,116,59.49,26,13.33,22,11.28,31,15.9,11017
11,18,106,41,38.68,7,6.6,14,13.21,44,41.51,11018
11,19,102,53,51.96,12,11.76,6,5.88,31,30.39,11019
11,20,131,89,67.94,23,17.56,4,3.05,15,11.45,11020
11,21,169,121,71.6,26,15.38,6,3.55,16,9.47,11021
11,22,141,103,73.05,18,12.77,12,8.51,8,5.67,11022
11,24,301,226,75.08,52,17.28,5,1.66,18,5.98,11024
11,25,149,107,71.81,14,9.4,12,8.05,16,10.74,11025
11,26,198,114,57.58,8,4.04,28,14.14,48,24.24,11026
11,29,148,84,56.76,13,8.78,15,10.14,36,24.32,11029
11,30,115,66,57.39,10,8.7,16,13.91,23,20.0,11030
11,38,229,115,50.22,84,36.68,4,1.75,26,11.35,11038
11,40,98,52,53.06,32,32.65,4,4.08,10,10.2,11040
11,41,79,45,56.96,24,30.38,3,3.8,7,8.86,11041
11,44,145,69,47.59,21,14.48,9,6.21,46,31.72,11044
11,45,69,29,42.03,21,30.43,4,5.8,15,21.74,11045
11,47,116,71,61.21,25,21.55,8,6.9,12,10.34,11047
11,50,69,36,52.17,15,21.74,8,11.59,10,14.49,11050
12,1,74,48,64.86,7,9.46,18,24.32,1,1.35,12001
12,7,102,62,60.78,6,5.88,29,28.43,5,4.9,12007
12,8,98,60,61.22,10,10.2,16,16.33,12,12.24,12008
12,9,57,26,45.61,6,10.53,23,40.35,2,3.51,12009
12,15,74,48,64.86,7,9.46,15,20.27,4,5.41,12015
12,16,4,3,75.0,1,25.0,0,0.0,0,0.0,12016
12,18,82,53,64.63,2,2.44,20,24.39,7,8.54,12018
12,19,20,13,65.0,2,10.0,3,15.0,2,10.0,12019
12,22,80,52,65.0,6,7.5,17,21.25,5,6.25,12022
22,1,79,39,49.37,4,5.06,33,41.77,3,3.8,22001
22,29,60,38,63.33,6,10.0,15,25.0,1,1.67,22029
24,53,111,51,45.95,2,1.8,54,48.65,4,3.6,24053
25,1,130,88,67.69,11,8.46,21,16.15,10,7.69,25001
25,2,170,94,55.29,10,5.88,56,32.94,10,5.88,25002
25,5,145,100,68.97,12,8.28,24,16.55,9,6.21,25005
25,7,105,73,69.52,7,6.67,19,18.1,6,5.71,25007
25,8,133,76,57.14,5,3.76,40,30.08,12,9.02,25008
25,9,166,90,54.22,10,6.02,56,33.73,10,6.02,25009
25,11,153,66,43.14,9,5.88,63,41.18,15,9.8,25011
25,13,162,104,64.2,11,6.79,35,21.6,12,7.41,25013
25,15,146,95,65.07,10,6.85,34,23.29,7,4.79,25015
25,17,191,112,58.64,8,4.19,52,27.23,19,9.95,25017
25,19,156,105,67.31,4,2.56,38,24.36,9,5.77,25019
25,20,151,102,67.55,7,4.64,30,19.87,12,7.95,25020
25,22,65,44,67.69,3,4.62,16,24.62,2,3.08,25022
25,23,144,88,61.11,5,3.47,37,25.69,14,9.72,25023
25,24,176,111,63.07,8,4.55,47,26.7,10,5.68,25024
25,30,142,83,58.45,4,2.82,41,28.87,14,9.86,25030
28,29,94,51,54.26,13,13.83,29,30.85,1,1.06,28029
28,38,40,25,62.5,1,2.5,11,27.5,3,7.5,28038
28,53,46,23,50.0,4,8.7,13,28.26,6,13.04,28053
