ward,precinct,total,Joseph M. Lyons,Joseph M. Lyons Percent,precinct_id
36,6,84,84,100.0,36006
36,13,23,23,100.0,36013
36,26,96,96,100.0,36026
36,41,30,30,100.0,36041
36,43,90,90,100.0,36043
38,1,113,113,100.0,38001
38,2,68,68,100.0,38002
38,4,43,43,100.0,38004
38,5,15,15,100.0,38005
38,6,72,72,100.0,38006
38,8,61,61,100.0,38008
38,9,93,93,100.0,38009
38,11,70,70,100.0,38011
38,12,117,117,100.0,38012
38,13,78,78,100.0,38013
38,14,90,90,100.0,38014
38,15,66,66,100.0,38015
38,17,80,80,100.0,38017
38,18,110,110,100.0,38018
38,19,118,118,100.0,38019
38,21,78,78,100.0,38021
38,22,97,97,100.0,38022
38,23,80,80,100.0,38023
38,25,92,92,100.0,38025
38,26,40,40,100.0,38026
38,27,52,52,100.0,38027
38,28,72,72,100.0,38028
38,29,80,80,100.0,38029
38,30,76,76,100.0,38030
38,31,90,90,100.0,38031
38,32,121,121,100.0,38032
38,33,74,74,100.0,38033
38,35,97,97,100.0,38035
38,36,88,88,100.0,38036
38,37,91,91,100.0,38037
38,39,77,77,100.0,38039
38,40,84,84,100.0,38040
38,41,142,142,100.0,38041
38,42,123,123,100.0,38042
38,43,103,103,100.0,38043
38,44,110,110,100.0,38044
38,45,104,104,100.0,38045
38,46,77,77,100.0,38046
38,47,82,82,100.0,38047
38,48,87,87,100.0,38048
38,49,89,89,100.0,38049
38,50,83,83,100.0,38050
38,51,61,61,100.0,38051
38,52,94,94,100.0,38052
41,53,135,135,100.0,41053
45,1,89,89,100.0,45001
45,2,143,143,100.0,45002
45,3,176,176,100.0,45003
45,6,129,129,100.0,45006
45,7,97,97,100.0,45007
45,8,96,96,100.0,45008
45,9,135,135,100.0,45009
45,11,106,106,100.0,45011
45,13,136,136,100.0,45013
45,15,119,119,100.0,45015
45,16,132,132,100.0,45016
45,17,100,100,100.0,45017
45,18,134,134,100.0,45018
45,19,146,146,100.0,45019
45,20,115,115,100.0,45020
45,21,118,118,100.0,45021
45,22,98,98,100.0,45022
45,23,142,142,100.0,45023
45,25,134,134,100.0,45025
45,26,144,144,100.0,45026
45,27,107,107,100.0,45027
45,28,100,100,100.0,45028
45,29,125,125,100.0,45029
45,30,155,155,100.0,45030
45,31,106,106,100.0,45031
45,32,90,90,100.0,45032
45,33,105,105,100.0,45033
45,34,101,101,100.0,45034
45,35,138,138,100.0,45035
45,37,113,113,100.0,45037
45,38,128,128,100.0,45038
45,39,149,149,100.0,45039
45,40,152,152,100.0,45040
45,41,84,84,100.0,45041
45,42,142,142,100.0,45042
45,43,109,109,100.0,45043
45,44,163,163,100.0,45044
45,45,83,83,100.0,45045
45,46,127,127,100.0,45046
45,47,114,114,100.0,45047
45,48,127,127,100.0,45048
45,49,127,127,100.0,45049
45,50,101,101,100.0,45050
45,51,119,119,100.0,45051
45,52,139,139,100.0,45052
45,53,91,91,100.0,45053
