ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent,precinct_id
1,7,45,45,100.0,01007
1,9,91,91,100.0,01009
1,13,115,115,100.0,01013
1,20,101,101,100.0,01020
1,24,149,149,100.0,01024
1,29,71,71,100.0,01029
1,30,124,124,100.0,01030
1,31,18,18,100.0,01031
1,34,50,50,100.0,01034
1,38,39,39,100.0,01038
1,39,79,79,100.0,01039
1,41,52,52,100.0,01041
26,8,35,35,100.0,26008
26,19,118,118,100.0,26019
26,34,74,74,100.0,26034
26,51,69,69,100.0,26051
30,9,71,71,100.0,30009
30,18,37,37,100.0,30018
30,19,45,45,100.0,30019
30,25,35,35,100.0,30025
30,36,80,80,100.0,30036
31,1,29,29,100.0,31001
31,2,45,45,100.0,31002
31,4,55,55,100.0,31004
31,5,78,78,100.0,31005
31,6,45,45,100.0,31006
31,7,61,61,100.0,31007
31,9,53,53,100.0,31009
31,11,65,65,100.0,31011
31,13,45,45,100.0,31013
31,14,48,48,100.0,31014
31,16,36,36,100.0,31016
31,18,52,52,100.0,31018
31,19,62,62,100.0,31019
31,22,49,49,100.0,31022
31,28,64,64,100.0,31028
31,30,95,95,100.0,31030
31,31,88,88,100.0,31031
31,32,84,84,100.0,31032
31,33,63,63,100.0,31033
31,38,38,38,100.0,31038
31,41,44,44,100.0,31041
31,46,64,64,100.0,31046
31,47,49,49,100.0,31047
31,48,44,44,100.0,31048
31,49,26,26,100.0,31049
31,50,61,61,100.0,31050
32,14,83,83,100.0,32014
32,16,47,47,100.0,32016
35,1,107,107,100.0,35001
35,3,60,60,100.0,35003
35,5,91,91,100.0,35005
35,6,87,87,100.0,35006
35,7,93,93,100.0,35007
35,8,82,82,100.0,35008
35,9,79,79,100.0,35009
35,10,98,98,100.0,35010
35,11,72,72,100.0,35011
35,12,120,120,100.0,35012
35,13,23,23,100.0,35013
35,14,7,7,100.0,35014
35,15,81,81,100.0,35015
35,16,104,104,100.0,35016
35,17,91,91,100.0,35017
35,18,110,110,100.0,35018
35,19,74,74,100.0,35019
35,20,72,72,100.0,35020
35,21,85,85,100.0,35021
35,24,56,56,100.0,35024
35,25,88,88,100.0,35025
35,27,105,105,100.0,35027
35,28,84,84,100.0,35028
35,29,107,107,100.0,35029
35,30,145,145,100.0,35030
35,31,39,39,100.0,35031
35,33,22,22,100.0,35033
35,34,75,75,100.0,35034
35,36,62,62,100.0,35036
38,53,1,1,100.0,38053
